,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NBP,HNX,02/01/2019,,9504,9504,9504,9504,0,0
1,NBP,HNX,03/01/2019,,9504,9504,9504,9504,0,0
2,NBP,HNX,04/01/2019,,9504,9504,9504,9504,0,0
3,NBP,HNX,07/01/2019,,9504,9504,9504,9504,0,0
4,NBP,HNX,08/01/2019,,9432,9432,9432,9432,700,9240000
5,NBP,HNX,09/01/2019,,9432,9432,9432,9432,0,0
6,NBP,HNX,10/01/2019,,9432,9432,9432,9432,0,0
7,NBP,HNX,11/01/2019,,9432,9432,9432,9432,0,0
8,NBP,HNX,14/01/2019,,9432,9432,9432,9432,0,0
9,NBP,HNX,15/01/2019,,9432,9432,9432,9432,0,0
10,NBP,HNX,16/01/2019,,8503,10004,8503,10004,200,2590000
11,NBP,HNX,17/01/2019,,9003,9003,9003,9003,100,1260000
12,NBP,HNX,18/01/2019,,8146,8146,8146,8146,100,1140000
13,NBP,HNX,21/01/2019,,8932,8932,8932,8932,100,1250000
14,NBP,HNX,22/01/2019,,8075,8075,8075,8075,100,1130000
15,NBP,HNX,23/01/2019,,8575,8575,8575,8575,100,1200000
16,NBP,HNX,24/01/2019,,8575,8575,8575,8575,0,0
17,NBP,HNX,25/01/2019,,8575,8575,8575,8575,0,0
18,NBP,HNX,28/01/2019,,8575,8575,8575,8575,0,0
19,NBP,HNX,29/01/2019,,8575,8575,8575,8575,0,0
20,NBP,HNX,30/01/2019,,8575,8575,8575,8575,0,0
21,NBP,HNX,31/01/2019,,8575,8575,8575,8575,0,0
22,NBP,HNX,01/02/2019,,8575,8575,8575,8575,0,0
23,NBP,HNX,11/02/2019,,8575,8575,8575,8575,0,0
24,NBP,HNX,12/02/2019,,8575,8575,8575,8575,0,0
25,NBP,HNX,13/02/2019,,9432,9432,9432,9432,200,2640000
26,NBP,HNX,14/02/2019,,9432,9432,9432,9432,0,0
27,NBP,HNX,15/02/2019,,9432,9432,9432,9432,0,0
28,NBP,HNX,18/02/2019,,9432,9432,9432,9432,0,0
29,NBP,HNX,19/02/2019,,8503,8503,8503,8503,100,1190000
30,NBP,HNX,20/02/2019,,8575,8575,8575,8575,1900,22800000
31,NBP,HNX,21/02/2019,,8575,8575,8575,8575,0,0
32,NBP,HNX,22/02/2019,,8575,8575,8575,8575,0,0
33,NBP,HNX,25/02/2019,,8432,8432,8432,8432,100,1180000
34,NBP,HNX,26/02/2019,,8432,8432,8432,8432,0,0
35,NBP,HNX,27/02/2019,,9146,9146,9146,9146,100,1280000
36,NBP,HNX,28/02/2019,,8503,8503,8503,8503,100,1190000
37,NBP,HNX,01/03/2019,,8575,8575,8575,8575,1000,12000000
38,NBP,HNX,04/03/2019,,8575,8575,8575,8575,0,0
39,NBP,HNX,05/03/2019,,7717,7717,7717,7717,100,1080000
40,NBP,HNX,06/03/2019,,7717,7717,7717,7717,0,0
41,NBP,HNX,07/03/2019,,7717,7717,7717,7717,0,0
42,NBP,HNX,08/03/2019,,7717,7717,7717,7717,0,0
43,NBP,HNX,11/03/2019,,7717,7717,7717,7717,0,0
44,NBP,HNX,12/03/2019,,8432,8432,7717,7717,1100,12580000
45,NBP,HNX,13/03/2019,,7717,7717,7717,7717,0,0
46,NBP,HNX,14/03/2019,,8432,8432,8432,8432,400,4720000
47,NBP,HNX,15/03/2019,,9218,9218,9218,9218,300,3870000
48,NBP,HNX,18/03/2019,,10075,10075,10004,10075,1900,26780000
49,NBP,HNX,19/03/2019,,10075,10361,10075,10361,500,7090000
50,NBP,HNX,20/03/2019,,10075,10075,10075,10075,400,5640000
51,NBP,HNX,21/03/2019,,10075,10075,10075,10075,100,1410000
52,NBP,HNX,22/03/2019,,9075,9075,9075,9075,100,1270000
53,NBP,HNX,25/03/2019,,9075,9075,9075,9075,0,0
54,NBP,HNX,26/03/2019,,9075,9075,9075,9075,0,0
55,NBP,HNX,27/03/2019,,9075,9075,9075,9075,0,0
56,NBP,HNX,28/03/2019,,9289,9861,9289,9861,700,9500000
57,NBP,HNX,29/03/2019,,8932,8932,8932,8932,100,1250000
58,NBP,HNX,01/04/2019,,8932,8932,8932,8932,0,0
59,NBP,HNX,02/04/2019,,8932,8932,8932,8932,0,0
60,NBP,HNX,03/04/2019,,8932,8932,8932,8932,0,0
61,NBP,HNX,04/04/2019,,8932,8932,8932,8932,0,0
62,NBP,HNX,05/04/2019,,8932,8932,8932,8932,100,1250000
63,NBP,HNX,08/04/2019,,8932,8932,8932,8932,0,0
64,NBP,HNX,09/04/2019,,8932,8932,8932,8932,0,0
65,NBP,HNX,10/04/2019,,8932,8932,8932,8932,0,0
66,NBP,HNX,11/04/2019,,8932,8932,8932,8932,0,0
67,NBP,HNX,12/04/2019,,8932,8932,8932,8932,0,0
68,NBP,HNX,16/04/2019,,9289,9289,9289,9289,500,6500000
69,NBP,HNX,17/04/2019,,10147,10218,10147,10147,900,12830000
70,NBP,HNX,18/04/2019,,10218,10218,10218,10218,500,7150000
71,NBP,HNX,19/04/2019,,9218,9218,9218,9218,100,1290000
72,NBP,HNX,22/04/2019,,9218,9218,9218,9218,0,0
73,NBP,HNX,23/04/2019,,9218,9218,9218,9218,0,0
74,NBP,HNX,24/04/2019,,9218,9218,9218,9218,0,0
75,NBP,HNX,25/04/2019,,9432,9432,9432,9432,400,5280000
76,NBP,HNX,26/04/2019,,9432,9432,9432,9432,100,1320000
77,NBP,HNX,02/05/2019,,9432,9432,9432,9432,0,0
78,NBP,HNX,03/05/2019,,9432,9432,9432,9432,0,0
79,NBP,HNX,06/05/2019,,9289,9289,9289,9289,900,11700000
80,NBP,HNX,07/05/2019,,9289,9289,9289,9289,0,0
81,NBP,HNX,08/05/2019,,9289,9289,9289,9289,0,0
82,NBP,HNX,09/05/2019,,9432,9432,9432,9432,100,1320000
83,NBP,HNX,10/05/2019,,9432,9432,9432,9432,100,1320000
84,NBP,HNX,13/05/2019,,9432,9432,9432,9432,100,1320000
85,NBP,HNX,14/05/2019,,9432,9432,9432,9432,0,0
86,NBP,HNX,15/05/2019,,8932,8932,8932,8932,100,1250000
87,NBP,HNX,16/05/2019,,8932,8932,8932,8932,0,0
88,NBP,HNX,17/05/2019,,9003,9003,9003,9003,300,3780000
89,NBP,HNX,20/05/2019,,9003,9003,9003,9003,0,0
90,NBP,HNX,21/05/2019,,8432,8432,8432,8432,100,1180000
91,NBP,HNX,22/05/2019,,9218,9218,9218,9218,200,2580000
92,NBP,HNX,23/05/2019,,8360,8360,8360,8360,100,1170000
93,NBP,HNX,24/05/2019,,9075,9075,9075,9075,100,1270000
94,NBP,HNX,27/05/2019,,9075,9075,9075,9075,0,0
95,NBP,HNX,28/05/2019,,9218,9218,9218,9218,100,1290000
96,NBP,HNX,29/05/2019,,9218,9218,9218,9218,0,0
97,NBP,HNX,30/05/2019,,8932,8932,8932,8932,100,1250000
98,NBP,HNX,31/05/2019,,8932,8932,8932,8932,0,0
99,NBP,HNX,03/06/2019,,8932,8932,8932,8932,0,0
100,NBP,HNX,04/06/2019,,8932,8932,8932,8932,0,0
101,NBP,HNX,05/06/2019,,8932,8932,8932,8932,0,0
102,NBP,HNX,06/06/2019,,8932,8932,8932,8932,0,0
103,NBP,HNX,07/06/2019,,8932,8932,8932,8932,0,0
104,NBP,HNX,10/06/2019,,8932,8932,8932,8932,0,0
105,NBP,HNX,11/06/2019,,8932,8932,8932,8932,100,1250000
106,NBP,HNX,12/06/2019,,8932,8932,8932,8932,0,0
107,NBP,HNX,13/06/2019,,9003,9003,9003,9003,300,3780000
108,NBP,HNX,14/06/2019,,9003,9003,9003,9003,0,0
109,NBP,HNX,17/06/2019,,9861,9861,9861,9861,200,2760000
110,NBP,HNX,18/06/2019,,9861,9861,9861,9861,0,0
111,NBP,HNX,19/06/2019,,8932,8932,8932,8932,100,1250000
112,NBP,HNX,20/06/2019,,8932,8932,8932,8932,100,1250000
113,NBP,HNX,21/06/2019,,8932,8932,8932,8932,0,0
114,NBP,HNX,24/06/2019,,8932,8932,8932,8932,0,0
115,NBP,HNX,25/06/2019,,8932,8932,8932,8932,0,0
116,NBP,HNX,26/06/2019,,8932,8932,8932,8932,0,0
117,NBP,HNX,27/06/2019,,9462,9462,9462,9462,0,0
118,NBP,HNX,28/06/2019,,9462,9462,9462,9462,0,0
119,NBP,HNX,01/07/2019,,9765,9765,9765,9765,100,1290000
120,NBP,HNX,02/07/2019,,8856,8856,8856,8856,100,1170000
121,NBP,HNX,03/07/2019,,8856,8856,8856,8856,0,0
122,NBP,HNX,04/07/2019,,9689,9689,9689,9689,100,1280000
123,NBP,HNX,05/07/2019,,8932,10597,8932,10597,2700,37460000
124,NBP,HNX,08/07/2019,,9538,11657,9538,10597,2300,34300000
125,NBP,HNX,09/07/2019,,11354,11354,11354,11354,600,9000000
126,NBP,HNX,10/07/2019,,10219,11884,10219,11884,300,4480000
127,NBP,HNX,11/07/2019,,10749,12868,10749,12868,200,3120000
128,NBP,HNX,12/07/2019,,11581,12868,11581,12868,1400,21920000
129,NBP,HNX,15/07/2019,,11657,14079,11581,14079,600,9830000
130,NBP,HNX,16/07/2019,,12717,14079,12717,14079,200,3540000
131,NBP,HNX,17/07/2019,,12717,12717,12717,12717,200,3360000
132,NBP,HNX,18/07/2019,,11506,12868,11506,11733,1400,21710000
133,NBP,HNX,19/07/2019,,12868,12868,12035,12035,400,6490000
134,NBP,HNX,22/07/2019,,12035,12035,11581,11581,1300,20180000
135,NBP,HNX,23/07/2019,,11581,11581,11581,11581,100,1530000
136,NBP,HNX,24/07/2019,,10900,10900,10900,10900,100,1440000
137,NBP,HNX,25/07/2019,,10900,10900,10900,10900,0,0
138,NBP,HNX,26/07/2019,,10900,10900,10900,10900,0,0
139,NBP,HNX,29/07/2019,,10673,10673,10673,10673,100,1410000
140,NBP,HNX,30/07/2019,,10597,10597,10597,10597,1200,16800000
141,NBP,HNX,31/07/2019,,9992,10067,9992,10067,300,3970000
142,NBP,HNX,01/08/2019,,10219,10219,10219,10219,200,2700000
143,NBP,HNX,02/08/2019,,9840,9840,9840,9840,400,5200000
144,NBP,HNX,05/08/2019,,9840,9840,9840,9840,0,0
145,NBP,HNX,06/08/2019,,9916,9992,9840,9840,600,7850000
146,NBP,HNX,07/08/2019,,9916,9916,9916,9916,100,1310000
147,NBP,HNX,08/08/2019,,9916,9916,9916,9916,0,0
148,NBP,HNX,09/08/2019,,9916,9916,9916,9916,200,2620000
149,NBP,HNX,12/08/2019,,9916,9916,9916,9916,0,0
150,NBP,HNX,13/08/2019,,9916,9916,9916,9916,0,0
151,NBP,HNX,14/08/2019,,9916,9916,9916,9916,0,0
152,NBP,HNX,15/08/2019,,10749,10749,10749,10749,100,1420000
153,NBP,HNX,16/08/2019,,10749,10749,10749,10749,0,0
154,NBP,HNX,19/08/2019,,10824,11657,10824,11657,400,6050000
155,NBP,HNX,20/08/2019,,10824,11657,10824,11657,0,0
156,NBP,HNX,21/08/2019,,10824,11657,10824,11657,0,0
157,NBP,HNX,22/08/2019,,10824,11657,10824,11657,0,0
158,NBP,HNX,23/08/2019,,10824,11657,10824,11657,0,0
159,NBP,HNX,26/08/2019,,10824,11657,10824,11657,0,0
160,NBP,HNX,27/08/2019,,10824,11657,10824,11657,0,0
161,NBP,HNX,28/08/2019,,10824,11657,10824,11657,0,0
162,NBP,HNX,29/08/2019,,10824,11657,10824,11657,0,0
