,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NBW,HNX,02/01/2019,,12216,12216,12216,12216,0,0
1,NBW,HNX,03/01/2019,,12216,12216,12216,12216,0,0
2,NBW,HNX,04/01/2019,,12216,12216,12216,12216,0,0
3,NBW,HNX,07/01/2019,,12216,12216,12216,12216,0,0
4,NBW,HNX,08/01/2019,,12216,12216,12216,12216,0,0
5,NBW,HNX,09/01/2019,,12216,12216,12216,12216,0,0
6,NBW,HNX,10/01/2019,,12216,12216,12216,12216,0,0
7,NBW,HNX,11/01/2019,,12216,12216,12216,12216,0,0
8,NBW,HNX,14/01/2019,,12216,12216,12216,12216,0,0
9,NBW,HNX,15/01/2019,,12216,12216,12216,12216,0,0
10,NBW,HNX,16/01/2019,,12216,12216,12216,12216,0,0
11,NBW,HNX,17/01/2019,,12216,12216,12216,12216,0,0
12,NBW,HNX,18/01/2019,,12216,12216,12216,12216,0,0
13,NBW,HNX,21/01/2019,,12216,12216,12216,12216,0,0
14,NBW,HNX,22/01/2019,,12216,12216,12216,12216,0,0
15,NBW,HNX,23/01/2019,,13390,13390,13390,13390,100,1710000
16,NBW,HNX,24/01/2019,,13390,13390,13390,13390,0,0
17,NBW,HNX,25/01/2019,,13390,13390,13390,13390,0,0
18,NBW,HNX,28/01/2019,,13390,13390,13390,13390,0,0
19,NBW,HNX,29/01/2019,,13390,13390,13390,13390,0,0
20,NBW,HNX,30/01/2019,,13390,13390,13390,13390,0,0
21,NBW,HNX,31/01/2019,,13390,13390,13390,13390,0,0
22,NBW,HNX,01/02/2019,,13390,13390,13390,13390,0,0
23,NBW,HNX,11/02/2019,,13390,13390,13390,13390,0,0
24,NBW,HNX,12/02/2019,,13390,13390,13390,13390,0,0
25,NBW,HNX,13/02/2019,,13390,13390,13390,13390,0,0
26,NBW,HNX,14/02/2019,,13390,13390,13390,13390,0,0
27,NBW,HNX,15/02/2019,,13390,13390,13390,13390,0,0
28,NBW,HNX,18/02/2019,,13390,13390,13390,13390,0,0
29,NBW,HNX,19/02/2019,,13390,13390,13390,13390,1300,22230000
30,NBW,HNX,20/02/2019,,13390,13390,13390,13390,0,0
31,NBW,HNX,21/02/2019,,13390,13390,13390,13390,0,0
32,NBW,HNX,22/02/2019,,13704,13704,13704,13704,5008,87640000
33,NBW,HNX,25/02/2019,,13704,13704,13704,13704,0,0
34,NBW,HNX,26/02/2019,,13704,13704,13704,13704,0,0
35,NBW,HNX,27/02/2019,,13704,13704,13704,13704,0,0
36,NBW,HNX,28/02/2019,,12764,12764,12764,12764,100,1630000
37,NBW,HNX,01/03/2019,,12764,12764,12764,12764,0,0
38,NBW,HNX,04/03/2019,,12764,12764,12764,12764,0,0
39,NBW,HNX,05/03/2019,,12764,12764,12764,12764,0,0
