,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,NDX,HNX,02/01/2019,,8390,8390,8390,8390,0,0
1,NDX,HNX,03/01/2019,,8197,8197,7616,8067,2000,24830000
2,NDX,HNX,04/01/2019,,8003,8003,7551,7551,10900,133840000
3,NDX,HNX,07/01/2019,,7874,7874,7099,7745,11800,141200000
4,NDX,HNX,08/01/2019,,7616,8390,7616,8390,10700,127380000
5,NDX,HNX,09/01/2019,,8067,8261,7745,8067,10200,128430000
6,NDX,HNX,10/01/2019,,7745,8003,7745,7938,10900,133050000
7,NDX,HNX,11/01/2019,,7745,7938,7487,7938,9900,119660000
8,NDX,HNX,14/01/2019,,7938,8003,7745,8003,10500,127180000
9,NDX,HNX,15/01/2019,,7809,8584,7745,8584,10300,125980000
10,NDX,HNX,16/01/2019,,8132,8906,8067,8906,10600,134260000
11,NDX,HNX,17/01/2019,,8390,8519,8261,8390,10400,134290000
12,NDX,HNX,18/01/2019,,8261,8390,8261,8390,9732,125297600
13,NDX,HNX,21/01/2019,,8261,8390,8197,8390,10500,134730000
14,NDX,HNX,22/01/2019,,8261,8390,8132,8390,10100,128990000
15,NDX,HNX,23/01/2019,,8390,8390,8261,8390,10300,132990000
16,NDX,HNX,24/01/2019,,8197,8326,8132,8261,10100,128610000
17,NDX,HNX,25/01/2019,,8067,8261,8003,8261,10300,128970000
18,NDX,HNX,28/01/2019,,8067,8132,8003,8132,10000,125290000
19,NDX,HNX,29/01/2019,,8067,8906,8067,8777,10300,134770000
20,NDX,HNX,30/01/2019,,8906,8906,8906,8906,200,2760000
21,NDX,HNX,31/01/2019,,9036,9681,8519,9681,6700,90360000
22,NDX,HNX,01/02/2019,,9036,10326,9036,10262,6000,86920000
23,NDX,HNX,11/02/2019,,10197,10262,10004,10262,10200,160350000
24,NDX,HNX,12/02/2019,,10004,10068,10004,10004,10600,164560000
25,NDX,HNX,13/02/2019,,10004,10004,9810,9810,9800,150020000
26,NDX,HNX,14/02/2019,,9681,9745,9681,9745,10450,157245000
27,NDX,HNX,15/02/2019,,9745,9745,9487,9681,10400,154340000
28,NDX,HNX,18/02/2019,,9552,9681,9487,9681,10100,149350000
29,NDX,HNX,19/02/2019,,9423,9423,9358,9358,10100,146740000
30,NDX,HNX,20/02/2019,,9358,9358,9036,9100,10700,151550000
31,NDX,HNX,21/02/2019,,9100,9165,9036,9100,10100,142330000
32,NDX,HNX,22/02/2019,,9036,9100,8906,9036,10400,145560000
33,NDX,HNX,25/02/2019,,9165,9165,8842,9165,9900,137230000
34,NDX,HNX,26/02/2019,,8842,9487,8648,9487,6800,92370000
35,NDX,HNX,27/02/2019,,8842,8906,8777,8842,9000,123370000
36,NDX,HNX,28/02/2019,,8777,8777,8519,8648,9600,127800000
37,NDX,HNX,01/03/2019,,8519,9487,8519,8713,10200,135700000
38,NDX,HNX,04/03/2019,,9358,9358,8713,9165,10000,139900000
39,NDX,HNX,05/03/2019,,9358,9810,8906,9036,10200,142920000
40,NDX,HNX,06/03/2019,,9036,9745,9036,9036,9800,137800000
41,NDX,HNX,07/03/2019,,9358,9358,8906,8906,8500,118230000
