,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ONE,HNX,02/01/2019,,3440,3440,3066,3366,7150,29405000
1,ONE,HNX,03/01/2019,,3141,3141,3141,3141,730,3063000
2,ONE,HNX,04/01/2019,,2992,3216,2917,3216,1900,7460000
3,ONE,HNX,07/01/2019,,2992,2992,2992,2992,430,1720000
4,ONE,HNX,08/01/2019,,2992,2992,2992,2992,0,0
5,ONE,HNX,09/01/2019,,2992,2992,2992,2992,2850,11400000
6,ONE,HNX,10/01/2019,,2917,3141,2917,3141,2100,8220000
7,ONE,HNX,11/01/2019,,3141,3291,3141,3291,300,1280000
8,ONE,HNX,14/01/2019,,3141,3590,3141,3590,600,2690000
9,ONE,HNX,15/01/2019,,3366,3515,3291,3515,3500,15470000
10,ONE,HNX,16/01/2019,,3291,3291,3216,3216,4800,20760000
11,ONE,HNX,17/01/2019,,3216,3216,3216,3216,0,0
12,ONE,HNX,18/01/2019,,3366,3366,3366,3366,200,900000
13,ONE,HNX,21/01/2019,,3141,3366,3141,3366,400,1710000
14,ONE,HNX,22/01/2019,,3141,3291,3141,3291,1100,4640000
15,ONE,HNX,23/01/2019,,3141,3141,3066,3141,10000,41880000
16,ONE,HNX,24/01/2019,,3141,3141,3141,3141,0,0
17,ONE,HNX,25/01/2019,,3141,3141,3141,3141,0,0
18,ONE,HNX,28/01/2019,,3141,3141,3141,3141,2800,11760000
19,ONE,HNX,29/01/2019,,3141,3141,3141,3141,5000,21000000
20,ONE,HNX,30/01/2019,,3141,3141,3141,3141,30,120000
21,ONE,HNX,31/01/2019,,3141,3141,3141,3141,0,0
22,ONE,HNX,01/02/2019,,3291,3291,3291,3291,100,440000
23,ONE,HNX,11/02/2019,,3291,3291,3291,3291,0,0
24,ONE,HNX,12/02/2019,,3291,3291,3291,3291,0,0
25,ONE,HNX,13/02/2019,,3216,3216,3216,3216,100,430000
26,ONE,HNX,14/02/2019,,3216,3216,3216,3216,60,240000
27,ONE,HNX,15/02/2019,,3141,3141,3141,3141,300,1260000
28,ONE,HNX,18/02/2019,,3066,3066,3066,3066,8600,35260000
29,ONE,HNX,19/02/2019,,3066,3066,3066,3066,3000,12300000
30,ONE,HNX,20/02/2019,,3066,3141,3066,3141,1589,6556600
31,ONE,HNX,21/02/2019,,3066,3066,3066,3066,12600,51660000
32,ONE,HNX,22/02/2019,,3066,3141,3066,3141,12100,49620000
33,ONE,HNX,25/02/2019,,2992,3141,2992,3066,13200,53900000
34,ONE,HNX,26/02/2019,,2992,3291,2992,3291,10300,42240000
35,ONE,HNX,27/02/2019,,2992,2992,2992,2992,20200,80800000
36,ONE,HNX,28/02/2019,,2992,2992,2992,2992,11215,44860000
37,ONE,HNX,01/03/2019,,2992,2992,2992,2992,1600,6400000
38,ONE,HNX,04/03/2019,,2917,2992,2917,2992,17865,70580000
39,ONE,HNX,05/03/2019,,2992,2992,2992,2992,2200,8800000
40,ONE,HNX,06/03/2019,,2992,2992,2992,2992,7200,28800000
41,ONE,HNX,07/03/2019,,3066,3066,3066,3066,100,410000
42,ONE,HNX,08/03/2019,,3066,3066,3066,3066,0,0
43,ONE,HNX,11/03/2019,,3066,3066,3066,3066,0,0
44,ONE,HNX,12/03/2019,,3066,3066,3066,3066,0,0
45,ONE,HNX,13/03/2019,,3066,3066,3066,3066,12400,50840000
46,ONE,HNX,14/03/2019,,3066,3216,3066,3066,43900,180190000
47,ONE,HNX,15/03/2019,,3066,3066,3066,3066,27155,111330000
48,ONE,HNX,18/03/2019,,3141,3141,3141,3141,400,1680000
49,ONE,HNX,19/03/2019,,3066,3066,3066,3066,2000,8200000
50,ONE,HNX,20/03/2019,,2992,3066,2992,3066,5700,22820000
51,ONE,HNX,21/03/2019,,3066,3066,3066,3066,2300,9430000
52,ONE,HNX,22/03/2019,,2992,3066,2842,3066,9885,40274500
53,ONE,HNX,25/03/2019,,3066,3066,3066,3066,5800,23780000
54,ONE,HNX,26/03/2019,,3066,3066,3066,3066,7800,31980000
55,ONE,HNX,27/03/2019,,3066,3216,3066,3216,7910,33300000
56,ONE,HNX,28/03/2019,,3141,3141,3141,3141,1700,7140000
57,ONE,HNX,29/03/2019,,3291,3291,3291,3291,100,440000
58,ONE,HNX,01/04/2019,,3066,3216,3066,3216,12200,52140000
59,ONE,HNX,02/04/2019,,3216,3216,3216,3216,5000,21500000
60,ONE,HNX,03/04/2019,,3141,3141,3141,3141,3300,13860000
61,ONE,HNX,04/04/2019,,3141,3141,3141,3141,0,0
62,ONE,HNX,05/04/2019,,3141,3141,3141,3141,0,0
63,ONE,HNX,08/04/2019,,3141,3141,3141,3141,3400,14280000
64,ONE,HNX,09/04/2019,,3141,3141,3141,3141,0,0
65,ONE,HNX,10/04/2019,,3141,3141,3141,3141,0,0
66,ONE,HNX,11/04/2019,,3141,3291,3141,3291,2500,10900000
67,ONE,HNX,12/04/2019,,3141,3141,3141,3141,100,420000
68,ONE,HNX,16/04/2019,,3141,3141,3141,3141,45,189000
69,ONE,HNX,17/04/2019,,3141,3141,2992,2992,4027,16532600
70,ONE,HNX,18/04/2019,,3066,3066,3066,3066,1000,4100000
71,ONE,HNX,19/04/2019,,3066,3066,2992,2992,10000,40480000
72,ONE,HNX,22/04/2019,,3216,3216,3216,3216,3000,12900000
73,ONE,HNX,23/04/2019,,3216,3216,3216,3216,0,0
74,ONE,HNX,24/04/2019,,3216,3216,3216,3216,100,430000
75,ONE,HNX,25/04/2019,,3216,3216,3216,3216,4000,17200000
76,ONE,HNX,26/04/2019,,3216,3216,3216,3216,5000,21500000
77,ONE,HNX,02/05/2019,,3515,3515,3515,3515,200,940000
78,ONE,HNX,03/05/2019,,3291,3291,3291,3291,3400,14960000
79,ONE,HNX,06/05/2019,,3291,3291,3291,3291,0,0
80,ONE,HNX,07/05/2019,,3291,3291,3291,3291,0,0
81,ONE,HNX,08/05/2019,,3291,3291,3291,3291,0,0
82,ONE,HNX,09/05/2019,,3291,3291,3291,3291,0,0
83,ONE,HNX,10/05/2019,,3515,3515,3515,3515,100,470000
84,ONE,HNX,13/05/2019,,3665,3665,3515,3515,10100,48490000
85,ONE,HNX,14/05/2019,,3515,3515,3515,3515,0,0
86,ONE,HNX,15/05/2019,,3515,3515,3515,3515,0,0
87,ONE,HNX,16/05/2019,,3515,3515,3515,3515,0,0
88,ONE,HNX,17/05/2019,,3515,3515,3515,3515,0,0
89,ONE,HNX,20/05/2019,,3515,3515,3515,3515,0,0
90,ONE,HNX,21/05/2019,,3515,3515,3515,3515,0,0
91,ONE,HNX,22/05/2019,,3366,3366,3366,3366,3000,13500000
92,ONE,HNX,23/05/2019,,3366,3366,3366,3366,0,0
93,ONE,HNX,24/05/2019,,3366,3366,3366,3366,0,0
94,ONE,HNX,27/05/2019,,3066,3440,3066,3440,18400,76320000
95,ONE,HNX,28/05/2019,,3216,3216,3216,3216,10000,43000000
