,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PCG,HNX,02/01/2019,,22300,22300,22300,22300,0,0
1,PCG,HNX,03/01/2019,,22300,22300,22300,22300,0,0
2,PCG,HNX,04/01/2019,,22300,22300,22300,22300,0,0
3,PCG,HNX,07/01/2019,,22300,22300,22300,22300,0,0
4,PCG,HNX,08/01/2019,,22300,22300,22300,22300,0,0
5,PCG,HNX,09/01/2019,,22300,22300,22300,22300,0,0
6,PCG,HNX,10/01/2019,,22300,22300,22300,22300,0,0
7,PCG,HNX,11/01/2019,,22300,22300,22300,22300,0,0
8,PCG,HNX,14/01/2019,,22300,22300,22300,22300,0,0
9,PCG,HNX,15/01/2019,,20100,20100,20100,20100,100,2010000
10,PCG,HNX,16/01/2019,,20100,20100,20100,20100,0,0
11,PCG,HNX,17/01/2019,,20100,20100,20100,20100,0,0
12,PCG,HNX,18/01/2019,,20100,20100,20100,20100,0,0
13,PCG,HNX,21/01/2019,,20100,20100,20100,20100,0,0
14,PCG,HNX,22/01/2019,,18100,18100,18100,18100,323300,5851730000
15,PCG,HNX,23/01/2019,,18100,18100,18100,18100,0,0
16,PCG,HNX,24/01/2019,,18100,18100,18100,18100,0,0
17,PCG,HNX,25/01/2019,,18100,18100,18100,18100,0,0
18,PCG,HNX,28/01/2019,,18100,18100,18100,18100,0,0
19,PCG,HNX,29/01/2019,,18100,18100,18100,18100,0,0
20,PCG,HNX,30/01/2019,,18100,18100,18100,18100,0,0
21,PCG,HNX,31/01/2019,,18100,18100,18100,18100,0,0
22,PCG,HNX,01/02/2019,,18100,18100,18100,18100,0,0
23,PCG,HNX,11/02/2019,,18100,18100,18100,18100,0,0
24,PCG,HNX,12/02/2019,,18100,18100,18100,18100,0,0
25,PCG,HNX,13/02/2019,,18100,18100,18100,18100,0,0
26,PCG,HNX,14/02/2019,,18100,18100,18100,18100,0,0
27,PCG,HNX,15/02/2019,,18100,18100,18100,18100,0,0
28,PCG,HNX,18/02/2019,,18100,18100,18100,18100,0,0
29,PCG,HNX,19/02/2019,,18100,18100,18100,18100,0,0
30,PCG,HNX,20/02/2019,,18100,18100,18100,18100,0,0
31,PCG,HNX,21/02/2019,,18100,18100,18100,18100,0,0
32,PCG,HNX,22/02/2019,,18100,18100,18100,18100,0,0
33,PCG,HNX,25/02/2019,,18100,18100,18100,18100,0,0
34,PCG,HNX,26/02/2019,,18100,18100,18100,18100,0,0
35,PCG,HNX,27/02/2019,,18100,18100,18100,18100,0,0
36,PCG,HNX,28/02/2019,,18100,18100,18100,18100,0,0
37,PCG,HNX,01/03/2019,,18100,18100,18100,18100,0,0
38,PCG,HNX,04/03/2019,,18100,18100,18100,18100,0,0
39,PCG,HNX,05/03/2019,,18100,18100,18100,18100,0,0
40,PCG,HNX,06/03/2019,,18100,18100,18100,18100,0,0
41,PCG,HNX,07/03/2019,,18100,18100,18100,18100,0,0
42,PCG,HNX,08/03/2019,,18100,18100,18100,18100,0,0
43,PCG,HNX,11/03/2019,,18100,18100,18100,18100,0,0
44,PCG,HNX,12/03/2019,,18100,18100,18100,18100,0,0
45,PCG,HNX,13/03/2019,,18100,18100,18100,18100,0,0
46,PCG,HNX,14/03/2019,,18100,18100,18100,18100,0,0
47,PCG,HNX,15/03/2019,,18100,18100,18100,18100,0,0
48,PCG,HNX,18/03/2019,,18100,18100,18100,18100,0,0
49,PCG,HNX,19/03/2019,,18100,18100,18100,18100,0,0
50,PCG,HNX,20/03/2019,,18100,18100,18100,18100,0,0
51,PCG,HNX,21/03/2019,,18100,18100,18100,18100,0,0
52,PCG,HNX,22/03/2019,,18100,18100,18100,18100,0,0
53,PCG,HNX,25/03/2019,,18100,18100,18100,18100,0,0
54,PCG,HNX,26/03/2019,,18100,18100,18100,18100,0,0
55,PCG,HNX,27/03/2019,,18100,18100,18100,18100,200,3620000
56,PCG,HNX,28/03/2019,,19000,19000,19000,19000,200,3530000
57,PCG,HNX,29/03/2019,,18000,19900,17100,17100,900,16950000
58,PCG,HNX,01/04/2019,,15400,17100,15400,17100,200,3250000
59,PCG,HNX,02/04/2019,,17100,17100,17100,17100,0,0
60,PCG,HNX,03/04/2019,,17100,17100,17100,17100,0,0
61,PCG,HNX,04/04/2019,,17100,17100,17100,17100,0,0
62,PCG,HNX,05/04/2019,,17100,17100,17100,17100,0,0
63,PCG,HNX,08/04/2019,,17100,17100,17100,17100,0,0
64,PCG,HNX,09/04/2019,,17100,17100,17100,17100,0,0
65,PCG,HNX,10/04/2019,,17100,17100,17100,17100,0,0
66,PCG,HNX,11/04/2019,,17100,17100,17100,17100,0,0
67,PCG,HNX,12/04/2019,,17100,17100,17100,17100,0,0
68,PCG,HNX,16/04/2019,,15400,15400,15400,15400,100,1540000
69,PCG,HNX,17/04/2019,,13900,13900,13900,13900,500,6950000
70,PCG,HNX,18/04/2019,,13900,13900,13900,13900,0,0
71,PCG,HNX,19/04/2019,,13900,13900,13900,13900,0,0
72,PCG,HNX,22/04/2019,,13900,13900,13900,13900,0,0
73,PCG,HNX,23/04/2019,,13900,13900,13900,13900,0,0
74,PCG,HNX,24/04/2019,,13900,13900,13900,13900,0,0
75,PCG,HNX,25/04/2019,,13900,13900,13900,13900,0,0
76,PCG,HNX,26/04/2019,,13900,13900,13900,13900,0,0
77,PCG,HNX,02/05/2019,,13900,13900,13900,13900,0,0
78,PCG,HNX,03/05/2019,,13900,13900,13900,13900,0,0
79,PCG,HNX,06/05/2019,,13900,13900,13900,13900,0,0
80,PCG,HNX,07/05/2019,,13900,13900,13900,13900,0,0
81,PCG,HNX,08/05/2019,,13900,13900,13900,13900,0,0
82,PCG,HNX,09/05/2019,,13900,13900,13900,13900,0,0
83,PCG,HNX,10/05/2019,,13900,13900,13900,13900,0,0
84,PCG,HNX,13/05/2019,,13900,13900,13900,13900,0,0
85,PCG,HNX,14/05/2019,,13900,13900,13900,13900,0,0
86,PCG,HNX,15/05/2019,,13900,13900,13900,13900,0,0
87,PCG,HNX,16/05/2019,,13900,13900,13900,13900,0,0
