,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PGN,HNX,04/07/2019,,6763,6763,6593,6763,68300,809220000
1,PGN,HNX,05/07/2019,,6707,7104,6707,6877,70700,853780000
2,PGN,HNX,08/07/2019,,6934,7104,6763,7104,91300,1119800000
3,PGN,HNX,09/07/2019,,6877,6877,6707,6877,60900,730710000
4,PGN,HNX,10/07/2019,,6877,6877,6479,6536,42300,494910000
5,PGN,HNX,11/07/2019,,6309,6309,5911,6195,61500,650100000
6,PGN,HNX,12/07/2019,,5854,6252,5854,6252,33000,356360000
7,PGN,HNX,15/07/2019,,6252,6252,6025,6081,19000,205920000
8,PGN,HNX,16/07/2019,,6025,6081,5570,5570,23100,237360000
9,PGN,HNX,17/07/2019,,5684,5684,5570,5684,19300,191250000
10,PGN,HNX,18/07/2019,,5684,5740,5627,5740,13000,129440000
11,PGN,HNX,19/07/2019,,5684,5797,5456,5797,17100,168140000
12,PGN,HNX,22/07/2019,,5684,5684,5286,5570,12800,124730000
13,PGN,HNX,23/07/2019,,5570,5627,5343,5343,17800,172510000
14,PGN,HNX,24/07/2019,,5343,5399,5172,5172,22000,207260000
15,PGN,HNX,25/07/2019,,5627,5627,5115,5286,14900,138940000
16,PGN,HNX,26/07/2019,,5456,5456,5286,5286,19200,178610000
17,PGN,HNX,29/07/2019,,5172,5343,5172,5229,15600,144020000
18,PGN,HNX,30/07/2019,,5058,5343,5058,5286,14400,132080000
19,PGN,HNX,31/07/2019,,5229,5456,5229,5399,14400,137060000
20,PGN,HNX,01/08/2019,,5343,5570,5343,5456,13900,132600000
21,PGN,HNX,02/08/2019,,5399,5456,5343,5456,13700,130120000
22,PGN,HNX,05/08/2019,,5399,5456,5343,5456,15100,143370000
23,PGN,HNX,06/08/2019,,5399,5456,5229,5286,14300,133590000
24,PGN,HNX,07/08/2019,,5343,5399,5286,5343,12500,117720000
25,PGN,HNX,08/08/2019,,5854,5854,5286,5343,14500,137000000
26,PGN,HNX,09/08/2019,,5343,5399,5286,5399,9700,90630000
27,PGN,HNX,12/08/2019,,5570,5570,5399,5513,19100,183710000
28,PGN,HNX,13/08/2019,,5570,5968,5513,5968,15600,154720000
29,PGN,HNX,14/08/2019,,5627,5911,5627,5911,17900,179740000
30,PGN,HNX,15/08/2019,,5684,5797,5684,5797,15500,155640000
31,PGN,HNX,16/08/2019,,5684,5854,5570,5854,15900,158200000
32,PGN,HNX,19/08/2019,,5684,6195,5684,6138,16400,171880000
33,PGN,HNX,20/08/2019,,6025,6309,5854,5854,15100,157290000
34,PGN,HNX,21/08/2019,,5740,5854,5570,5570,17200,174840000
35,PGN,HNX,22/08/2019,,5513,5513,5229,5229,13900,131170000
36,PGN,HNX,23/08/2019,,5115,5115,4945,5058,16600,146960000
37,PGN,HNX,26/08/2019,,5058,5115,5058,5115,16200,145280000
38,PGN,HNX,27/08/2019,,5115,5229,5115,5229,15500,140760000
39,PGN,HNX,28/08/2019,,5115,5229,4945,5115,30100,269760000
40,PGN,HNX,29/08/2019,,5058,5058,4945,5058,29200,258280000
41,PGN,HNX,30/08/2019,,5058,5115,5058,5115,25100,224540000
42,PGN,HNX,03/09/2019,,5115,5172,5058,5115,20100,180310000
43,PGN,HNX,04/09/2019,,5115,5627,5058,5627,10700,99400000
44,PGN,HNX,05/09/2019,,5684,5684,5456,5456,20400,198760000
45,PGN,HNX,06/09/2019,,5456,5684,5343,5513,30600,296210000
46,PGN,HNX,09/09/2019,,5343,5513,5002,5456,38100,360100000
47,PGN,HNX,10/09/2019,,5399,5684,5286,5343,42900,411120000
48,PGN,HNX,11/09/2019,,5343,5627,5229,5456,42500,405090000
49,PGN,HNX,12/09/2019,,5399,5627,5229,5456,36500,347340000
50,PGN,HNX,13/09/2019,,5399,5627,5229,5456,0,0
51,PGN,HNX,16/09/2019,,5399,5627,5229,5456,0,0
52,PGN,HNX,17/09/2019,,5399,5627,5229,5456,0,0
53,PGN,HNX,18/09/2019,,5968,5968,5911,5911,400,4190000
54,PGN,HNX,19/09/2019,,6309,6309,5854,6252,400,4320000
55,PGN,HNX,20/09/2019,,6707,6707,5627,5627,7300,74320000
56,PGN,HNX,23/09/2019,,5968,5968,5456,5968,2400,24480000
57,PGN,HNX,24/09/2019,,6536,6536,5456,5968,3300,33510000
58,PGN,HNX,25/09/2019,,6025,6138,5968,6138,2500,26510000
59,PGN,HNX,26/09/2019,,5968,5968,5570,5854,2200,22560000
60,PGN,HNX,27/09/2019,,5968,5968,5570,5968,4300,43100000
61,PGN,HNX,30/09/2019,,5968,6252,5513,6252,3700,38330000
62,PGN,HNX,01/10/2019,,5627,6195,5627,6195,3100,32190000
63,PGN,HNX,02/10/2019,,5797,6025,5627,6025,3600,36880000
64,PGN,HNX,03/10/2019,,5797,6593,5627,6593,4000,41400000
65,PGN,HNX,04/10/2019,,6025,6252,6025,6252,3300,35060000
66,PGN,HNX,07/10/2019,,5740,5911,5740,5911,1400,14170000
67,PGN,HNX,08/10/2019,,5570,5854,5570,5854,1100,10870000
68,PGN,HNX,09/10/2019,,5684,5684,5399,5399,50100,476000000
69,PGN,HNX,10/10/2019,,5002,5854,5002,5854,50100,441030000
70,PGN,HNX,11/10/2019,,5627,5627,5456,5570,4700,45660000
71,PGN,HNX,14/10/2019,,5513,5627,5399,5627,5900,56950000
72,PGN,HNX,15/10/2019,,5627,6138,5627,6138,600,6030000
73,PGN,HNX,16/10/2019,,5627,6025,5570,6025,4600,45590000
74,PGN,HNX,17/10/2019,,5456,5854,5456,5854,6000,57950000
75,PGN,HNX,18/10/2019,,5343,5797,5343,5797,3900,36790000
76,PGN,HNX,21/10/2019,,5343,5513,5343,5456,5200,49800000
77,PGN,HNX,22/10/2019,,5513,5513,5399,5513,5300,50910000
78,PGN,HNX,23/10/2019,,5399,5513,5399,5513,4000,38240000
79,PGN,HNX,24/10/2019,,5570,5570,5570,5570,3500,34300000
80,PGN,HNX,25/10/2019,,5399,5399,5343,5399,4900,46450000
81,PGN,HNX,28/10/2019,,5343,5399,5343,5399,3100,29160000
82,PGN,HNX,29/10/2019,,5343,5343,5343,5343,3500,32900000
83,PGN,HNX,30/10/2019,,5343,5343,5343,5343,4000,37600000
84,PGN,HNX,31/10/2019,,5570,5570,5570,5570,3500,34300000
85,PGN,HNX,01/11/2019,,5115,5343,5115,5343,3400,31540000
86,PGN,HNX,04/11/2019,,5343,5343,5343,5343,4000,37600000
87,PGN,HNX,05/11/2019,,5286,5343,5229,5229,4600,42740000
88,PGN,HNX,06/11/2019,,5229,5229,5172,5229,4100,37610000
89,PGN,HNX,07/11/2019,,5229,5286,5172,5172,7500,69100000
90,PGN,HNX,08/11/2019,,5172,5229,5115,5229,6900,62800000
91,PGN,HNX,11/11/2019,,5286,5286,5229,5286,4800,44620000
92,PGN,HNX,12/11/2019,,5229,5343,5229,5343,8000,74110000
93,PGN,HNX,13/11/2019,,5229,5854,5229,5399,10200,95530000
94,PGN,HNX,14/11/2019,,5399,5570,5399,5570,11700,112860000
95,PGN,HNX,15/11/2019,,5513,5570,5399,5570,8600,82780000
96,PGN,HNX,18/11/2019,,5115,5513,5058,5513,15600,142430000
97,PGN,HNX,19/11/2019,,5229,5229,5002,5002,9700,88860000
98,PGN,HNX,20/11/2019,,4831,5286,4831,5286,13700,122550000
99,PGN,HNX,21/11/2019,,5229,5286,5002,5286,12400,112450000
100,PGN,HNX,22/11/2019,,5115,5229,5058,5229,10200,92190000
101,PGN,HNX,25/11/2019,,5172,5286,5172,5286,10900,99210000
102,PGN,HNX,26/11/2019,,5058,5172,5058,5172,13200,119070000
103,PGN,HNX,27/11/2019,,5058,5172,4888,5172,11800,105230000
104,PGN,HNX,28/11/2019,,5058,5172,5058,5172,10600,94610000
105,PGN,HNX,29/11/2019,,5058,5172,5058,5172,12100,107710000
106,PGN,HNX,02/12/2019,,5115,5115,4888,5002,13700,121170000
107,PGN,HNX,03/12/2019,,5115,5456,5002,5456,17600,159200000
108,PGN,HNX,04/12/2019,,5456,5513,5115,5513,17600,162860000
109,PGN,HNX,05/12/2019,,5399,5513,5399,5456,10000,95680000
110,PGN,HNX,06/12/2019,,5513,5627,5456,5627,13700,133530000
111,PGN,HNX,09/12/2019,,5627,5627,5286,5343,10200,96430000
112,PGN,HNX,10/12/2019,,5229,5456,5229,5399,10800,101400000
113,PGN,HNX,11/12/2019,,5343,5513,5343,5513,23800,227020000
114,PGN,HNX,12/12/2019,,5399,5456,5172,5399,8800,83060000
115,PGN,HNX,13/12/2019,,5399,5399,5172,5343,26000,241800000
116,PGN,HNX,16/12/2019,,5343,5456,5343,5399,14000,132350000
117,PGN,HNX,17/12/2019,,5399,5399,5343,5399,11800,111330000
118,PGN,HNX,18/12/2019,,5456,5456,5343,5399,4900,46370000
119,PGN,HNX,19/12/2019,,5456,5456,5343,5343,3500,33000000
120,PGN,HNX,20/12/2019,,5286,5854,5115,5399,1800,17250000
121,PGN,HNX,23/12/2019,,5286,5399,5286,5399,2700,25310000
122,PGN,HNX,24/12/2019,,5115,5115,5115,5115,3800,34200000
123,PGN,HNX,25/12/2019,,5229,5627,5115,5627,21400,198710000
124,PGN,HNX,26/12/2019,,5343,5684,5343,5684,37100,351500000
125,PGN,HNX,27/12/2019,,5513,5911,5343,5911,37300,358300000
126,PGN,HNX,30/12/2019,,5911,6479,5911,6479,26800,289030000
127,PGN,HNX,31/12/2019,,6479,6934,5911,6820,20700,222860000
128,PGN,HNX,02/01/2020,,6650,6877,6138,6877,34700,385320000
129,PGN,HNX,03/01/2020,,6479,6650,6195,6366,11900,133240000
