,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PHN,HNX,13/03/2019,,10567,10567,10567,10567,300,5520000
1,PHN,HNX,14/03/2019,,11601,11601,11601,11601,500,10100000
2,PHN,HNX,15/03/2019,,11601,11601,11601,11601,0,0
3,PHN,HNX,18/03/2019,,12749,12749,12749,12749,500,11100000
4,PHN,HNX,19/03/2019,,14013,14013,14013,14013,1200,29280000
5,PHN,HNX,20/03/2019,,14932,14932,14070,14070,7700,199900000
6,PHN,HNX,21/03/2019,,14070,14070,14070,14070,100,2450000
7,PHN,HNX,22/03/2019,,14357,14357,14070,14070,500,12300000
8,PHN,HNX,25/03/2019,,13783,13783,13783,13783,500,12000000
9,PHN,HNX,26/03/2019,,13783,13783,13783,13783,0,0
10,PHN,HNX,27/03/2019,,12405,12405,12405,12405,100,2160000
11,PHN,HNX,28/03/2019,,11256,11256,11256,11256,200,3920000
12,PHN,HNX,29/03/2019,,11256,11256,11256,11256,0,0
13,PHN,HNX,01/04/2019,,10395,10395,10395,10395,2600,47060000
14,PHN,HNX,02/04/2019,,9935,9993,9935,9993,600,10430000
15,PHN,HNX,03/04/2019,,9993,9993,9993,9993,0,0
16,PHN,HNX,04/04/2019,,10912,10969,10912,10969,2100,40090000
17,PHN,HNX,05/04/2019,,10395,10395,10395,10395,600,10860000
18,PHN,HNX,08/04/2019,,11428,11428,11428,11428,100,1990000
19,PHN,HNX,09/04/2019,,10510,10510,10510,10510,100,1830000
20,PHN,HNX,10/04/2019,,10510,10510,10510,10510,0,0
21,PHN,HNX,11/04/2019,,11199,11199,11199,11199,200,3900000
22,PHN,HNX,12/04/2019,,11486,11486,11486,11486,100,2000000
23,PHN,HNX,16/04/2019,,11773,12347,11543,12347,4054,86781000
24,PHN,HNX,17/04/2019,,11141,13209,11141,13209,400,8840000
25,PHN,HNX,18/04/2019,,11888,13094,11888,13094,400,8490000
26,PHN,HNX,19/04/2019,,12060,12060,12060,12060,100,2100000
27,PHN,HNX,22/04/2019,,12922,12922,12922,12922,500,11250000
28,PHN,HNX,23/04/2019,,12922,12922,12864,12922,1000,22490000
29,PHN,HNX,24/04/2019,,14182,14182,14182,14182,0,0
30,PHN,HNX,25/04/2019,,14182,14182,14182,14182,0,0
31,PHN,HNX,26/04/2019,,14182,14182,14182,14182,0,0
32,PHN,HNX,02/05/2019,,14182,14182,14182,14182,0,0
33,PHN,HNX,03/05/2019,,14182,14182,14182,14182,0,0
34,PHN,HNX,06/05/2019,,14182,14182,14182,14182,0,0
35,PHN,HNX,07/05/2019,,14182,14182,14182,14182,0,0
36,PHN,HNX,08/05/2019,,14182,14182,14182,14182,0,0
37,PHN,HNX,09/05/2019,,14182,14182,14182,14182,0,0
38,PHN,HNX,10/05/2019,,12922,12922,12922,12922,100,2050000
39,PHN,HNX,13/05/2019,,12922,12922,12922,12922,0,0
40,PHN,HNX,14/05/2019,,12922,12922,12922,12922,0,0
41,PHN,HNX,15/05/2019,,12922,12922,12922,12922,0,0
42,PHN,HNX,16/05/2019,,12922,12922,12922,12922,0,0
43,PHN,HNX,17/05/2019,,12922,12922,12922,12922,0,0
44,PHN,HNX,20/05/2019,,12922,12922,12922,12922,0,0
45,PHN,HNX,21/05/2019,,12922,12922,12922,12922,0,0
46,PHN,HNX,22/05/2019,,12607,12607,12607,12607,100,2000000
47,PHN,HNX,23/05/2019,,12607,12607,12607,12607,0,0
48,PHN,HNX,24/05/2019,,12607,12607,12607,12607,0,0
49,PHN,HNX,27/05/2019,,12607,12607,12607,12607,0,0
50,PHN,HNX,28/05/2019,,12607,12607,12607,12607,0,0
51,PHN,HNX,29/05/2019,,12607,12607,12607,12607,0,0
52,PHN,HNX,30/05/2019,,11409,11409,11409,11409,100,1810000
53,PHN,HNX,31/05/2019,,11409,11409,11409,11409,0,0
54,PHN,HNX,03/06/2019,,11409,11409,11409,11409,0,0
55,PHN,HNX,04/06/2019,,11409,11409,11409,11409,0,0
56,PHN,HNX,05/06/2019,,11409,11409,11409,11409,0,0
57,PHN,HNX,06/06/2019,,11409,11409,11409,11409,0,0
58,PHN,HNX,07/06/2019,,11409,11409,11409,11409,0,0
59,PHN,HNX,10/06/2019,,11409,11409,11409,11409,0,0
60,PHN,HNX,11/06/2019,,11409,11409,11409,11409,0,0
61,PHN,HNX,12/06/2019,,11409,11409,11409,11409,0,0
62,PHN,HNX,13/06/2019,,11535,11535,11409,11409,2100,38050000
63,PHN,HNX,14/06/2019,,11409,11409,11409,11409,0,0
64,PHN,HNX,17/06/2019,,11976,12291,11976,12291,52000,989000000
65,PHN,HNX,18/06/2019,,12922,12922,12922,12922,43100,883550000
66,PHN,HNX,19/06/2019,,12922,12922,12922,12922,0,0
67,PHN,HNX,20/06/2019,,12922,12922,12922,12922,0,0
68,PHN,HNX,21/06/2019,,12039,13867,12039,12039,4200,86000000
69,PHN,HNX,24/06/2019,,13237,13237,13237,13237,1500,31500000
70,PHN,HNX,25/06/2019,,14561,14561,12291,12607,3200,69050000
71,PHN,HNX,26/06/2019,,13867,13867,12733,13867,2100,46020000
72,PHN,HNX,27/06/2019,,15254,15254,12733,13300,11400,272860000
73,PHN,HNX,28/06/2019,,14435,14624,12922,12922,3400,78520000
74,PHN,HNX,01/07/2019,,14182,14182,14182,14182,1000,22500000
75,PHN,HNX,02/07/2019,,15569,15569,13867,15569,27900,688860000
76,PHN,HNX,03/07/2019,,14561,16389,14561,16389,300,7510000
77,PHN,HNX,04/07/2019,,16389,16389,16389,16389,0,0
78,PHN,HNX,05/07/2019,,16389,16389,16389,16389,0,0
79,PHN,HNX,08/07/2019,,14750,14750,14750,14750,1500,35100000
80,PHN,HNX,09/07/2019,,14750,14750,14750,14750,0,0
81,PHN,HNX,10/07/2019,,14750,14750,14750,14750,0,0
82,PHN,HNX,11/07/2019,,13867,13867,13867,13867,100,2200000
83,PHN,HNX,12/07/2019,,15254,15254,12481,12481,1000,23320000
84,PHN,HNX,15/07/2019,,13678,13678,13678,13678,100,2170000
85,PHN,HNX,16/07/2019,,15002,15002,12607,12607,1500,35320000
86,PHN,HNX,17/07/2019,,15002,15002,12607,12607,0,0
87,PHN,HNX,18/07/2019,,13867,13867,13237,13237,2100,46100000
88,PHN,HNX,19/07/2019,,14561,14561,14561,14561,100,2310000
89,PHN,HNX,22/07/2019,,14561,14561,14561,14561,0,0
90,PHN,HNX,23/07/2019,,15191,15191,15191,15191,1700,40970000
91,PHN,HNX,24/07/2019,,15443,16704,13678,14182,12600,320380000
92,PHN,HNX,25/07/2019,,15443,16704,13678,14182,0,0
93,PHN,HNX,26/07/2019,,15443,15947,15443,15947,2500,62450000
94,PHN,HNX,29/07/2019,,17019,17523,17019,17523,19300,535290000
95,PHN,HNX,30/07/2019,,17964,18910,17964,18910,17300,511300000
