,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PJC,HNX,02/01/2019,,23777,23777,23777,23777,0,0
1,PJC,HNX,03/01/2019,,23777,23777,23777,23777,0,0
2,PJC,HNX,04/01/2019,,26101,26101,26101,26101,100,4380000
3,PJC,HNX,07/01/2019,,26101,26101,26101,26101,0,0
4,PJC,HNX,08/01/2019,,26101,26101,26101,26101,0,0
5,PJC,HNX,09/01/2019,,26101,26101,26101,26101,0,0
6,PJC,HNX,10/01/2019,,26101,26101,26101,26101,0,0
7,PJC,HNX,11/01/2019,,26101,26101,26101,26101,0,0
8,PJC,HNX,14/01/2019,,26101,26101,26101,26101,0,0
9,PJC,HNX,15/01/2019,,26101,26101,26101,26101,0,0
10,PJC,HNX,16/01/2019,,26101,26101,26101,26101,0,0
11,PJC,HNX,17/01/2019,,28664,28664,23539,23539,200,8760000
12,PJC,HNX,18/01/2019,,23539,23539,23539,23539,0,0
13,PJC,HNX,21/01/2019,,25863,25863,25863,25863,100,4340000
14,PJC,HNX,22/01/2019,,25863,25863,25863,25863,0,0
15,PJC,HNX,23/01/2019,,25863,25863,25863,25863,0,0
16,PJC,HNX,24/01/2019,,25863,25863,25863,25863,0,0
17,PJC,HNX,25/01/2019,,25863,25863,25863,25863,0,0
18,PJC,HNX,28/01/2019,,25863,25863,25863,25863,0,0
19,PJC,HNX,29/01/2019,,25863,25863,25863,25863,0,0
20,PJC,HNX,30/01/2019,,25863,25863,25863,25863,0,0
21,PJC,HNX,31/01/2019,,25863,25863,25863,25863,0,0
22,PJC,HNX,01/02/2019,,25863,25863,25863,25863,0,0
23,PJC,HNX,11/02/2019,,28425,28425,28425,28425,100,4770000
24,PJC,HNX,12/02/2019,,28425,28425,28425,28425,0,0
25,PJC,HNX,13/02/2019,,28425,28425,28425,28425,0,0
26,PJC,HNX,14/02/2019,,28425,28425,28425,28425,0,0
27,PJC,HNX,15/02/2019,,28425,28425,28425,28425,0,0
28,PJC,HNX,18/02/2019,,28425,28425,28425,28425,0,0
29,PJC,HNX,19/02/2019,,25625,25625,25625,25625,200,8600000
30,PJC,HNX,20/02/2019,,28187,28187,23062,23062,500,20220000
31,PJC,HNX,21/02/2019,,23062,23062,20798,20798,3400,126730000
32,PJC,HNX,22/02/2019,,22764,22764,20798,22764,2950,110215000
33,PJC,HNX,25/02/2019,,22764,22824,22645,22645,4500,172060000
34,PJC,HNX,26/02/2019,,22824,22824,20857,20857,800,30260000
35,PJC,HNX,27/02/2019,,22824,22824,22764,22764,200,7650000
36,PJC,HNX,28/02/2019,,24135,24731,22645,24731,2515,97404000
37,PJC,HNX,01/03/2019,,22287,22287,22287,22287,123,4695000
38,PJC,HNX,04/03/2019,,24492,24492,24314,24314,807,32929700
39,PJC,HNX,05/03/2019,,23837,24135,23539,24135,3659,146230500
40,PJC,HNX,06/03/2019,,23896,23956,23896,23956,2400,96470000
41,PJC,HNX,07/03/2019,,23241,23241,23241,23241,1000,39000000
42,PJC,HNX,08/03/2019,,22824,22824,22824,22824,3100,118730000
43,PJC,HNX,11/03/2019,,24693,24693,24693,24693,0,0
44,PJC,HNX,12/03/2019,,22952,22952,22952,22952,300,10680000
45,PJC,HNX,13/03/2019,,22952,22952,22952,22952,500,17800000
46,PJC,HNX,14/03/2019,,22888,22888,22888,22888,100,3550000
47,PJC,HNX,15/03/2019,,22888,22888,22888,22888,100,3550000
48,PJC,HNX,18/03/2019,,22888,22888,22888,22888,0,0
49,PJC,HNX,19/03/2019,,22888,22888,22888,22888,0,0
50,PJC,HNX,20/03/2019,,20825,20825,20825,20825,500,16150000
51,PJC,HNX,21/03/2019,,22888,22888,21921,21921,200,6950000
52,PJC,HNX,22/03/2019,,21921,21921,21921,21921,0,0
53,PJC,HNX,25/03/2019,,21921,21921,21921,21921,0,0
54,PJC,HNX,26/03/2019,,21856,21921,21856,21921,4200,142630000
55,PJC,HNX,27/03/2019,,21921,21921,21921,21921,1800,61200000
56,PJC,HNX,28/03/2019,,21921,21921,21921,21921,0,0
57,PJC,HNX,29/03/2019,,21921,21921,21921,21921,0,0
58,PJC,HNX,01/04/2019,,19987,19987,19987,19987,1500,46500000
59,PJC,HNX,02/04/2019,,19987,19987,19987,19987,200,6200000
60,PJC,HNX,03/04/2019,,21985,21985,19987,19987,815,25575000
61,PJC,HNX,04/04/2019,,19987,19987,19858,19858,1000,30960000
62,PJC,HNX,05/04/2019,,19858,19858,19858,19858,65,1823000
63,PJC,HNX,08/04/2019,,21792,21792,21792,21792,100,3380000
64,PJC,HNX,09/04/2019,,21792,21792,20825,21598,1500,49920000
65,PJC,HNX,10/04/2019,,21598,21598,20631,20631,2800,90950000
66,PJC,HNX,11/04/2019,,19987,19987,19987,19987,2300,71300000
67,PJC,HNX,12/04/2019,,19987,19987,19987,19987,0,0
68,PJC,HNX,16/04/2019,,21985,21985,21985,21985,110,3720000
69,PJC,HNX,17/04/2019,,21985,21985,21985,21985,0,0
70,PJC,HNX,18/04/2019,,19793,19793,19793,19793,1100,33770000
71,PJC,HNX,19/04/2019,,21727,21727,21727,21727,110,3651000
72,PJC,HNX,22/04/2019,,21727,21727,21727,21727,0,0
73,PJC,HNX,23/04/2019,,21727,21727,21727,21727,0,0
74,PJC,HNX,24/04/2019,,21727,21727,21727,21727,0,0
75,PJC,HNX,25/04/2019,,21727,21727,21727,21727,0,0
76,PJC,HNX,26/04/2019,,21083,21083,21083,21083,300,9810000
77,PJC,HNX,02/05/2019,,21083,21083,21083,21083,0,0
78,PJC,HNX,03/05/2019,,21083,21083,21083,21083,0,0
79,PJC,HNX,06/05/2019,,19342,19342,19019,19019,300,8950000
80,PJC,HNX,07/05/2019,,20567,20567,20567,20567,100,3190000
81,PJC,HNX,08/05/2019,,20567,20567,20567,20567,0,0
82,PJC,HNX,09/05/2019,,20567,20567,20567,20567,0,0
83,PJC,HNX,10/05/2019,,20567,20567,20567,20567,0,0
84,PJC,HNX,13/05/2019,,20567,20567,20567,20567,0,0
85,PJC,HNX,14/05/2019,,20567,20567,20567,20567,0,0
86,PJC,HNX,15/05/2019,,20567,20567,20567,20567,0,0
87,PJC,HNX,16/05/2019,,20567,20567,20567,20567,0,0
88,PJC,HNX,17/05/2019,,20309,20309,19987,19987,200,6250000
89,PJC,HNX,20/05/2019,,19987,19987,19987,19987,0,0
90,PJC,HNX,21/05/2019,,19987,19987,19987,19987,0,0
91,PJC,HNX,22/05/2019,,19987,19987,19987,19987,0,0
92,PJC,HNX,23/05/2019,,19987,19987,19987,19987,0,0
93,PJC,HNX,24/05/2019,,19987,19987,19987,19987,0,0
94,PJC,HNX,27/05/2019,,19987,19987,19987,19987,0,0
95,PJC,HNX,28/05/2019,,19987,19987,19987,19987,0,0
96,PJC,HNX,29/05/2019,,18504,18504,18504,18504,100,2870000
97,PJC,HNX,30/05/2019,,19922,19922,17601,17601,600,16880000
98,PJC,HNX,31/05/2019,,19342,19342,19342,19342,200,6000000
99,PJC,HNX,03/06/2019,,19342,19342,19342,19342,0,0
100,PJC,HNX,04/06/2019,,19342,19342,19342,19342,0,0
101,PJC,HNX,05/06/2019,,19342,19342,19342,19342,0,0
102,PJC,HNX,06/06/2019,,19342,19342,19342,19342,0,0
103,PJC,HNX,07/06/2019,,19342,19342,19342,19342,0,0
104,PJC,HNX,10/06/2019,,19342,19342,19342,19342,0,0
105,PJC,HNX,11/06/2019,,19342,19342,19342,19342,0,0
106,PJC,HNX,12/06/2019,,19342,19342,19342,19342,0,0
107,PJC,HNX,13/06/2019,,19342,19342,19342,19342,0,0
108,PJC,HNX,14/06/2019,,19342,19342,19342,19342,0,0
109,PJC,HNX,17/06/2019,,19342,19342,19342,19342,0,0
110,PJC,HNX,18/06/2019,,21276,21276,21276,21276,100,3300000
111,PJC,HNX,19/06/2019,,21276,21276,21276,21276,0,0
112,PJC,HNX,20/06/2019,,21276,21276,21276,21276,0,0
113,PJC,HNX,21/06/2019,,21276,21276,21276,21276,1200,40000000
114,PJC,HNX,24/06/2019,,23404,23404,21212,21212,400,13500000
115,PJC,HNX,25/06/2019,,23275,23275,23275,23275,100,3610000
116,PJC,HNX,26/06/2019,,23275,23275,23275,23275,0,0
117,PJC,HNX,27/06/2019,,23275,23275,23275,23275,0,0
118,PJC,HNX,28/06/2019,,23275,23275,23275,23275,0,0
119,PJC,HNX,01/07/2019,,23275,23275,23275,23275,0,0
120,PJC,HNX,02/07/2019,,23275,23275,23275,23275,0,0
121,PJC,HNX,03/07/2019,,23275,23275,23275,23275,0,0
122,PJC,HNX,04/07/2019,,23275,23275,23275,23275,0,0
123,PJC,HNX,05/07/2019,,23275,23275,23275,23275,0,0
124,PJC,HNX,08/07/2019,,23275,23275,23275,23275,0,0
125,PJC,HNX,09/07/2019,,23275,23275,23275,23275,0,0
126,PJC,HNX,10/07/2019,,23275,23275,23275,23275,0,0
127,PJC,HNX,11/07/2019,,23275,23275,23275,23275,0,0
128,PJC,HNX,12/07/2019,,23275,23275,23275,23275,0,0
129,PJC,HNX,15/07/2019,,23275,23275,23275,23275,0,0
130,PJC,HNX,16/07/2019,,23275,23275,23275,23275,0,0
131,PJC,HNX,17/07/2019,,23017,23017,18891,18891,200,6500000
132,PJC,HNX,18/07/2019,,23017,23017,18891,18891,0,0
133,PJC,HNX,19/07/2019,,23017,23017,18891,18891,0,0
134,PJC,HNX,22/07/2019,,18891,18891,18891,18891,1000,29300000
135,PJC,HNX,23/07/2019,,18891,18891,18891,18891,0,0
136,PJC,HNX,24/07/2019,,18891,18891,18891,18891,0,0
137,PJC,HNX,25/07/2019,,18891,18891,18891,18891,0,0
138,PJC,HNX,26/07/2019,,18891,18891,18891,18891,0,0
139,PJC,HNX,29/07/2019,,20567,21856,20567,21856,200,6580000
140,PJC,HNX,30/07/2019,,19729,19729,19729,19729,200,6120000
141,PJC,HNX,31/07/2019,,19729,19729,19729,19729,0,0
142,PJC,HNX,01/08/2019,,19729,19729,19729,19729,0,0
