,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,POT,HNX,02/01/2019,,16008,16008,15749,15749,1040,19068000
1,POT,HNX,03/01/2019,,14451,14451,14451,14451,300,5010000
2,POT,HNX,04/01/2019,,14884,14884,14884,14884,100,1720000
3,POT,HNX,07/01/2019,,16008,16008,16008,16008,400,7400000
4,POT,HNX,08/01/2019,,15749,15749,15749,15749,300,5460000
5,POT,HNX,09/01/2019,,16355,16355,16355,16355,500,9450000
6,POT,HNX,10/01/2019,,15378,15378,15289,15289,1365,23557600
7,POT,HNX,11/01/2019,,15289,15289,15289,15289,0,0
8,POT,HNX,14/01/2019,,15555,15555,15555,15555,100,1750000
9,POT,HNX,15/01/2019,,15555,15555,15555,15555,0,0
10,POT,HNX,16/01/2019,,15555,15555,15555,15555,200,3500000
11,POT,HNX,17/01/2019,,15555,15555,15555,15555,80,1360000
12,POT,HNX,18/01/2019,,15555,15555,15555,15555,0,0
13,POT,HNX,21/01/2019,,15378,15378,15378,15378,1000,17300000
14,POT,HNX,22/01/2019,,15378,15378,15378,15378,18800,325240000
15,POT,HNX,23/01/2019,,14666,14666,14311,14311,558,9105400
16,POT,HNX,24/01/2019,,14311,14311,14311,14311,5008,80628800
17,POT,HNX,25/01/2019,,14311,14311,14311,14311,1000,16100000
18,POT,HNX,28/01/2019,,14311,14311,14311,14311,0,0
19,POT,HNX,29/01/2019,,14311,14311,14311,14311,0,0
20,POT,HNX,30/01/2019,,14311,14311,14311,14311,10,159000
21,POT,HNX,31/01/2019,,13422,13422,13333,13333,1000,15020000
22,POT,HNX,01/02/2019,,13333,13333,13333,13333,0,0
23,POT,HNX,11/02/2019,,13333,13333,13333,13333,0,0
24,POT,HNX,12/02/2019,,13333,13333,13333,13333,0,0
25,POT,HNX,13/02/2019,,13689,14133,13689,14133,300,4670000
26,POT,HNX,14/02/2019,,14222,14222,14222,14222,600,9600000
27,POT,HNX,15/02/2019,,14222,14222,14222,14222,0,0
28,POT,HNX,18/02/2019,,14222,14222,14222,14222,0,0
29,POT,HNX,19/02/2019,,14222,14222,14222,14222,100,1600000
30,POT,HNX,20/02/2019,,14311,14311,14311,14311,100,1610000
31,POT,HNX,21/02/2019,,14311,14311,14222,14222,216,3459600
32,POT,HNX,22/02/2019,,14311,14311,14311,14311,109,1754900
33,POT,HNX,25/02/2019,,14222,14222,14222,14222,164,2604800
34,POT,HNX,26/02/2019,,15644,15644,15644,15644,136,2336000
35,POT,HNX,27/02/2019,,14666,14666,14666,14666,100,1650000
36,POT,HNX,28/02/2019,,14666,14666,14666,14666,0,0
37,POT,HNX,01/03/2019,,14666,14666,14666,14666,0,0
38,POT,HNX,04/03/2019,,14666,14666,14666,14666,0,0
39,POT,HNX,05/03/2019,,15911,15911,15911,15911,100,1790000
40,POT,HNX,06/03/2019,,14400,14400,14400,14400,200,3240000
41,POT,HNX,07/03/2019,,14400,14400,14400,14400,0,0
42,POT,HNX,08/03/2019,,15111,15111,15111,15111,300,5100000
43,POT,HNX,11/03/2019,,15111,15111,15111,15111,0,0
44,POT,HNX,12/03/2019,,14933,14933,14844,14844,1200,20150000
45,POT,HNX,13/03/2019,,13778,14222,13600,14222,1728,27005600
46,POT,HNX,14/03/2019,,14222,14222,14222,14222,0,0
47,POT,HNX,15/03/2019,,14400,14400,14400,14400,1100,17820000
48,POT,HNX,18/03/2019,,14400,14400,14400,14400,0,0
49,POT,HNX,19/03/2019,,14133,14666,14133,14222,2916,47748000
50,POT,HNX,20/03/2019,,14222,14222,14222,14222,0,0
51,POT,HNX,21/03/2019,,14489,14666,14489,14666,1059,17398000
52,POT,HNX,22/03/2019,,14666,14666,14666,14666,0,0
53,POT,HNX,25/03/2019,,14666,14666,14666,14666,64,998400
54,POT,HNX,26/03/2019,,14222,14222,14222,14222,100,1600000
55,POT,HNX,27/03/2019,,14222,14222,14222,14222,16,254400
56,POT,HNX,28/03/2019,,13955,13955,13955,13955,164,2581200
57,POT,HNX,29/03/2019,,13955,13955,13955,13955,0,0
58,POT,HNX,01/04/2019,,13955,13955,13955,13955,40,628000
59,POT,HNX,02/04/2019,,13689,14933,13600,14933,1553,24133900
60,POT,HNX,03/04/2019,,14933,14933,14933,14933,43,666500
61,POT,HNX,04/04/2019,,14222,14222,14222,14222,800,12800000
62,POT,HNX,05/04/2019,,14755,14755,14755,14755,172,2776000
63,POT,HNX,08/04/2019,,14755,14755,14755,14755,0,0
64,POT,HNX,09/04/2019,,14755,14755,14755,14755,0,0
65,POT,HNX,10/04/2019,,14755,14755,14755,14755,0,0
66,POT,HNX,11/04/2019,,14755,14755,14755,14755,0,0
67,POT,HNX,12/04/2019,,14755,14755,14755,14755,0,0
68,POT,HNX,16/04/2019,,14755,14755,14755,14755,0,0
69,POT,HNX,17/04/2019,,14755,14755,14755,14755,0,0
70,POT,HNX,18/04/2019,,14755,14755,14755,14755,0,0
71,POT,HNX,19/04/2019,,14755,14755,14755,14755,0,0
72,POT,HNX,22/04/2019,,14755,14755,14755,14755,0,0
73,POT,HNX,23/04/2019,,14489,14489,14489,14489,1500,24450000
74,POT,HNX,24/04/2019,,14489,14489,14489,14489,0,0
75,POT,HNX,25/04/2019,,14489,14489,14489,14489,0,0
76,POT,HNX,26/04/2019,,14489,14489,14489,14489,0,0
77,POT,HNX,02/05/2019,,14222,14222,14222,14222,200,3200000
78,POT,HNX,03/05/2019,,14222,14222,14222,14222,2000,32000000
79,POT,HNX,06/05/2019,,14222,14222,14222,14222,0,0
80,POT,HNX,07/05/2019,,14489,14489,14489,14489,200,3260000
81,POT,HNX,08/05/2019,,14489,14489,14489,14489,75,1222500
82,POT,HNX,09/05/2019,,14489,14489,14489,14489,80,1256000
83,POT,HNX,10/05/2019,,14489,14489,14489,14489,0,0
84,POT,HNX,13/05/2019,,14489,14489,14489,14489,0,0
85,POT,HNX,14/05/2019,,14489,14489,14489,14489,0,0
86,POT,HNX,15/05/2019,,14489,14489,14489,14489,0,0
87,POT,HNX,16/05/2019,,13778,13778,13778,13778,132,2052400
88,POT,HNX,17/05/2019,,14222,14222,14222,14222,1800,28800000
89,POT,HNX,20/05/2019,,14222,14222,14222,14222,0,0
90,POT,HNX,21/05/2019,,14044,14044,14044,14044,400,6320000
91,POT,HNX,22/05/2019,,14222,14222,14222,14222,132,2096000
92,POT,HNX,23/05/2019,,14222,14222,14222,14222,0,0
93,POT,HNX,24/05/2019,,14222,14222,14222,14222,0,0
94,POT,HNX,27/05/2019,,13689,13689,13689,13689,700,10780000
95,POT,HNX,28/05/2019,,13867,13867,13867,13867,300,4680000
96,POT,HNX,29/05/2019,,14222,14222,14222,14222,600,9600000
97,POT,HNX,30/05/2019,,14222,14222,14222,14222,0,0
