,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PPP,HNX,02/01/2019,,5536,5536,5536,5536,0,0
1,PPP,HNX,03/01/2019,,5536,5536,5536,5536,0,0
2,PPP,HNX,04/01/2019,,5466,5536,5466,5536,2200,17580000
3,PPP,HNX,07/01/2019,,5536,5536,5536,5536,0,0
4,PPP,HNX,08/01/2019,,5536,5536,5536,5536,0,0
5,PPP,HNX,09/01/2019,,5536,5536,5536,5536,0,0
6,PPP,HNX,10/01/2019,,5259,6089,5259,6089,6400,54400000
7,PPP,HNX,11/01/2019,,6643,6643,6643,6643,200,1920000
8,PPP,HNX,14/01/2019,,6643,6643,6643,6643,0,0
9,PPP,HNX,15/01/2019,,6643,6643,6643,6643,0,0
10,PPP,HNX,16/01/2019,,6643,6643,6643,6643,0,0
11,PPP,HNX,17/01/2019,,6643,6643,6643,6643,0,0
12,PPP,HNX,18/01/2019,,6643,6643,6643,6643,0,0
13,PPP,HNX,21/01/2019,,6643,6643,6643,6643,0,0
14,PPP,HNX,22/01/2019,,6643,6643,6643,6643,0,0
15,PPP,HNX,23/01/2019,,6643,6643,6643,6643,0,0
16,PPP,HNX,24/01/2019,,6643,6643,6643,6643,0,0
17,PPP,HNX,25/01/2019,,6643,6643,6643,6643,0,0
18,PPP,HNX,28/01/2019,,6643,6643,6643,6643,0,0
19,PPP,HNX,29/01/2019,,6643,6643,6643,6643,0,0
20,PPP,HNX,30/01/2019,,6643,6643,6643,6643,0,0
21,PPP,HNX,31/01/2019,,6643,6643,6643,6643,0,0
22,PPP,HNX,01/02/2019,,6643,6643,6643,6643,0,0
23,PPP,HNX,11/02/2019,,6643,6643,6643,6643,0,0
24,PPP,HNX,12/02/2019,,6643,6643,6643,6643,0,0
25,PPP,HNX,13/02/2019,,6158,6158,6158,6158,1400,12460000
26,PPP,HNX,14/02/2019,,6712,6712,6712,6712,1000,9700000
27,PPP,HNX,15/02/2019,,6712,6712,6712,6712,0,0
28,PPP,HNX,18/02/2019,,6712,6712,6712,6712,0,0
29,PPP,HNX,19/02/2019,,6712,6712,6712,6712,0,0
30,PPP,HNX,20/02/2019,,7335,7335,6712,6712,2000,20300000
31,PPP,HNX,21/02/2019,,6158,6919,6158,6919,3700,36390000
32,PPP,HNX,22/02/2019,,6919,6919,6919,6919,0,0
33,PPP,HNX,25/02/2019,,6227,6435,6227,6435,4700,42930000
34,PPP,HNX,26/02/2019,,6435,6435,6435,6435,0,0
35,PPP,HNX,27/02/2019,,6435,6435,6435,6435,0,0
36,PPP,HNX,28/02/2019,,6435,6435,6435,6435,0,0
37,PPP,HNX,01/03/2019,,6435,6435,6435,6435,0,0
38,PPP,HNX,04/03/2019,,6435,6435,6435,6435,0,0
39,PPP,HNX,05/03/2019,,6435,6435,6435,6435,0,0
40,PPP,HNX,06/03/2019,,6435,6435,6435,6435,0,0
41,PPP,HNX,07/03/2019,,6781,6781,6781,6781,1007,9863000
42,PPP,HNX,08/03/2019,,6158,6781,6158,6781,1200,11580000
43,PPP,HNX,11/03/2019,,6781,6781,6781,6781,0,0
44,PPP,HNX,12/03/2019,,6158,6919,6158,6850,8500,83900000
45,PPP,HNX,13/03/2019,,6850,6850,6850,6850,0,0
46,PPP,HNX,14/03/2019,,6850,6850,6850,6850,2,18000
47,PPP,HNX,15/03/2019,,6919,6989,6919,6989,5600,56030000
48,PPP,HNX,18/03/2019,,6989,6989,6989,6989,0,0
49,PPP,HNX,19/03/2019,,6297,6297,6297,6297,500,4550000
50,PPP,HNX,20/03/2019,,5674,6919,5674,6919,12539,124423700
51,PPP,HNX,21/03/2019,,6919,6919,6919,6919,0,0
52,PPP,HNX,22/03/2019,,6989,6989,6989,6989,2000,20200000
53,PPP,HNX,25/03/2019,,6366,6366,6366,6366,1000,9200000
54,PPP,HNX,26/03/2019,,6850,6919,6850,6919,2000,19900000
55,PPP,HNX,27/03/2019,,6366,6366,6366,6366,1000,9200000
56,PPP,HNX,28/03/2019,,6919,6989,6919,6989,2018,20265600
57,PPP,HNX,29/03/2019,,6989,6989,6989,6989,0,0
58,PPP,HNX,01/04/2019,,6989,6989,6989,6989,0,0
59,PPP,HNX,02/04/2019,,6989,6989,6989,6989,0,0
60,PPP,HNX,03/04/2019,,6989,6989,6989,6989,0,0
61,PPP,HNX,04/04/2019,,6989,6989,6989,6989,0,0
62,PPP,HNX,05/04/2019,,6504,6504,6366,6366,9000,83300000
63,PPP,HNX,08/04/2019,,6366,6366,6366,6366,0,0
64,PPP,HNX,09/04/2019,,6366,6366,6366,6366,0,0
65,PPP,HNX,10/04/2019,,6366,6366,6366,6366,0,0
66,PPP,HNX,11/04/2019,,6366,6366,6366,6366,0,0
67,PPP,HNX,12/04/2019,,6366,6366,6366,6366,0,0
68,PPP,HNX,16/04/2019,,6366,6366,6366,6366,0,0
69,PPP,HNX,17/04/2019,,6366,6366,6366,6366,0,0
70,PPP,HNX,18/04/2019,,6366,6366,6366,6366,0,0
71,PPP,HNX,19/04/2019,,6366,6366,6366,6366,0,0
72,PPP,HNX,22/04/2019,,6435,6435,6435,6435,200,1860000
73,PPP,HNX,23/04/2019,,6435,6435,6435,6435,0,0
74,PPP,HNX,24/04/2019,,6850,6919,6850,6919,1100,10900000
75,PPP,HNX,25/04/2019,,6919,6919,6919,6919,0,0
76,PPP,HNX,26/04/2019,,6919,6919,6919,6919,0,0
77,PPP,HNX,02/05/2019,,7611,7611,7611,7611,227,2443000
78,PPP,HNX,03/05/2019,,6850,6850,6850,6850,6100,60390000
79,PPP,HNX,06/05/2019,,6919,6919,6919,6919,2501,25009000
80,PPP,HNX,07/05/2019,,7611,7611,7611,7611,800,8800000
81,PPP,HNX,08/05/2019,,8303,8303,8303,8303,202,2423600
82,PPP,HNX,09/05/2019,,8995,8995,7611,7611,1200,13600000
83,PPP,HNX,10/05/2019,,7611,7611,7611,7611,0,0
84,PPP,HNX,13/05/2019,,7888,7888,7888,7888,100,1140000
85,PPP,HNX,14/05/2019,,7888,7888,7888,7888,0,0
86,PPP,HNX,15/05/2019,,7888,7888,7888,7888,0,0
87,PPP,HNX,16/05/2019,,7888,7888,7888,7888,0,0
88,PPP,HNX,17/05/2019,,8649,8649,8649,8649,100,1250000
89,PPP,HNX,20/05/2019,,9410,9410,9410,9410,100,1360000
90,PPP,HNX,21/05/2019,,10310,10310,10241,10241,200,2970000
91,PPP,HNX,22/05/2019,,10241,10241,10241,10241,0,0
92,PPP,HNX,23/05/2019,,10241,10241,10241,10241,0,0
93,PPP,HNX,24/05/2019,,9549,9549,9549,9549,300,4140000
94,PPP,HNX,27/05/2019,,9549,9549,9549,9549,0,0
95,PPP,HNX,28/05/2019,,9549,9549,9549,9549,26,325000
96,PPP,HNX,29/05/2019,,9549,9549,9549,9549,0,0
97,PPP,HNX,30/05/2019,,9549,9549,9549,9549,0,0
