,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PPT,UPCOM,17/06/2022,,10780,10780,10780,10780,1500,23100
1,PPT,UPCOM,20/06/2022,,12390,12390,12390,12390,5700,100890
2,PPT,UPCOM,21/06/2022,,14210,14210,14210,14210,19600,397880
3,PPT,UPCOM,22/06/2022,,16310,16310,16310,16310,11200,260960
4,PPT,UPCOM,23/06/2022,,18690,18690,18130,18200,193900,5069130
5,PPT,UPCOM,24/06/2022,,18200,19180,18200,18760,168500,4507290
6,PPT,UPCOM,27/06/2022,,18760,19180,18410,18690,146900,3952510
7,PPT,UPCOM,28/06/2022,,18690,18690,18200,18550,78900,2078730
8,PPT,UPCOM,29/06/2022,,18550,18550,18340,18340,104100,2736150
9,PPT,UPCOM,30/06/2022,,18340,18970,18340,18620,127200,3397220
10,PPT,UPCOM,01/07/2022,,18620,18830,18480,18760,118200,3150280
11,PPT,UPCOM,04/07/2022,,18760,18970,18690,18900,111000,2977840
12,PPT,UPCOM,05/07/2022,,18900,19250,18410,18690,139600,3744170
13,PPT,UPCOM,06/07/2022,,18690,18760,18550,18690,40000,1066580
14,PPT,UPCOM,07/07/2022,,18690,18760,18550,18760,92800,2478070
15,PPT,UPCOM,08/07/2022,,18760,18830,18690,18760,49900,1338120
16,PPT,UPCOM,11/07/2022,,18760,18900,18760,18900,44200,1191080
17,PPT,UPCOM,12/07/2022,,18900,19250,18620,19250,302800,8227010
18,PPT,UPCOM,13/07/2022,,19250,19250,18830,19040,170500,4633850
19,PPT,UPCOM,14/07/2022,,19040,19250,19040,19250,69600,1901160
20,PPT,UPCOM,15/07/2022,,19250,19600,19040,19320,104400,2886130
21,PPT,UPCOM,18/07/2022,,19320,19320,18970,19110,84500,2307750
22,PPT,UPCOM,19/07/2022,,19110,19250,19110,19180,62900,1723010
23,PPT,UPCOM,20/07/2022,,18900,19320,18830,19040,100900,2757040
24,PPT,UPCOM,21/07/2022,,19040,19320,18830,19180,70300,1915650
25,PPT,UPCOM,22/07/2022,,19180,19250,19040,19180,90300,2464370
26,PPT,UPCOM,25/07/2022,,19180,19320,19040,19320,149700,4095240
27,PPT,UPCOM,26/07/2022,,19320,19320,19110,19250,95500,2623230
28,PPT,UPCOM,27/07/2022,,19250,19250,18900,19250,54700,1492040
29,PPT,UPCOM,28/07/2022,,19250,19740,18970,19740,112500,3114510
30,PPT,UPCOM,29/07/2022,,19740,19880,19670,19670,49900,1407280
31,PPT,UPCOM,01/08/2022,,19670,19950,19180,19950,71100,1988540
32,PPT,UPCOM,02/08/2022,,19950,20020,19600,19810,48200,1359100
33,PPT,UPCOM,03/08/2022,,19810,20160,19670,20160,56100,1590610
34,PPT,UPCOM,04/08/2022,,20160,20300,19950,20090,39100,1120590
35,PPT,UPCOM,05/08/2022,,20090,20230,19740,19810,44000,1254020
36,PPT,UPCOM,08/08/2022,,19810,19810,19320,19530,70300,1960760
37,PPT,UPCOM,09/08/2022,,19530,19600,19320,19600,51900,1448160
38,PPT,UPCOM,10/08/2022,,19600,19880,19250,19880,45900,1282840
39,PPT,UPCOM,11/08/2022,,19880,19950,19670,19670,43600,1230970
40,PPT,UPCOM,12/08/2022,,19670,20090,19670,19740,60300,1706680
41,PPT,UPCOM,15/08/2022,,19740,19740,19530,19600,33300,933040
42,PPT,UPCOM,16/08/2022,,19600,20020,19320,19950,57900,1623810
43,PPT,UPCOM,17/08/2022,,19950,20230,19810,20230,37500,1063090
44,PPT,UPCOM,18/08/2022,,20230,20440,20160,20370,35600,1028920
45,PPT,UPCOM,19/08/2022,,20370,20370,19950,20090,50500,1447030
46,PPT,UPCOM,22/08/2022,,20090,20510,20090,20300,69900,2016800
47,PPT,UPCOM,23/08/2022,,20300,20300,20090,20160,28600,823470
48,PPT,UPCOM,24/08/2022,,20160,20370,19880,20370,53200,1528630000
49,PPT,UPCOM,25/08/2022,,20370,20580,20300,20580,29900,874020000
50,PPT,UPCOM,26/08/2022,,20580,20650,20370,20370,37900,1107400000
51,PPT,UPCOM,29/08/2022,,20370,20580,20230,20300,52500,1526210000
52,PPT,UPCOM,30/08/2022,,20300,20370,20160,20370,35500,1027630000
53,PPT,UPCOM,31/08/2022,,20370,20370,20020,20090,43600,1255380000
54,PPT,UPCOM,05/09/2022,,20090,20090,19740,19950,64700,1838100000
