,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PRE,HNX,24/12/2020,,21087,21087,16140,16140,307200,6181740000
1,PRE,HNX,25/12/2020,,16221,16221,15978,16140,41900,827720000
2,PRE,HNX,28/12/2020,,16221,16221,16059,16221,6400,127110000
3,PRE,HNX,29/12/2020,,16221,16545,16140,16221,196500,3938560000
4,PRE,HNX,30/12/2020,,16221,16951,16221,16707,53400,1072130000
5,PRE,HNX,31/12/2020,,16789,17519,16221,16221,81600,1635540000
6,PRE,HNX,04/01/2021,,16221,16221,15410,15734,125200,2411410000
7,PRE,HNX,05/01/2021,,15815,15815,15572,15734,53400,1028840000
8,PRE,HNX,06/01/2021,,15815,16140,15491,15572,35100,674130000
9,PRE,HNX,07/01/2021,,15491,15491,14923,15248,48500,906490000
10,PRE,HNX,08/01/2021,,15329,15410,15248,15329,33200,627700000
11,PRE,HNX,11/01/2021,,15410,15491,15167,15329,21200,399260000
12,PRE,HNX,12/01/2021,,15248,15248,14761,14923,39900,732510000
13,PRE,HNX,13/01/2021,,14842,15004,14842,14923,21900,402210000
14,PRE,HNX,14/01/2021,,14842,15410,14842,15248,46500,866180000
15,PRE,HNX,15/01/2021,,15167,15167,15004,15167,16000,297520000
16,PRE,HNX,18/01/2021,,15167,15248,15085,15167,15900,297000000
17,PRE,HNX,19/01/2021,,15167,15329,14518,14761,41300,755250000
18,PRE,HNX,20/01/2021,,14761,14761,14193,14599,21400,379640000
19,PRE,HNX,21/01/2021,,14842,14842,14437,14680,10700,193000000
20,PRE,HNX,22/01/2021,,14842,15329,14599,14680,6200,112020000
21,PRE,HNX,25/01/2021,,14599,14599,14518,14599,16900,303470000
22,PRE,HNX,26/01/2021,,14518,14518,14193,14193,11700,208160000
23,PRE,HNX,27/01/2021,,14112,14193,13788,13950,11100,192010000
24,PRE,HNX,28/01/2021,,13707,13707,12571,12571,30000,465860000
25,PRE,HNX,29/01/2021,,12571,13788,12571,13707,11000,175290000
26,PRE,HNX,01/02/2021,,13788,13788,13626,13626,1900,32020000
27,PRE,HNX,02/02/2021,,13382,13544,12652,12733,5800,92680000
28,PRE,HNX,03/02/2021,,12652,13544,12652,13382,10000,159140000
29,PRE,HNX,04/02/2021,,13139,13382,13139,13382,3600,58380000
30,PRE,HNX,05/02/2021,,13382,13382,13382,13382,3800,62700000
31,PRE,HNX,08/02/2021,,13301,13382,12814,13301,17100,278820000
32,PRE,HNX,09/02/2021,,13382,13707,13382,13707,2500,41630000
33,PRE,HNX,17/02/2021,,13707,13707,12977,13626,7000,115190000
34,PRE,HNX,18/02/2021,,13626,13788,13626,13707,4200,70750000
35,PRE,HNX,19/02/2021,,13707,13707,13544,13707,7200,121520000
36,PRE,HNX,22/02/2021,,13707,13788,13626,13626,14600,247160000
37,PRE,HNX,23/02/2021,,13707,13707,13544,13707,4000,67350000
38,PRE,HNX,24/02/2021,,13707,13707,13463,13463,7800,130560000
39,PRE,HNX,25/02/2021,,13626,13626,13382,13382,5900,97680000
40,PRE,HNX,26/02/2021,,13058,13382,13058,13382,2700,44350000
41,PRE,HNX,01/03/2021,,13382,13626,13382,13626,4700,78740000
42,PRE,HNX,02/03/2021,,13626,13626,13463,13544,2500,41630000
43,PRE,HNX,03/03/2021,,13544,13626,13463,13463,10000,166540000
44,PRE,HNX,04/03/2021,,13463,13626,13463,13544,7000,116820000
45,PRE,HNX,05/03/2021,,13626,13626,13463,13463,4300,71970000
46,PRE,HNX,08/03/2021,,13544,13707,13463,13463,8400,140900000
47,PRE,HNX,09/03/2021,,13544,13869,13544,13707,17700,299200000
48,PRE,HNX,10/03/2021,,14518,14599,13869,14112,10900,187820000
49,PRE,HNX,11/03/2021,,14031,14274,13950,14274,6700,116730000
50,PRE,HNX,12/03/2021,,14599,14599,14112,14112,17900,312260000
51,PRE,HNX,15/03/2021,,14274,14274,13950,14193,9500,165630000
52,PRE,HNX,16/03/2021,,14031,14112,14031,14112,4800,83090000
53,PRE,HNX,17/03/2021,,14112,14112,14112,14112,700,12180000
54,PRE,HNX,18/03/2021,,14112,14112,13707,13869,8000,136140000
55,PRE,HNX,19/03/2021,,13707,13788,13626,13788,11900,200700000
56,PRE,HNX,22/03/2021,,13626,13707,13626,13707,4600,77400000
57,PRE,HNX,23/03/2021,,13788,14437,13626,13788,3700,62630000
58,PRE,HNX,24/03/2021,,13788,13788,13382,13382,6300,104980000
59,PRE,HNX,25/03/2021,,13382,13544,13382,13544,6100,100910000
60,PRE,HNX,26/03/2021,,13544,13544,13301,13301,1800,29670000
61,PRE,HNX,29/03/2021,,13382,13382,13382,13382,7700,127050000
62,PRE,HNX,30/03/2021,,13301,13707,13301,13707,2000,33050000
63,PRE,HNX,31/03/2021,,13626,13626,13382,13626,4300,71040000
64,PRE,HNX,01/04/2021,,13626,13869,13463,13626,11000,183340000
65,PRE,HNX,02/04/2021,,13626,13626,13301,13463,17000,281880000
66,PRE,HNX,05/04/2021,,13463,13544,13463,13463,7800,129500000
67,PRE,HNX,06/04/2021,,13544,13544,13382,13382,12900,213980000
68,PRE,HNX,07/04/2021,,13463,13463,13382,13463,2900,48020000
69,PRE,HNX,08/04/2021,,13463,13463,13382,13382,12800,211510000
