,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PSW,HNX,02/01/2019,,4708,4708,4708,4708,100,640000
1,PSW,HNX,03/01/2019,,4487,4487,4487,4487,100,610000
2,PSW,HNX,04/01/2019,,4487,4487,4487,4487,0,0
3,PSW,HNX,07/01/2019,,4487,4487,4487,4487,0,0
4,PSW,HNX,08/01/2019,,4855,4855,4855,4855,100,660000
5,PSW,HNX,09/01/2019,,4855,4855,4855,4855,0,0
6,PSW,HNX,10/01/2019,,4855,4855,4855,4855,0,0
7,PSW,HNX,11/01/2019,,4855,4855,4855,4855,0,0
8,PSW,HNX,14/01/2019,,4855,4855,4855,4855,0,0
9,PSW,HNX,15/01/2019,,4855,4855,4855,4855,0,0
10,PSW,HNX,16/01/2019,,4855,4855,4855,4855,0,0
11,PSW,HNX,17/01/2019,,4855,4855,4855,4855,0,0
12,PSW,HNX,18/01/2019,,4855,4855,4855,4855,0,0
13,PSW,HNX,21/01/2019,,4855,4855,4855,4855,0,0
14,PSW,HNX,22/01/2019,,4855,4855,4855,4855,0,0
15,PSW,HNX,23/01/2019,,4855,4855,4855,4855,0,0
16,PSW,HNX,24/01/2019,,4855,4855,4855,4855,0,0
17,PSW,HNX,25/01/2019,,4855,4855,4855,4855,0,0
18,PSW,HNX,28/01/2019,,4855,4855,4855,4855,0,0
19,PSW,HNX,29/01/2019,,4855,4855,4855,4855,0,0
20,PSW,HNX,30/01/2019,,4855,4855,4855,4855,0,0
21,PSW,HNX,31/01/2019,,4855,4855,4855,4855,0,0
22,PSW,HNX,01/02/2019,,4855,4855,4855,4855,0,0
23,PSW,HNX,11/02/2019,,4782,5297,4782,5297,200,1370000
24,PSW,HNX,12/02/2019,,5297,5297,5297,5297,0,0
25,PSW,HNX,13/02/2019,,5297,5297,5297,5297,0,0
26,PSW,HNX,14/02/2019,,5517,5517,5517,5517,500,3750000
27,PSW,HNX,15/02/2019,,5002,5591,5002,5591,1100,8280000
28,PSW,HNX,18/02/2019,,5591,5591,5517,5517,3000,22600000
29,PSW,HNX,19/02/2019,,5002,5002,5002,5002,100,680000
30,PSW,HNX,20/02/2019,,5444,5444,5444,5444,2000,14800000
31,PSW,HNX,21/02/2019,,5444,5444,5444,5444,1000,7400000
32,PSW,HNX,22/02/2019,,5444,5444,5444,5444,1000,7400000
33,PSW,HNX,25/02/2019,,5002,5002,5002,5002,100,680000
34,PSW,HNX,26/02/2019,,5444,5444,5444,5444,100,740000
35,PSW,HNX,27/02/2019,,4929,4929,4929,4929,100,670000
