,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PTI,HNX,02/01/2019,,19359,19359,17159,17159,3270,71654500
1,PTI,HNX,03/01/2019,,15839,15839,15839,15839,100,1800000
2,PTI,HNX,04/01/2019,,17423,17423,14959,14959,401,7657000
3,PTI,HNX,07/01/2019,,16455,16455,14167,14167,2100,39010000
4,PTI,HNX,08/01/2019,,14167,14167,14167,14167,0,0
5,PTI,HNX,09/01/2019,,14167,14167,14167,14167,0,0
6,PTI,HNX,10/01/2019,,14167,14167,14167,14167,0,0
7,PTI,HNX,11/01/2019,,15575,15575,14167,14167,3420,55610000
8,PTI,HNX,14/01/2019,,14167,14167,14167,14167,0,0
9,PTI,HNX,15/01/2019,,14167,14167,14167,14167,0,0
10,PTI,HNX,16/01/2019,,15223,15223,15223,15223,2000,34600000
11,PTI,HNX,17/01/2019,,14167,14167,14167,14167,320,5156000
12,PTI,HNX,18/01/2019,,14167,14167,14167,14167,0,0
13,PTI,HNX,21/01/2019,,14167,14167,14167,14167,0,0
14,PTI,HNX,22/01/2019,,14255,15223,14255,15223,321,5420200
15,PTI,HNX,23/01/2019,,16543,16543,14255,14255,220,3818000
16,PTI,HNX,24/01/2019,,14255,14255,14255,14255,0,0
17,PTI,HNX,25/01/2019,,14079,14079,13991,14079,15100,241500000
18,PTI,HNX,28/01/2019,,14343,14343,13991,13991,26017,414163500
19,PTI,HNX,29/01/2019,,14519,14519,14519,14519,420,6918000
20,PTI,HNX,30/01/2019,,14519,14519,14519,14519,0,0
21,PTI,HNX,31/01/2019,,14255,14255,14079,14079,2800,45240000
22,PTI,HNX,01/02/2019,,14079,14079,14079,14079,0,0
23,PTI,HNX,11/02/2019,,14079,14079,14079,14079,0,0
24,PTI,HNX,12/02/2019,,14079,14079,14079,14079,0,0
25,PTI,HNX,13/02/2019,,14255,14255,14255,14255,300,4860000
26,PTI,HNX,14/02/2019,,14255,14255,14255,14255,32,496000
27,PTI,HNX,15/02/2019,,14255,14255,14255,14255,317,5137100
28,PTI,HNX,18/02/2019,,13639,14167,13639,14167,420,6692000
29,PTI,HNX,19/02/2019,,14167,14167,14167,14167,4300,69230000
30,PTI,HNX,20/02/2019,,14959,14959,14959,14959,200,3400000
31,PTI,HNX,21/02/2019,,14255,14255,14167,14167,2200,35540000
32,PTI,HNX,22/02/2019,,14255,14255,14167,14167,8000,128960000
33,PTI,HNX,25/02/2019,,14167,14255,14167,14255,7300,117880000
34,PTI,HNX,26/02/2019,,14255,14343,14255,14343,4300,69720000
35,PTI,HNX,27/02/2019,,14343,14343,14343,14343,0,0
36,PTI,HNX,28/02/2019,,14343,14343,14343,14343,0,0
37,PTI,HNX,01/03/2019,,14343,14343,14343,14343,0,0
38,PTI,HNX,04/03/2019,,14343,14343,14343,14343,0,0
