,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PVG,HNX,02/01/2019,,7285,7285,6841,7196,5010,39397000
1,PVG,HNX,03/01/2019,,7463,7551,7463,7551,15400,130380000
2,PVG,HNX,04/01/2019,,7374,7374,7374,7374,1100,9130000
3,PVG,HNX,07/01/2019,,6841,7285,6663,7285,4100,31810000
4,PVG,HNX,08/01/2019,,7107,7196,7107,7196,13300,107400000
5,PVG,HNX,09/01/2019,,7196,7285,7196,7285,27700,224920000
6,PVG,HNX,10/01/2019,,7196,7285,7196,7285,10100,81980000
7,PVG,HNX,11/01/2019,,7285,7285,7285,7285,0,0
8,PVG,HNX,14/01/2019,,7374,7374,7374,7374,200,1660000
9,PVG,HNX,15/01/2019,,7107,8084,6930,7640,256192,2230748400
10,PVG,HNX,16/01/2019,,7729,7907,7640,7729,152000,1320290000
11,PVG,HNX,17/01/2019,,7729,7907,7463,7551,23700,202240000
12,PVG,HNX,18/01/2019,,7463,7463,7285,7285,13300,109710000
13,PVG,HNX,21/01/2019,,7285,7374,7196,7374,40800,333990000
14,PVG,HNX,22/01/2019,,7285,7285,7107,7285,38700,313630000
15,PVG,HNX,23/01/2019,,7107,7285,7107,7285,29500,237780000
16,PVG,HNX,24/01/2019,,7196,7285,7196,7196,17300,140230000
17,PVG,HNX,25/01/2019,,7107,7107,6930,7107,27400,218310000
18,PVG,HNX,28/01/2019,,7107,7107,7018,7107,40600,323240000
19,PVG,HNX,29/01/2019,,7107,7196,7107,7196,37000,296020000
20,PVG,HNX,30/01/2019,,7107,7196,7107,7196,3000,24090000
21,PVG,HNX,31/01/2019,,7107,7107,7018,7018,800,6350000
22,PVG,HNX,01/02/2019,,7018,7018,6752,7018,8500,66740000
23,PVG,HNX,11/02/2019,,6841,7018,6752,6841,25704,198910800
24,PVG,HNX,12/02/2019,,7018,7107,6841,7107,17100,134000000
25,PVG,HNX,13/02/2019,,7107,7551,7107,7551,64700,548670000
26,PVG,HNX,14/02/2019,,7374,7551,7374,7374,56500,472090000
27,PVG,HNX,15/02/2019,,7285,7374,7196,7285,8500,69830000
28,PVG,HNX,18/02/2019,,7196,7463,7196,7463,57000,466860000
29,PVG,HNX,19/02/2019,,7196,7374,7196,7374,21018,171199400
30,PVG,HNX,20/02/2019,,7374,7374,7285,7374,66200,542960000
