,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,PVS,HNX,02/01/2019,,14559,14807,14228,14228,1639997,28659136400
1,PVS,HNX,03/01/2019,,14228,14559,13731,13814,3053683,51530517200
2,PVS,HNX,04/01/2019,,13649,14476,13566,14393,3282759,55905036700
3,PVS,HNX,07/01/2019,,14641,14889,14559,14724,2807490,50031144200
4,PVS,HNX,08/01/2019,,14807,14972,14559,14807,2780935,49586398600
5,PVS,HNX,09/01/2019,,15055,15303,14972,15220,4556436,83515201400
6,PVS,HNX,10/01/2019,,15303,15551,14889,14889,3145902,57713496000
7,PVS,HNX,11/01/2019,,14972,15138,14724,14807,2268571,40925076000
8,PVS,HNX,14/01/2019,,14889,14889,14559,14641,2160336,38282935600
9,PVS,HNX,15/01/2019,,14476,14972,14476,14807,2324527,41676009000
10,PVS,HNX,16/01/2019,,14889,15055,14724,14889,2020975,36358798400
11,PVS,HNX,17/01/2019,,14972,14972,14641,14724,1028831,18401123000
12,PVS,HNX,18/01/2019,,14807,14807,14559,14641,1671479,29644779100
13,PVS,HNX,21/01/2019,,14807,15138,14641,15138,3272776,59206353300
14,PVS,HNX,22/01/2019,,15138,15220,14889,14889,2315401,42149675400
15,PVS,HNX,23/01/2019,,14807,14972,14807,14889,1401580,25191000500
16,PVS,HNX,24/01/2019,,14889,15386,14889,15055,3445640,63173661700
17,PVS,HNX,25/01/2019,,15303,15303,14972,15055,1290644,23568368800
18,PVS,HNX,28/01/2019,,15055,15468,15055,15386,4174087,77278436900
19,PVS,HNX,29/01/2019,,15303,15386,15138,15386,2514298,46434470100
20,PVS,HNX,30/01/2019,,15303,15717,15055,15386,4224755,78780830200
21,PVS,HNX,31/01/2019,,15386,15717,15303,15303,2097567,39138594400
22,PVS,HNX,01/02/2019,,15303,15468,15138,15303,1362335,25207038000
23,PVS,HNX,11/02/2019,,15303,15634,15303,15634,2343204,43956380700
24,PVS,HNX,12/02/2019,,15634,15965,15551,15799,3723594,70948222600
25,PVS,HNX,13/02/2019,,15882,16296,15799,16296,5156990,100004594000
26,PVS,HNX,14/02/2019,,16296,16378,16047,16047,2439939,47615229500
27,PVS,HNX,15/02/2019,,16130,16378,16047,16047,3618055,70873265100
28,PVS,HNX,18/02/2019,,16213,16709,16130,16544,6169960,122870747500
29,PVS,HNX,19/02/2019,,16544,16709,16213,16213,4079924,80848547400
30,PVS,HNX,20/02/2019,,16213,16461,16130,16296,3788827,74756612300
31,PVS,HNX,21/02/2019,,16378,16544,16296,16378,2907208,57655780900
32,PVS,HNX,22/02/2019,,16378,17040,16213,16792,5460204,109652619700
