,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,S99,HNX,02/01/2019,,5853,6254,5853,5853,54800,425260000
1,S99,HNX,03/01/2019,,6093,6334,5853,6013,18100,141680000
2,S99,HNX,04/01/2019,,6174,6174,6093,6174,7600,58410000
3,S99,HNX,07/01/2019,,6414,6735,6093,6494,8012,65050000
4,S99,HNX,08/01/2019,,6414,6414,6334,6334,13140,103884000
5,S99,HNX,09/01/2019,,6334,6334,5933,5933,7807,59184600
6,S99,HNX,10/01/2019,,6174,6174,5853,6013,6003,44963100
7,S99,HNX,11/01/2019,,6093,6093,5853,5853,8400,62010000
8,S99,HNX,14/01/2019,,6013,6013,5773,5773,3700,26670000
9,S99,HNX,15/01/2019,,6254,6254,5773,5773,5600,41980000
10,S99,HNX,16/01/2019,,6174,6174,6093,6093,54600,418540000
11,S99,HNX,17/01/2019,,6093,6093,6093,6093,5100,38760000
12,S99,HNX,18/01/2019,,6093,6174,5692,5692,16331,124006300
13,S99,HNX,21/01/2019,,5211,6254,5211,5532,2832,19671200
14,S99,HNX,22/01/2019,,5612,5612,5612,5612,100,700000
15,S99,HNX,23/01/2019,,5933,5933,5933,5933,105,774000
16,S99,HNX,24/01/2019,,5612,6174,5612,5612,8572,60067600
17,S99,HNX,25/01/2019,,5612,5612,5612,5612,0,0
18,S99,HNX,28/01/2019,,5692,5933,5692,5853,13440,98094000
19,S99,HNX,29/01/2019,,5853,5853,5853,5853,0,0
20,S99,HNX,30/01/2019,,5853,5853,5853,5853,98,676200
21,S99,HNX,31/01/2019,,5532,6093,5532,6093,200,1450000
22,S99,HNX,01/02/2019,,6093,6093,5532,5532,1400,10290000
23,S99,HNX,11/02/2019,,5211,5853,5211,5853,300,2030000
24,S99,HNX,12/02/2019,,5853,6013,5853,6013,1110,8120000
25,S99,HNX,13/02/2019,,5773,6174,5773,5773,1600,11570000
26,S99,HNX,14/02/2019,,5933,6174,5692,5853,15900,120800000
27,S99,HNX,15/02/2019,,5933,6174,5933,6174,7021,53065200
28,S99,HNX,18/02/2019,,6254,6334,6254,6334,19751,155688700
29,S99,HNX,19/02/2019,,6013,6254,6013,6093,15800,122860000
30,S99,HNX,20/02/2019,,5933,6334,5933,6013,50100,379970000
31,S99,HNX,21/02/2019,,5933,6013,5853,5853,70110,514222000
32,S99,HNX,22/02/2019,,5853,6254,5853,6254,25156,183677600
33,S99,HNX,25/02/2019,,6414,6494,6414,6494,43000,346300000
34,S99,HNX,26/02/2019,,6414,6414,6334,6334,7510,59875000
35,S99,HNX,27/02/2019,,6414,6574,6414,6574,47724,387521500
36,S99,HNX,28/02/2019,,6574,6574,6414,6414,28700,233922500
37,S99,HNX,01/03/2019,,6414,6414,6334,6334,5900,47120000
