,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SCG,UPCOM,12/04/2021,,18481,18481,18481,18481,800,23040000
1,SCG,UPCOM,13/04/2021,,21240,21240,21240,21240,200,6620000
2,SCG,UPCOM,14/04/2021,,24385,24385,24385,24385,100,3800000
3,SCG,UPCOM,15/04/2021,,28042,28042,28042,28042,900,39330000
4,SCG,UPCOM,16/04/2021,,32213,32213,32213,32213,176900,8880380000
5,SCG,UPCOM,19/04/2021,,37026,37026,32406,37026,415100,23847180000
6,SCG,UPCOM,20/04/2021,,42352,42352,41711,42031,475500,31362380000
7,SCG,UPCOM,22/04/2021,,45561,48705,45561,48705,28200,2076390000
8,SCG,UPCOM,23/04/2021,,54288,54288,46844,54288,73300,5850080000
9,SCG,UPCOM,26/04/2021,,51978,58844,51978,58844,89100,8154890000
10,SCG,UPCOM,27/04/2021,,67379,67507,64170,67507,78500,8244870000
11,SCG,UPCOM,28/04/2021,,74437,75721,57304,57304,45800,4474330000
12,SCG,UPCOM,29/04/2021,,53325,64170,53325,64170,88700,7785530000
13,SCG,UPCOM,04/05/2021,,54545,62245,54545,56341,12100,1114250000
14,SCG,UPCOM,05/05/2021,,54801,56470,51978,51978,22900,1938500000
15,SCG,UPCOM,06/05/2021,,51978,57560,51336,55186,39600,3447070000
16,SCG,UPCOM,07/05/2021,,55828,55828,47486,51464,34000,2644910000
17,SCG,UPCOM,10/05/2021,,50053,51336,48769,51336,35600,2790700000
18,SCG,UPCOM,11/05/2021,,50694,51464,49411,51400,6000,478610000
19,SCG,UPCOM,12/05/2021,,51336,51978,49475,51978,15900,1266560000
20,SCG,UPCOM,13/05/2021,,53261,54545,50758,51015,15300,1228880000
21,SCG,UPCOM,14/05/2021,,49411,51336,49411,51336,14900,1174120000
22,SCG,UPCOM,17/05/2021,,50566,50566,47486,47550,7000,525300000
23,SCG,UPCOM,18/05/2021,,47486,47486,43956,44149,15800,1119320000
24,SCG,UPCOM,19/05/2021,,43636,44598,40748,43636,14700,962410000
25,SCG,UPCOM,20/05/2021,,41711,41711,37604,37860,14500,870350000
26,SCG,UPCOM,21/05/2021,,42352,44277,41711,44277,9100,618500000
27,SCG,UPCOM,24/05/2021,,50053,50053,49796,49796,4000,311930000
28,SCG,UPCOM,25/05/2021,,43956,49732,42609,49603,3600,262660000
29,SCG,UPCOM,26/05/2021,,46780,46844,46780,46844,700,51090000
30,SCG,UPCOM,27/05/2021,,46202,46202,41069,41069,4200,271960000
31,SCG,UPCOM,28/05/2021,,43636,44277,38502,41582,8900,573610000
32,SCG,UPCOM,31/05/2021,,44919,44919,39785,42994,15400,985930000
33,SCG,UPCOM,01/06/2021,,44855,44855,39785,42288,17900,1136940000
34,SCG,UPCOM,02/06/2021,,43315,44277,38502,44277,23400,1475180000
35,SCG,UPCOM,03/06/2021,,43251,43251,39914,41069,8500,538390000
36,SCG,UPCOM,04/06/2021,,39144,41005,38374,39080,27600,1677130000
37,SCG,UPCOM,07/06/2021,,40427,40427,37989,39080,16500,991870000
38,SCG,UPCOM,08/06/2021,,38823,39144,32855,38695,12500,710840000
39,SCG,UPCOM,09/06/2021,,39144,39144,34010,34010,25900,1448280000
40,SCG,UPCOM,10/06/2021,,39144,39144,35358,35358,27800,1657050000
41,SCG,UPCOM,11/06/2021,,39080,39465,39080,39144,11300,689180000
42,SCG,UPCOM,14/06/2021,,38759,39144,35294,35294,72900,4180270000
43,SCG,UPCOM,15/06/2021,,37860,37860,34074,34716,125600,6913440000
44,SCG,UPCOM,16/06/2021,,35294,35294,32406,32919,147600,7617120000
45,SCG,UPCOM,17/06/2021,,34010,35422,32919,34203,101900,5376770000
46,SCG,UPCOM,18/06/2021,,35229,36898,33882,36320,106900,5921070000
47,SCG,UPCOM,21/06/2021,,37219,38502,35550,36898,124800,7184680000
48,SCG,UPCOM,22/06/2021,,36962,41069,36641,37411,163700,9815370000
49,SCG,UPCOM,23/06/2021,,38438,44277,38438,44277,204000,13520630000
50,SCG,UPCOM,24/06/2021,,46523,48898,46523,48898,43400,3306210000
51,SCG,UPCOM,25/06/2021,,56213,56213,48898,50245,237800,20121200000
52,SCG,UPCOM,28/06/2021,,50373,53389,47486,49860,173100,13424800000
53,SCG,UPCOM,29/06/2021,,54480,54480,49924,52812,262700,21663140000
54,SCG,UPCOM,30/06/2021,,52940,52940,50373,51529,310100,25087620000
55,SCG,UPCOM,01/07/2021,,51914,52042,48128,51914,378200,29930840000
56,SCG,UPCOM,02/07/2021,,50758,51914,46844,51272,435400,33514930000
57,SCG,UPCOM,05/07/2021,,56500,56800,55000,56800,290900,16424980000
58,SCG,UPCOM,06/07/2021,,62500,64900,60100,64900,370000,23716180000
59,SCG,UPCOM,07/07/2021,,70000,70000,60000,64300,368900,23575310000
60,SCG,UPCOM,08/07/2021,,63000,64000,56500,63500,495800,29903210000
61,SCG,UPCOM,09/07/2021,,64000,64800,60200,64800,373000,23400360000
62,SCG,UPCOM,12/07/2021,,62400,64400,59000,64400,376400,23350400000
63,SCG,UPCOM,13/07/2021,,60500,71000,60300,63000,405400,25428460000
64,SCG,UPCOM,14/07/2021,,61000,64000,60700,63900,442700,27750220000
65,SCG,UPCOM,15/07/2021,,62500,65700,61000,63500,432900,27480460000
66,SCG,UPCOM,16/07/2021,,63300,67000,63300,66900,519200,34351700000
67,SCG,UPCOM,19/07/2021,,64000,65400,62000,62600,285500,18250840000
68,SCG,UPCOM,20/07/2021,,62000,65000,60000,61500,460400,28696230000
69,SCG,UPCOM,21/07/2021,,61200,62500,60600,60600,342500,21165650000
70,SCG,UPCOM,22/07/2021,,60800,63500,60400,63200,394600,24563560000
71,SCG,UPCOM,23/07/2021,,61300,63900,61300,63700,336700,21151170000
