,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SD6,HNX,02/01/2019,,4100,4100,4100,4100,3300,13530000
1,SD6,HNX,03/01/2019,,4200,4200,4200,4200,100,420000
2,SD6,HNX,04/01/2019,,4000,4100,3900,4100,14800,58200000
3,SD6,HNX,07/01/2019,,4100,4100,4000,4000,4000,16090000
4,SD6,HNX,08/01/2019,,3900,3900,3900,3900,4100,15990000
5,SD6,HNX,09/01/2019,,4100,4100,4100,4100,100,410000
6,SD6,HNX,10/01/2019,,4100,4100,4100,4100,0,0
7,SD6,HNX,11/01/2019,,4100,4100,4100,4100,100,410000
8,SD6,HNX,14/01/2019,,4100,4200,4100,4200,21800,89400000
9,SD6,HNX,15/01/2019,,4200,4200,4200,4200,0,0
10,SD6,HNX,16/01/2019,,4200,4200,4200,4200,0,0
11,SD6,HNX,17/01/2019,,4200,4200,4200,4200,0,0
12,SD6,HNX,18/01/2019,,4200,4200,4200,4200,0,0
13,SD6,HNX,21/01/2019,,4000,4200,3900,4200,1200,4750000
14,SD6,HNX,22/01/2019,,4200,4200,4200,4200,0,0
15,SD6,HNX,23/01/2019,,4200,4200,4200,4200,0,0
16,SD6,HNX,24/01/2019,,4200,4200,4200,4200,0,0
17,SD6,HNX,25/01/2019,,4000,4000,4000,4000,100,400000
18,SD6,HNX,28/01/2019,,4000,4100,4000,4100,2100,8410000
19,SD6,HNX,29/01/2019,,3900,4100,3900,4100,5600,22660000
20,SD6,HNX,30/01/2019,,3900,3900,3900,3900,3000,11700000
21,SD6,HNX,31/01/2019,,4000,4000,4000,4000,100,400000
22,SD6,HNX,01/02/2019,,4000,4000,4000,4000,0,0
23,SD6,HNX,11/02/2019,,4000,4000,4000,4000,50,190000
24,SD6,HNX,12/02/2019,,3900,3900,3900,3900,3300,12870000
25,SD6,HNX,13/02/2019,,3800,3800,3800,3800,3100,11780000
26,SD6,HNX,14/02/2019,,4000,4000,4000,4000,100,400000
27,SD6,HNX,15/02/2019,,3900,3900,3900,3900,200,780000
28,SD6,HNX,18/02/2019,,3900,3900,3900,3900,100,390000
29,SD6,HNX,19/02/2019,,3900,3900,3900,3900,200,780000
30,SD6,HNX,20/02/2019,,3900,3900,3900,3900,0,0
31,SD6,HNX,21/02/2019,,3800,4000,3800,3900,620,2394000
32,SD6,HNX,22/02/2019,,3700,3900,3700,3800,3200,11870000
33,SD6,HNX,25/02/2019,,3900,4000,3900,4000,310,1229000
34,SD6,HNX,26/02/2019,,3700,3900,3700,3900,1600,5940000
35,SD6,HNX,27/02/2019,,3700,3800,3600,3700,38300,138890000
36,SD6,HNX,28/02/2019,,3800,3800,3800,3800,100,380000
37,SD6,HNX,01/03/2019,,3800,3800,3800,3800,2500,9500000
38,SD6,HNX,04/03/2019,,3700,3800,3500,3800,13400,47930000
39,SD6,HNX,05/03/2019,,3600,3800,3500,3800,8500,30300000
40,SD6,HNX,06/03/2019,,3700,3700,3700,3700,1100,4070000
41,SD6,HNX,07/03/2019,,3600,3600,3600,3600,1200,4320000
42,SD6,HNX,08/03/2019,,3500,3600,3500,3500,17200,60460000
43,SD6,HNX,11/03/2019,,3500,3700,3500,3600,700,2510000
44,SD6,HNX,12/03/2019,,3600,3700,3500,3700,2866,10324400
45,SD6,HNX,13/03/2019,,3600,3600,3600,3600,7300,26280000
46,SD6,HNX,14/03/2019,,3700,3700,3600,3600,400,1450000
47,SD6,HNX,15/03/2019,,3700,3900,3700,3900,12100,45350000
48,SD6,HNX,18/03/2019,,3700,3900,3700,3800,1800,6800000
49,SD6,HNX,19/03/2019,,3800,3800,3800,3800,500,1900000
50,SD6,HNX,20/03/2019,,3800,3800,3800,3800,1500,5700000
51,SD6,HNX,21/03/2019,,3800,3800,3800,3800,0,0
52,SD6,HNX,22/03/2019,,3800,3800,3700,3800,3900,14620000
53,SD6,HNX,25/03/2019,,3900,3900,3900,3900,100,390000
54,SD6,HNX,26/03/2019,,3800,3900,3800,3900,1700,6470000
55,SD6,HNX,27/03/2019,,3600,3900,3600,3900,7400,28000000
56,SD6,HNX,28/03/2019,,3900,3900,3900,3900,0,0
57,SD6,HNX,29/03/2019,,3700,4200,3700,4200,33334,133496000
58,SD6,HNX,01/04/2019,,3900,4100,3800,4000,11100,42490000
59,SD6,HNX,02/04/2019,,3900,4000,3900,4000,3540,13814000
60,SD6,HNX,03/04/2019,,3700,4000,3700,4000,5500,21050000
61,SD6,HNX,04/04/2019,,3900,3900,3900,3900,1200,4680000
62,SD6,HNX,05/04/2019,,3800,3800,3800,3800,5200,19760000
63,SD6,HNX,08/04/2019,,3800,3800,3800,3800,9782,37155200
64,SD6,HNX,09/04/2019,,3800,4000,3600,4000,105518,393858400
65,SD6,HNX,10/04/2019,,3900,4400,3900,4200,71358,295486200
66,SD6,HNX,11/04/2019,,4200,4200,4100,4200,18400,77080000
67,SD6,HNX,12/04/2019,,4200,4300,4200,4200,37100,155930000
68,SD6,HNX,16/04/2019,,4200,4300,4200,4200,5000,21030000
69,SD6,HNX,17/04/2019,,4300,4300,3800,3800,68000,268280000
70,SD6,HNX,18/04/2019,,3900,4100,3500,3600,122039,433606400
71,SD6,HNX,19/04/2019,,3400,3700,3400,3600,9780,33430000
72,SD6,HNX,22/04/2019,,3600,3600,3400,3600,6538,22493200
73,SD6,HNX,23/04/2019,,3400,3700,3400,3700,4800,16630000
74,SD6,HNX,24/04/2019,,3500,3500,3500,3500,4400,15400000
75,SD6,HNX,25/04/2019,,3600,3700,3500,3600,4260,15110000
76,SD6,HNX,26/04/2019,,3400,3900,3300,3900,54000,183850000
77,SD6,HNX,02/05/2019,,3600,3600,3600,3600,1104,3974400
78,SD6,HNX,03/05/2019,,3400,3500,3400,3500,2102,7276600
79,SD6,HNX,06/05/2019,,3400,3500,3400,3400,3200,10930000
80,SD6,HNX,07/05/2019,,3300,3400,3300,3400,1135,3845500
81,SD6,HNX,08/05/2019,,3400,3400,3400,3400,1000,3400000
82,SD6,HNX,09/05/2019,,3400,3400,3400,3400,4600,15640000
83,SD6,HNX,10/05/2019,,3400,3400,3300,3300,6700,22650000
84,SD6,HNX,13/05/2019,,3300,3500,3300,3400,5200,17680000
85,SD6,HNX,14/05/2019,,3300,3400,3300,3400,1900,6280000
86,SD6,HNX,15/05/2019,,3300,3400,3200,3400,14200,46830000
87,SD6,HNX,16/05/2019,,3400,3400,3300,3300,850,2870000
88,SD6,HNX,17/05/2019,,3300,3400,3300,3400,3000,10010000
89,SD6,HNX,20/05/2019,,3300,3300,3300,3300,4700,15510000
90,SD6,HNX,21/05/2019,,3200,3400,3200,3400,300,980000
91,SD6,HNX,22/05/2019,,3200,3400,3200,3400,766,2471200
92,SD6,HNX,23/05/2019,,3400,3400,3400,3400,0,0
93,SD6,HNX,24/05/2019,,3300,3300,3300,3300,1500,4950000
94,SD6,HNX,27/05/2019,,3300,3500,3300,3500,38700,135130000
95,SD6,HNX,28/05/2019,,3500,3500,3400,3400,4000,13800000
96,SD6,HNX,29/05/2019,,3400,3400,3400,3400,150,465000
97,SD6,HNX,30/05/2019,,3300,3400,3300,3400,1000,3310000
98,SD6,HNX,31/05/2019,,3400,3600,3400,3500,4500,15500000
99,SD6,HNX,03/06/2019,,3600,3600,3500,3500,300,1060000
100,SD6,HNX,04/06/2019,,3500,3500,3500,3500,0,0
101,SD6,HNX,05/06/2019,,3500,3500,3500,3500,0,0
102,SD6,HNX,06/06/2019,,3500,3500,3500,3500,90,288000
103,SD6,HNX,07/06/2019,,3500,3500,3500,3500,0,0
104,SD6,HNX,10/06/2019,,3500,3500,3500,3500,0,0
105,SD6,HNX,11/06/2019,,3500,3500,3500,3500,0,0
106,SD6,HNX,12/06/2019,,3500,3500,3500,3500,100,350000
107,SD6,HNX,13/06/2019,,3500,3500,3500,3500,0,0
108,SD6,HNX,14/06/2019,,3500,3500,3500,3500,0,0
109,SD6,HNX,17/06/2019,,3300,3500,3300,3500,717,2386100
110,SD6,HNX,18/06/2019,,3300,3500,3300,3500,253,854900
111,SD6,HNX,19/06/2019,,3500,3500,3500,3500,0,0
112,SD6,HNX,20/06/2019,,3500,3500,3500,3500,0,0
