,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SDA,HNX,02/01/2019,,5600,5600,5300,5300,108500,575080000
1,SDA,HNX,03/01/2019,,5700,5700,4800,5300,900,4760000
2,SDA,HNX,04/01/2019,,5300,5300,5300,5300,0,0
3,SDA,HNX,07/01/2019,,5800,5800,5300,5300,200,1110000
4,SDA,HNX,08/01/2019,,5300,5300,5300,5300,0,0
5,SDA,HNX,09/01/2019,,5300,5300,5300,5300,0,0
6,SDA,HNX,10/01/2019,,5300,5300,5300,5300,0,0
7,SDA,HNX,11/01/2019,,5300,5300,5300,5300,0,0
8,SDA,HNX,14/01/2019,,5300,5300,5300,5300,0,0
9,SDA,HNX,15/01/2019,,5300,5300,5300,5300,0,0
10,SDA,HNX,16/01/2019,,5700,5700,5700,5700,100,570000
11,SDA,HNX,17/01/2019,,6100,6100,5200,5200,200,1130000
12,SDA,HNX,18/01/2019,,5700,5700,4700,5200,2200,11390000
13,SDA,HNX,21/01/2019,,5600,5600,5600,5600,1800,10080000
14,SDA,HNX,22/01/2019,,5600,5600,5600,5600,0,0
15,SDA,HNX,23/01/2019,,5600,5600,5600,5600,0,0
16,SDA,HNX,24/01/2019,,5600,5600,5600,5600,0,0
17,SDA,HNX,25/01/2019,,5600,5600,5600,5600,0,0
18,SDA,HNX,28/01/2019,,5600,5600,5600,5600,0,0
19,SDA,HNX,29/01/2019,,5600,5600,5600,5600,0,0
20,SDA,HNX,30/01/2019,,5600,5600,5600,5600,0,0
21,SDA,HNX,31/01/2019,,5600,5600,5600,5600,0,0
22,SDA,HNX,01/02/2019,,5600,5600,5600,5600,0,0
23,SDA,HNX,11/02/2019,,5600,5600,5600,5600,0,0
24,SDA,HNX,12/02/2019,,5600,5600,5600,5600,0,0
25,SDA,HNX,13/02/2019,,5600,5600,5600,5600,0,0
26,SDA,HNX,14/02/2019,,5600,5600,5600,5600,0,0
27,SDA,HNX,15/02/2019,,5600,5600,5600,5600,0,0
28,SDA,HNX,18/02/2019,,6000,6000,5100,5100,200,1110000
29,SDA,HNX,19/02/2019,,5100,5100,5100,5100,0,0
