,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SDT,HNX,02/01/2019,,3808,3808,3808,3808,900,4680000
1,SDT,HNX,03/01/2019,,3954,3954,3954,3954,100,540000
2,SDT,HNX,04/01/2019,,3954,3954,3954,3954,0,0
3,SDT,HNX,07/01/2019,,3881,3881,3881,3881,1230,6513000
4,SDT,HNX,08/01/2019,,3881,3881,3881,3881,200,1060000
5,SDT,HNX,09/01/2019,,3881,3881,3808,3881,25600,135670000
6,SDT,HNX,10/01/2019,,3881,3881,3881,3881,0,0
7,SDT,HNX,11/01/2019,,3881,3954,3881,3954,2000,10700000
8,SDT,HNX,14/01/2019,,3954,4101,3954,4101,36200,198480000
9,SDT,HNX,15/01/2019,,4101,4101,4101,4101,38,197600
10,SDT,HNX,16/01/2019,,4027,4027,4027,4027,400,2200000
11,SDT,HNX,17/01/2019,,3881,3881,3808,3808,702,3680200
12,SDT,HNX,18/01/2019,,3808,3881,3808,3808,39155,203906000
13,SDT,HNX,21/01/2019,,3808,3808,3808,3808,0,0
14,SDT,HNX,22/01/2019,,3881,3881,3808,3808,13100,68140000
15,SDT,HNX,23/01/2019,,3891,3973,3891,3973,1401,6604700
16,SDT,HNX,24/01/2019,,3973,3973,3973,3973,100,480000
17,SDT,HNX,25/01/2019,,4056,4056,4056,4056,100,490000
18,SDT,HNX,28/01/2019,,4056,4056,3725,3725,8400,38080000
19,SDT,HNX,29/01/2019,,3725,3725,3394,3394,38200,159410000
20,SDT,HNX,30/01/2019,,3477,3725,3394,3725,33400,139380000
21,SDT,HNX,31/01/2019,,3725,4056,3725,4056,45341,220004400
22,SDT,HNX,01/02/2019,,3891,3891,3725,3725,14104,63538000
23,SDT,HNX,11/02/2019,,3725,3808,3642,3808,800,3580000
24,SDT,HNX,12/02/2019,,3725,3725,3725,3725,1220,5490000
25,SDT,HNX,13/02/2019,,3725,3725,3725,3725,1710,7695000
26,SDT,HNX,14/02/2019,,3725,3725,3725,3725,100,450000
27,SDT,HNX,15/02/2019,,3725,3725,3725,3725,0,0
28,SDT,HNX,18/02/2019,,3559,3725,3559,3725,1870,8176200
29,SDT,HNX,19/02/2019,,3725,3725,3725,3725,7329,32980500
30,SDT,HNX,20/02/2019,,3808,3973,3808,3973,9011,42929500
31,SDT,HNX,21/02/2019,,3973,3973,3973,3973,800,3840000
32,SDT,HNX,22/02/2019,,3808,3973,3808,3973,13600,63740000
33,SDT,HNX,25/02/2019,,3725,3891,3725,3725,4400,20060000
34,SDT,HNX,26/02/2019,,3642,3642,3394,3559,219527,911356400
35,SDT,HNX,27/02/2019,,3642,3808,3642,3808,1100,4930000
36,SDT,HNX,28/02/2019,,3808,3808,3808,3808,200,920000
37,SDT,HNX,01/03/2019,,3725,3725,3725,3725,910,4096000
38,SDT,HNX,04/03/2019,,3559,3559,3559,3559,248,1065800
39,SDT,HNX,05/03/2019,,3642,3642,3642,3642,141600,623040000
40,SDT,HNX,06/03/2019,,3642,3725,3642,3642,900,3990000
41,SDT,HNX,07/03/2019,,3642,3642,3642,3642,0,0
42,SDT,HNX,08/03/2019,,3725,3725,3725,3725,249,1119100
43,SDT,HNX,11/03/2019,,3559,3559,3394,3477,64900,266530000
44,SDT,HNX,12/03/2019,,3394,3477,3394,3394,21900,89830000
45,SDT,HNX,13/03/2019,,3394,3394,3394,3394,26500,108650000
46,SDT,HNX,14/03/2019,,3394,3394,3394,3394,100,410000
47,SDT,HNX,15/03/2019,,3394,3394,3394,3394,23700,97170000
48,SDT,HNX,18/03/2019,,3394,3394,3311,3394,74867,300018000
49,SDT,HNX,19/03/2019,,3394,3477,3394,3477,600,2480000
50,SDT,HNX,20/03/2019,,3477,3477,3477,3477,100,420000
51,SDT,HNX,21/03/2019,,3394,3394,3394,3394,1000,4100000
52,SDT,HNX,22/03/2019,,3394,3394,3311,3394,25655,102700000
53,SDT,HNX,25/03/2019,,3311,3559,3311,3559,1500,6090000
54,SDT,HNX,26/03/2019,,3559,3559,3559,3559,0,0
55,SDT,HNX,27/03/2019,,3477,3477,3311,3394,772,3121700
56,SDT,HNX,28/03/2019,,3311,3394,3311,3394,15500,62050000
57,SDT,HNX,29/03/2019,,3394,3477,3394,3477,4400,18340000
58,SDT,HNX,01/04/2019,,3477,3477,3477,3477,2500,10500000
59,SDT,HNX,02/04/2019,,3311,3559,3311,3559,5900,24550000
60,SDT,HNX,03/04/2019,,3559,3559,3559,3559,50,215000
61,SDT,HNX,04/04/2019,,3559,3559,3559,3559,0,0
62,SDT,HNX,05/04/2019,,3477,3477,3477,3477,100,420000
63,SDT,HNX,08/04/2019,,3559,3559,3394,3394,1400,5900000
64,SDT,HNX,09/04/2019,,3477,3477,3477,3477,150,630000
65,SDT,HNX,10/04/2019,,3477,3477,3477,3477,13,54600
66,SDT,HNX,11/04/2019,,3477,3477,3477,3477,0,0
67,SDT,HNX,12/04/2019,,3559,3559,3394,3559,6100,25050000
68,SDT,HNX,16/04/2019,,3559,3559,3559,3559,17,71400
69,SDT,HNX,17/04/2019,,3477,3477,3477,3477,201100,844620000
70,SDT,HNX,18/04/2019,,3477,3477,3477,3477,1000,4200000
71,SDT,HNX,19/04/2019,,3477,3477,3477,3477,0,0
72,SDT,HNX,22/04/2019,,3394,3477,3394,3477,1500,6250000
73,SDT,HNX,23/04/2019,,3477,3477,3477,3477,200,840000
74,SDT,HNX,24/04/2019,,3477,3477,3477,3477,0,0
75,SDT,HNX,25/04/2019,,3477,3477,3477,3477,100,420000
76,SDT,HNX,26/04/2019,,3477,3477,3477,3477,0,0
77,SDT,HNX,02/05/2019,,3394,3394,3394,3394,7610,31201000
78,SDT,HNX,03/05/2019,,3394,3394,3394,3394,0,0
79,SDT,HNX,06/05/2019,,3311,3394,3228,3394,8800,34690000
80,SDT,HNX,07/05/2019,,3394,3394,3394,3394,0,0
81,SDT,HNX,08/05/2019,,3394,3394,3394,3394,0,0
82,SDT,HNX,09/05/2019,,3394,3394,3394,3394,0,0
83,SDT,HNX,10/05/2019,,3228,3394,3228,3394,500,1970000
84,SDT,HNX,13/05/2019,,3394,3394,3394,3394,0,0
85,SDT,HNX,14/05/2019,,3228,3394,3228,3394,9760,38104000
86,SDT,HNX,15/05/2019,,3394,3394,3394,3394,0,0
87,SDT,HNX,16/05/2019,,3394,3394,3394,3394,500,2050000
88,SDT,HNX,17/05/2019,,3394,3394,3394,3394,0,0
89,SDT,HNX,20/05/2019,,3394,3394,3394,3394,400,1640000
90,SDT,HNX,21/05/2019,,3394,3394,3394,3394,100,410000
91,SDT,HNX,22/05/2019,,3394,3642,3394,3642,200,850000
92,SDT,HNX,23/05/2019,,3642,3642,3642,3642,0,0
93,SDT,HNX,24/05/2019,,3477,3477,3311,3477,2900,11680000
94,SDT,HNX,27/05/2019,,3394,3394,3394,3394,100,410000
95,SDT,HNX,28/05/2019,,3394,3394,3394,3394,0,0
96,SDT,HNX,29/05/2019,,3477,3477,3477,3477,272,1106400
97,SDT,HNX,30/05/2019,,3477,3477,3477,3477,0,0
98,SDT,HNX,31/05/2019,,3477,3477,3477,3477,0,0
99,SDT,HNX,03/06/2019,,3477,3477,3477,3477,0,0
100,SDT,HNX,04/06/2019,,3394,3394,3394,3394,1000,4100000
101,SDT,HNX,05/06/2019,,3394,3394,3394,3394,0,0
102,SDT,HNX,06/06/2019,,3394,3394,3394,3394,0,0
103,SDT,HNX,07/06/2019,,3394,3394,3394,3394,8350,34230000
104,SDT,HNX,10/06/2019,,3394,3394,3146,3146,1900,7430000
105,SDT,HNX,11/06/2019,,3394,3394,3394,3394,372,1512400
106,SDT,HNX,12/06/2019,,3394,3394,3394,3394,0,0
107,SDT,HNX,13/06/2019,,3394,3394,3394,3394,400,1640000
108,SDT,HNX,14/06/2019,,3311,3311,3311,3311,1100,4400000
109,SDT,HNX,17/06/2019,,3311,3394,3311,3394,300,1210000
110,SDT,HNX,18/06/2019,,3394,3394,3394,3394,0,0
111,SDT,HNX,19/06/2019,,3394,3394,3394,3394,0,0
112,SDT,HNX,20/06/2019,,3394,3394,3228,3228,200,1000000
113,SDT,HNX,21/06/2019,,3394,3394,3394,3394,100,0
114,SDT,HNX,24/06/2019,,3394,3394,3394,3394,0,0
115,SDT,HNX,25/06/2019,,3311,3394,3311,3394,2400,9610000
116,SDT,HNX,26/06/2019,,3394,3394,3394,3394,0,0
117,SDT,HNX,27/06/2019,,3311,3394,3311,3394,64500,258880000
118,SDT,HNX,28/06/2019,,3477,3477,3477,3477,300,1260000
119,SDT,HNX,01/07/2019,,3477,3477,3477,3477,0,0
120,SDT,HNX,02/07/2019,,3477,3477,3477,3477,0,0
121,SDT,HNX,03/07/2019,,3725,3725,3725,3725,100,450000
122,SDT,HNX,04/07/2019,,3725,3725,3725,3725,0,0
123,SDT,HNX,05/07/2019,,3725,3725,3725,3725,0,0
124,SDT,HNX,08/07/2019,,3725,3725,3725,3725,0,0
125,SDT,HNX,09/07/2019,,3725,3725,3725,3725,10,42000
126,SDT,HNX,10/07/2019,,3725,3725,3725,3725,0,0
127,SDT,HNX,11/07/2019,,3725,3725,3725,3725,0,0
128,SDT,HNX,12/07/2019,,3725,3725,3725,3725,0,0
129,SDT,HNX,15/07/2019,,3725,3725,3725,3725,0,0
130,SDT,HNX,16/07/2019,,3725,3725,3725,3725,0,0
131,SDT,HNX,17/07/2019,,3725,3725,3725,3725,0,0
132,SDT,HNX,18/07/2019,,3725,3725,3725,3725,0,0
133,SDT,HNX,19/07/2019,,3394,3477,3394,3477,500,2060000
134,SDT,HNX,22/07/2019,,3311,3725,3311,3725,1100,4450000
135,SDT,HNX,23/07/2019,,3725,3725,3725,3725,200,900000
136,SDT,HNX,24/07/2019,,3394,3642,3394,3642,2100,8640000
137,SDT,HNX,25/07/2019,,3725,3725,3311,3642,3700,14890000
138,SDT,HNX,26/07/2019,,3725,3725,3311,3642,0,0
139,SDT,HNX,29/07/2019,,3725,3725,3311,3642,0,0
140,SDT,HNX,30/07/2019,,3725,3725,3311,3642,0,0
