,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SJ1,HNX,02/01/2019,,10002,10002,10002,10002,400,5480000
1,SJ1,HNX,03/01/2019,,9929,10148,9929,10148,514,7030400
2,SJ1,HNX,04/01/2019,,10148,10148,10148,10148,200,2780000
3,SJ1,HNX,07/01/2019,,10148,10148,10148,10148,0,0
4,SJ1,HNX,08/01/2019,,10148,10148,10148,10148,0,0
5,SJ1,HNX,09/01/2019,,10002,10148,10002,10148,300,4130000
6,SJ1,HNX,10/01/2019,,10148,10148,10148,10148,0,0
7,SJ1,HNX,11/01/2019,,10148,10148,10148,10148,0,0
8,SJ1,HNX,14/01/2019,,10148,10148,10148,10148,0,0
9,SJ1,HNX,15/01/2019,,10221,10221,10221,10221,100,1400000
10,SJ1,HNX,16/01/2019,,10221,10221,10221,10221,0,0
11,SJ1,HNX,17/01/2019,,10221,10221,10221,10221,0,0
12,SJ1,HNX,18/01/2019,,10221,10221,10221,10221,0,0
13,SJ1,HNX,21/01/2019,,10221,10221,10221,10221,1,15400
14,SJ1,HNX,22/01/2019,,10221,10221,10221,10221,0,0
15,SJ1,HNX,23/01/2019,,10148,10221,10148,10221,600,8350000
16,SJ1,HNX,24/01/2019,,10221,10221,10221,10221,0,0
17,SJ1,HNX,25/01/2019,,10221,10221,10221,10221,100,1400000
18,SJ1,HNX,28/01/2019,,10221,10221,10221,10221,1,13900
19,SJ1,HNX,29/01/2019,,10221,10221,10221,10221,0,0
20,SJ1,HNX,30/01/2019,,10221,10221,10221,10221,0,0
21,SJ1,HNX,31/01/2019,,10221,10221,10221,10221,300,4200000
22,SJ1,HNX,01/02/2019,,10221,11244,10221,11244,18800,270350000
23,SJ1,HNX,11/02/2019,,11244,12339,11244,12339,1200,18780000
24,SJ1,HNX,12/02/2019,,11682,13507,11171,13361,3700,64000000
25,SJ1,HNX,13/02/2019,,12047,13872,12047,13799,536,9709400
26,SJ1,HNX,14/02/2019,,13872,13872,13872,13872,100,1900000
27,SJ1,HNX,15/02/2019,,12485,14602,12485,14602,600,11320000
28,SJ1,HNX,18/02/2019,,13142,14967,13142,14967,500,9700000
29,SJ1,HNX,19/02/2019,,15332,16208,15332,16208,310,6745000
30,SJ1,HNX,20/02/2019,,14602,16427,14602,16281,2100,46250000
