,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SLS,HNX,02/01/2019,,32982,32982,31983,31983,753,36292200
1,SLS,HNX,03/01/2019,,31983,32982,30650,32982,3500,162950000
2,SLS,HNX,04/01/2019,,31316,32249,31316,32249,500,23940000
3,SLS,HNX,07/01/2019,,32249,33315,32249,32249,1253,60840500
4,SLS,HNX,08/01/2019,,32383,33315,32383,33182,11200,554870000
5,SLS,HNX,09/01/2019,,33182,33649,32982,33649,10310,514845000
6,SLS,HNX,10/01/2019,,33649,33649,33649,33649,0,0
7,SLS,HNX,11/01/2019,,33315,33515,32649,33515,500,24930000
8,SLS,HNX,14/01/2019,,33515,33515,33515,33515,200,10060000
9,SLS,HNX,15/01/2019,,33315,34381,33315,33982,14500,730600000
10,SLS,HNX,16/01/2019,,34315,34848,33982,34381,16500,853560000
11,SLS,HNX,17/01/2019,,33982,34648,33982,34648,3611,185191300
12,SLS,HNX,18/01/2019,,33649,34515,33315,34515,10120,512306000
13,SLS,HNX,21/01/2019,,34515,34515,31983,32649,5500,269920000
14,SLS,HNX,22/01/2019,,31849,32249,29784,31783,10500,483990000
15,SLS,HNX,23/01/2019,,31516,31516,29984,30384,14000,643640000
16,SLS,HNX,24/01/2019,,30583,31316,30583,31316,2100,97610000
17,SLS,HNX,25/01/2019,,29651,30717,29118,29118,9580,426926000
18,SLS,HNX,28/01/2019,,27385,30517,27385,29851,6200,279080000
19,SLS,HNX,29/01/2019,,27985,30650,27985,30650,2200,94120000
20,SLS,HNX,30/01/2019,,30317,30317,28651,29784,2600,112560000
21,SLS,HNX,31/01/2019,,29984,30117,29917,29917,1620,73040000
22,SLS,HNX,01/02/2019,,28385,29784,28318,29784,700,30430000
23,SLS,HNX,11/02/2019,,29784,29784,29517,29517,2220,98910000
24,SLS,HNX,12/02/2019,,30517,30517,28451,28451,1200,51640000
25,SLS,HNX,13/02/2019,,29517,29517,29184,29184,1700,74540000
26,SLS,HNX,14/02/2019,,29184,29984,29184,29717,1760,78090000
27,SLS,HNX,15/02/2019,,29717,30917,29717,30917,976,43937600
28,SLS,HNX,18/02/2019,,30650,32649,30650,32649,1683,80858900
29,SLS,HNX,19/02/2019,,32982,32982,31316,31516,2102,99734000
30,SLS,HNX,20/02/2019,,31516,32649,31516,31583,7200,341170000
31,SLS,HNX,21/02/2019,,32649,32649,31316,31650,6000,284610000
32,SLS,HNX,22/02/2019,,30650,31983,30650,31650,3200,152000000
33,SLS,HNX,25/02/2019,,32316,32316,31050,31650,3010,142020000
34,SLS,HNX,26/02/2019,,31316,31583,30650,31583,9110,423067000
35,SLS,HNX,27/02/2019,,30783,30783,30650,30650,5800,266880000
36,SLS,HNX,28/02/2019,,30650,31183,30650,30850,27424,1267570000
37,SLS,HNX,01/03/2019,,31316,33915,31316,33915,16150,807989500
38,SLS,HNX,04/03/2019,,32649,35981,32649,35114,15220,803200000
39,SLS,HNX,05/03/2019,,35181,35181,32049,33382,15210,772550000
40,SLS,HNX,06/03/2019,,34648,35647,33449,35381,15235,788785000
41,SLS,HNX,07/03/2019,,35314,38846,35314,38646,44522,2474820400
42,SLS,HNX,08/03/2019,,37980,38646,37313,38313,22890,1307975500
43,SLS,HNX,11/03/2019,,38313,39312,37313,39312,11955,687920000
44,SLS,HNX,12/03/2019,,38979,40378,38846,40312,10600,628492000
45,SLS,HNX,13/03/2019,,40178,40645,39312,39978,6085,365349000
46,SLS,HNX,14/03/2019,,39445,39445,39046,39046,9795,578282000
47,SLS,HNX,15/03/2019,,39046,39179,37313,39179,14400,835770000
48,SLS,HNX,18/03/2019,,38979,39312,37713,37846,11404,661598000
49,SLS,HNX,19/03/2019,,37380,38646,37313,37913,4200,240130000
50,SLS,HNX,20/03/2019,,37980,39112,37980,39112,2520,145330000
51,SLS,HNX,21/03/2019,,39112,39112,37313,37380,2800,157810000
52,SLS,HNX,22/03/2019,,37980,37980,37980,37980,520,29620000
53,SLS,HNX,25/03/2019,,37313,37913,36314,37313,11510,637515000
54,SLS,HNX,26/03/2019,,35981,37980,35981,37580,5148,279462000
55,SLS,HNX,27/03/2019,,37313,37313,37313,37313,600,33600000
56,SLS,HNX,28/03/2019,,37047,37313,37047,37247,856,47762400
57,SLS,HNX,29/03/2019,,35981,37247,35981,35981,5010,274110000
58,SLS,HNX,01/04/2019,,37180,37180,37180,37180,101,5636000
59,SLS,HNX,02/04/2019,,37113,37113,35448,35448,3100,166860000
60,SLS,HNX,03/04/2019,,35448,35448,35448,35448,0,0
61,SLS,HNX,04/04/2019,,35647,35981,34648,35381,5299,283895700
62,SLS,HNX,05/04/2019,,34648,35381,33982,35381,1900,98660000
63,SLS,HNX,08/04/2019,,34648,35248,33715,35248,18100,923130000
64,SLS,HNX,09/04/2019,,34648,34981,33715,34581,19800,1011080000
65,SLS,HNX,10/04/2019,,33449,34515,33315,34515,2108,105875200
66,SLS,HNX,11/04/2019,,34581,34581,33449,34248,5000,251680000
67,SLS,HNX,12/04/2019,,35314,35314,34315,34315,1330,69492000
68,SLS,HNX,16/04/2019,,33315,33582,33315,33449,1600,80150000
69,SLS,HNX,17/04/2019,,33449,33449,33449,33449,200,10040000
70,SLS,HNX,18/04/2019,,33315,33649,32716,32716,2200,110100000
71,SLS,HNX,19/04/2019,,32716,32782,32716,32782,1240,60848000
72,SLS,HNX,22/04/2019,,32449,32449,29517,29717,26479,1188354700
73,SLS,HNX,23/04/2019,,29984,31983,29984,29984,2120,96668000
74,SLS,HNX,24/04/2019,,28385,29318,27985,28651,10000,428890000
75,SLS,HNX,25/04/2019,,28651,28984,28585,28585,10200,441780000
76,SLS,HNX,26/04/2019,,28318,28318,27319,27652,8310,346475000
77,SLS,HNX,02/05/2019,,27319,27319,26652,26652,6310,254578000
78,SLS,HNX,03/05/2019,,26386,27319,26386,26386,10110,405520000
79,SLS,HNX,06/05/2019,,25986,25986,25653,25653,13520,524240000
80,SLS,HNX,07/05/2019,,28118,28118,25653,25653,1520,58930000
81,SLS,HNX,08/05/2019,,25653,25653,25320,25653,4300,164540000
82,SLS,HNX,09/05/2019,,25653,25653,25653,25653,2300,88550000
83,SLS,HNX,10/05/2019,,25653,25986,25653,25986,1200,46490000
84,SLS,HNX,13/05/2019,,25986,27319,25986,27319,2800,111650000
85,SLS,HNX,14/05/2019,,27319,27319,26053,26985,2100,83170000
86,SLS,HNX,15/05/2019,,27319,27585,26652,27585,400,16340000
87,SLS,HNX,16/05/2019,,27585,27585,27585,27585,0,0
88,SLS,HNX,17/05/2019,,26652,26652,26319,26319,1600,63280000
89,SLS,HNX,20/05/2019,,26652,26652,25986,26319,2700,106700000
90,SLS,HNX,21/05/2019,,27185,27185,25986,25986,1730,67650000
91,SLS,HNX,22/05/2019,,26985,26985,25320,26319,5940,228710000
92,SLS,HNX,23/05/2019,,26319,26652,26319,26319,600,23750000
93,SLS,HNX,24/05/2019,,25453,25453,25120,25386,1499,57111500
94,SLS,HNX,27/05/2019,,25986,25986,25253,25653,6000,230800000
95,SLS,HNX,28/05/2019,,25586,25719,25586,25719,4760,183230000
96,SLS,HNX,29/05/2019,,25719,25719,25320,25653,2700,103760000
97,SLS,HNX,30/05/2019,,25653,25653,25653,25653,0,0
98,SLS,HNX,31/05/2019,,25653,25653,25653,25653,40,1520000
99,SLS,HNX,03/06/2019,,25919,25919,25053,25320,4410,167334000
100,SLS,HNX,04/06/2019,,25120,25320,25053,25320,500,18860000
101,SLS,HNX,05/06/2019,,25520,25520,24587,25320,8100,301280000
102,SLS,HNX,06/06/2019,,24987,24987,24653,24653,2800,103910000
103,SLS,HNX,07/06/2019,,24987,24987,24653,24987,9800,364850000
104,SLS,HNX,10/06/2019,,25053,25053,25053,25053,600,22560000
105,SLS,HNX,11/06/2019,,25320,25320,25320,25320,2500,95000000
106,SLS,HNX,12/06/2019,,25320,25520,25320,25520,1710,65025000
107,SLS,HNX,13/06/2019,,26519,26519,25919,25919,900,35460000
108,SLS,HNX,14/06/2019,,25919,25919,25919,25919,0,0
109,SLS,HNX,17/06/2019,,25919,25919,25919,25919,0,0
110,SLS,HNX,18/06/2019,,25919,25919,25919,25919,0,0
111,SLS,HNX,19/06/2019,,25919,25919,25386,25386,2200,85230000
112,SLS,HNX,20/06/2019,,24720,25320,24720,24787,2800,104000000
113,SLS,HNX,21/06/2019,,24787,24920,24787,24920,1100,41000000
114,SLS,HNX,24/06/2019,,24987,24987,24653,24920,4800,178650000
115,SLS,HNX,25/06/2019,,24720,24987,24720,24853,1661,61829200
116,SLS,HNX,26/06/2019,,24720,24720,24720,24720,500,18550000
117,SLS,HNX,27/06/2019,,24853,25453,24787,25453,500,18890000
118,SLS,HNX,28/06/2019,,24920,25453,24920,24987,2000,75850000
119,SLS,HNX,01/07/2019,,24920,25653,24920,25186,1808,67778000
120,SLS,HNX,02/07/2019,,27319,27319,24920,24987,2100,79010000
121,SLS,HNX,03/07/2019,,25320,25320,24720,24987,5100,191460000
122,SLS,HNX,04/07/2019,,25453,25453,24720,24987,10950,409595000
123,SLS,HNX,05/07/2019,,25320,25320,24920,24920,4942,185070800
124,SLS,HNX,08/07/2019,,25320,25719,24987,24987,4062,154563400
125,SLS,HNX,09/07/2019,,25320,27452,25320,27452,15762,636025400
126,SLS,HNX,10/07/2019,,27985,30184,27985,30117,36592,1654758400
127,SLS,HNX,11/07/2019,,30983,30983,29318,29451,4000,179040000
128,SLS,HNX,12/07/2019,,28651,28651,27985,28052,8200,347530000
129,SLS,HNX,15/07/2019,,27319,28251,26652,26719,6100,246540000
130,SLS,HNX,16/07/2019,,26319,26652,25719,25986,10500,408850000
131,SLS,HNX,17/07/2019,,25653,26652,24987,26252,5300,204490000
132,SLS,HNX,18/07/2019,,26252,26252,25986,25986,4400,171960000
133,SLS,HNX,19/07/2019,,25719,27119,25586,26852,10300,401500000
134,SLS,HNX,22/07/2019,,26852,27452,26852,27052,9600,389490000
135,SLS,HNX,23/07/2019,,26985,27052,26852,26852,3900,157570000
136,SLS,HNX,24/07/2019,,26053,26319,25986,25986,3700,145040000
