,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SPI,HNX,02/01/2019,,800,800,700,700,166100,116880000
1,SPI,HNX,03/01/2019,,700,800,600,700,166700,116710000
2,SPI,HNX,04/01/2019,,700,800,600,700,152900,107190000
3,SPI,HNX,07/01/2019,,800,800,700,700,5600,3940000
4,SPI,HNX,08/01/2019,,800,800,700,700,41600,31200000
5,SPI,HNX,09/01/2019,,800,800,700,700,22200,15560000
6,SPI,HNX,10/01/2019,,800,800,700,800,28900,22860000
7,SPI,HNX,11/01/2019,,800,800,700,700,140900,99270000
8,SPI,HNX,14/01/2019,,800,800,700,700,22100,15520000
9,SPI,HNX,15/01/2019,,700,800,700,800,36300,25760000
10,SPI,HNX,16/01/2019,,700,800,700,700,110100,79280000
11,SPI,HNX,17/01/2019,,800,800,600,700,74600,52770000
12,SPI,HNX,18/01/2019,,700,700,600,600,139100,93440000
13,SPI,HNX,21/01/2019,,700,700,600,700,109400,76570000
14,SPI,HNX,22/01/2019,,600,700,600,600,182600,110040000
15,SPI,HNX,23/01/2019,,700,700,600,600,35000,21230000
16,SPI,HNX,24/01/2019,,700,700,600,600,97700,65360000
17,SPI,HNX,25/01/2019,,600,700,600,600,65300,39190000
18,SPI,HNX,28/01/2019,,700,700,600,600,35600,23220000
19,SPI,HNX,29/01/2019,,700,700,600,600,161000,96610000
20,SPI,HNX,30/01/2019,,600,700,600,700,167400,103470000
21,SPI,HNX,31/01/2019,,600,700,600,600,84700,56290000
22,SPI,HNX,01/02/2019,,700,700,600,700,215100,150560000
23,SPI,HNX,11/02/2019,,700,800,600,800,225400,166340000
24,SPI,HNX,12/02/2019,,800,800,700,700,114500,88970000
25,SPI,HNX,13/02/2019,,700,800,700,700,170800,120600000
26,SPI,HNX,14/02/2019,,800,800,700,700,24000,16860000
27,SPI,HNX,15/02/2019,,700,800,600,700,284700,199300000
28,SPI,HNX,18/02/2019,,700,800,600,700,309700,220270000
29,SPI,HNX,19/02/2019,,700,800,700,700,85400,62660000
30,SPI,HNX,20/02/2019,,700,800,600,800,397100,291060000
