,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,SRA,HNX,02/01/2019,,10420,10935,10069,10420,28530,1279265000
1,SRA,HNX,03/01/2019,,10397,10397,9390,9390,84270,3432355800
2,SRA,HNX,04/01/2019,,9366,9366,8453,8523,102071,3700805200
3,SRA,HNX,07/01/2019,,8500,8500,7751,8102,39220,1376618000
4,SRA,HNX,08/01/2019,,8008,8430,7306,7306,97470,3083569500
5,SRA,HNX,09/01/2019,,7025,7142,6580,6580,132937,3792640500
6,SRA,HNX,10/01/2019,,5971,7235,5924,7235,107510,2976386000
7,SRA,HNX,11/01/2019,,7891,7938,7891,7938,28800,976300000
8,SRA,HNX,14/01/2019,,8711,8711,8219,8711,232845,8658864000
9,SRA,HNX,15/01/2019,,8664,8898,7844,7844,292500,10014718500
10,SRA,HNX,16/01/2019,,8585,8585,8585,8585,1741,23976600
11,SRA,HNX,17/01/2019,,9394,9394,9394,9394,200,3020000
12,SRA,HNX,18/01/2019,,10327,10327,10327,10327,61510,1021066000
13,SRA,HNX,21/01/2019,,11322,11322,11322,11322,100640,1831648000
14,SRA,HNX,22/01/2019,,12442,12442,11322,12442,284680,5649350000
15,SRA,HNX,23/01/2019,,11198,13686,11198,12877,173227,3634151100
16,SRA,HNX,24/01/2019,,12815,12815,11633,11633,124065,2364978900
17,SRA,HNX,25/01/2019,,10513,12069,10513,11695,125020,2306177500
18,SRA,HNX,28/01/2019,,11820,12442,11695,12007,43500,841480000
19,SRA,HNX,29/01/2019,,12007,12007,10949,11447,41664,768245100
20,SRA,HNX,30/01/2019,,11198,11198,10700,11073,40856,716630300
21,SRA,HNX,31/01/2019,,11073,11136,10265,10638,65054,1118316600
22,SRA,HNX,01/02/2019,,10762,11695,10451,11695,93662,1696084600
23,SRA,HNX,11/02/2019,,11820,12442,11758,11820,62245,1206542500
24,SRA,HNX,12/02/2019,,12007,12131,10949,11260,85184,1578175400
25,SRA,HNX,13/02/2019,,11198,11322,10451,11073,58845,1044199000
26,SRA,HNX,14/02/2019,,10762,11073,10576,10762,87104,1513864000
27,SRA,HNX,15/02/2019,,11198,11820,11073,11820,164801,3122869000
28,SRA,HNX,18/02/2019,,12753,13002,12442,13002,128075,2675082800
29,SRA,HNX,19/02/2019,,14246,14246,11882,11882,358239,7477873400
30,SRA,HNX,20/02/2019,,11820,12442,11509,11758,121331,2300529500
31,SRA,HNX,21/02/2019,,11758,12007,11260,11944,45235,857587500
32,SRA,HNX,22/02/2019,,11758,11944,11571,11695,47744,902312800
33,SRA,HNX,25/02/2019,,11695,12193,11695,12007,89427,1715439400
34,SRA,HNX,26/02/2019,,12131,12131,11509,11758,59629,1126898100
35,SRA,HNX,27/02/2019,,11571,11820,11571,11633,49275,928280500
36,SRA,HNX,28/02/2019,,11695,11695,11322,11384,62951,1167593600
37,SRA,HNX,01/03/2019,,11260,11695,11198,11633,36990,679233400
38,SRA,HNX,04/03/2019,,11820,12131,11571,11944,53600,1025640000
39,SRA,HNX,05/03/2019,,11944,11944,11633,11758,48010,906964000
40,SRA,HNX,06/03/2019,,11695,11695,11509,11509,70200,1303300000
41,SRA,HNX,07/03/2019,,11447,11944,11447,11758,52330,983183000
42,SRA,HNX,08/03/2019,,11758,12007,11509,11695,49157,938158100
43,SRA,HNX,11/03/2019,,11695,11758,11509,11509,16230,303344000
44,SRA,HNX,12/03/2019,,11509,11820,11384,11633,64700,1203720000
45,SRA,HNX,13/03/2019,,11633,11758,11509,11509,28180,526515000
46,SRA,HNX,14/03/2019,,11509,11695,11509,11633,21670,403941000
47,SRA,HNX,15/03/2019,,11571,12753,11509,12753,207532,4084259600
48,SRA,HNX,18/03/2019,,13064,13997,13064,13935,189625,4170359100
49,SRA,HNX,19/03/2019,,12566,14246,12566,12629,96590,2000943900
50,SRA,HNX,20/03/2019,,12131,13375,11820,13126,117572,2312635000
51,SRA,HNX,21/03/2019,,13189,13562,12442,12566,49700,1041648800
52,SRA,HNX,22/03/2019,,12131,13064,11820,12629,40200,813620000
53,SRA,HNX,25/03/2019,,12566,12629,11944,12007,47428,928118100
54,SRA,HNX,26/03/2019,,12007,12131,11758,12131,60804,1161718400
55,SRA,HNX,27/03/2019,,12255,12442,12131,12318,31533,624427500
56,SRA,HNX,28/03/2019,,12318,12566,12193,12380,60940,1219743000
57,SRA,HNX,29/03/2019,,12442,12442,12131,12380,26720,529348000
58,SRA,HNX,01/04/2019,,12380,12504,12131,12318,29100,571900000
59,SRA,HNX,02/04/2019,,12442,12442,12131,12255,28000,553330000
60,SRA,HNX,03/04/2019,,12318,12318,11944,12131,39330,763707000
61,SRA,HNX,04/04/2019,,12131,12131,11944,11944,39550,763615000
62,SRA,HNX,05/04/2019,,12007,12069,11882,12007,33440,642476000
63,SRA,HNX,08/04/2019,,12318,12380,12069,12069,54180,1060548000
64,SRA,HNX,09/04/2019,,12131,12131,12007,12069,23300,451420000
65,SRA,HNX,10/04/2019,,12007,12069,11882,12069,22750,438272000
66,SRA,HNX,11/04/2019,,12131,12131,11944,12007,27200,524580000
67,SRA,HNX,12/04/2019,,12442,12815,12069,12815,74500,1487080000
68,SRA,HNX,16/04/2019,,12629,12815,12193,12380,49510,982290000
69,SRA,HNX,17/04/2019,,12380,12566,12318,12318,51399,1029820000
70,SRA,HNX,18/04/2019,,12318,12318,12007,12007,23921,466883700
71,SRA,HNX,19/04/2019,,12131,12193,11820,12007,18310,351163000
72,SRA,HNX,22/04/2019,,12131,12131,11198,11198,53920,999700000
73,SRA,HNX,23/04/2019,,11198,11260,10638,10887,53000,934740000
74,SRA,HNX,24/04/2019,,10576,11322,10576,11322,16222,285817200
75,SRA,HNX,25/04/2019,,11447,11447,10887,11136,8500,152380000
76,SRA,HNX,26/04/2019,,12131,12193,11198,11882,55800,1060270000
77,SRA,HNX,02/05/2019,,12131,12442,11695,11695,42320,817612000
78,SRA,HNX,03/05/2019,,11820,11820,11136,11571,74900,1367720000
79,SRA,HNX,06/05/2019,,11509,11571,11198,11260,56498,1028957800
80,SRA,HNX,07/05/2019,,11322,11384,11073,11136,54372,975983000
81,SRA,HNX,08/05/2019,,11073,11136,10825,10949,45466,797525000
82,SRA,HNX,09/05/2019,,10887,11198,10887,11136,12130,215842000
83,SRA,HNX,10/05/2019,,11198,11198,10949,11136,9400,167640000
84,SRA,HNX,13/05/2019,,11136,11198,10887,10949,52973,933332600
85,SRA,HNX,14/05/2019,,10700,11011,10638,10762,23310,403285000
86,SRA,HNX,15/05/2019,,10762,11011,10762,10887,35795,627503000
87,SRA,HNX,16/05/2019,,9829,10451,9829,9829,91586,1448558800
88,SRA,HNX,17/05/2019,,8896,8896,8896,8896,122224,1747803200
89,SRA,HNX,20/05/2019,,8025,9020,8025,8523,1652555,22495709400
90,SRA,HNX,21/05/2019,,8647,9020,8523,8834,417350,5930675000
91,SRA,HNX,22/05/2019,,8896,8896,8523,8523,303600,4221140000
92,SRA,HNX,23/05/2019,,8461,8834,8336,8834,359920,4967150000
93,SRA,HNX,24/05/2019,,8834,8896,8647,8647,212380,2992784000
94,SRA,HNX,27/05/2019,,8647,8709,8461,8523,249890,3432829000
95,SRA,HNX,28/05/2019,,8523,8523,7776,8274,317610,4244955000
96,SRA,HNX,29/05/2019,,8087,8274,7838,7963,306220,3956864000
97,SRA,HNX,30/05/2019,,7963,8336,7963,8150,155840,2056149000
98,SRA,HNX,31/05/2019,,8212,8274,8025,8150,108800,1416840000
99,SRA,HNX,03/06/2019,,8150,8150,7714,7776,211920,2670696000
100,SRA,HNX,04/06/2019,,7901,7901,7403,7465,221160,2672055000
101,SRA,HNX,05/06/2019,,7465,7901,7465,7590,115040,1424798000
102,SRA,HNX,06/06/2019,,7590,7652,7403,7465,118035,1420146500
103,SRA,HNX,07/06/2019,,7465,7652,7465,7590,78750,956935000
104,SRA,HNX,10/06/2019,,7714,7776,7527,7527,68710,842244000
105,SRA,HNX,11/06/2019,,7527,7714,7465,7465,79500,960730000
106,SRA,HNX,12/06/2019,,7527,7527,7341,7465,126200,1510890000
107,SRA,HNX,13/06/2019,,7403,7403,7279,7341,153830,1811174000
108,SRA,HNX,14/06/2019,,7341,7403,7154,7154,147100,1708070000
109,SRA,HNX,17/06/2019,,7216,7279,7030,7030,133250,1519945000
110,SRA,HNX,18/06/2019,,7092,7092,6719,6781,158651,1742169000
111,SRA,HNX,19/06/2019,,6905,7403,6843,7403,216950,2475440000
112,SRA,HNX,20/06/2019,,8087,8087,7652,8087,254470,3301000000
113,SRA,HNX,21/06/2019,,8398,8896,8087,8087,757260,10290000000
114,SRA,HNX,24/06/2019,,7963,8150,7838,8087,171780,2212520400
115,SRA,HNX,25/06/2019,,8087,8087,7901,7901,162870,2084101000
116,SRA,HNX,26/06/2019,,7838,8150,7590,7963,178850,2265846000
117,SRA,HNX,27/06/2019,,8025,8336,7963,7963,283119,3694402900
118,SRA,HNX,28/06/2019,,8025,8087,7776,7963,120700,1533470000
119,SRA,HNX,01/07/2019,,8025,8087,7776,7901,125816,1593684800
120,SRA,HNX,02/07/2019,,7838,7901,7714,7714,189590,2371605000
121,SRA,HNX,03/07/2019,,7901,7901,7527,7527,105750,1291054800
122,SRA,HNX,04/07/2019,,7590,7590,7279,7465,130950,1555604000
123,SRA,HNX,05/07/2019,,7465,7465,7216,7279,107107,1260200600
124,SRA,HNX,08/07/2019,,7279,7901,7279,7901,207930,2539985000
125,SRA,HNX,09/07/2019,,7901,8025,7652,7714,62090,777217800
