,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,STP,HNX,02/01/2019,,4425,4425,4425,4425,100,740000
1,STP,HNX,03/01/2019,,4485,4485,4126,4126,6000,44940000
2,STP,HNX,04/01/2019,,4306,4306,4186,4186,5000,35100000
3,STP,HNX,07/01/2019,,4306,4545,4306,4545,2200,16670000
4,STP,HNX,08/01/2019,,4126,4186,4126,4186,200,1390000
5,STP,HNX,09/01/2019,,4306,4306,4306,4306,400,2880000
6,STP,HNX,10/01/2019,,4306,4306,4306,4306,0,0
7,STP,HNX,11/01/2019,,4306,4306,4306,4306,50,360000
8,STP,HNX,14/01/2019,,4306,4306,4306,4306,0,0
9,STP,HNX,15/01/2019,,4067,4067,4067,4067,100,680000
10,STP,HNX,16/01/2019,,4067,4067,4067,4067,0,0
11,STP,HNX,17/01/2019,,4067,4067,4067,4067,39,261300
12,STP,HNX,18/01/2019,,4306,4425,3947,3947,634,4546200
13,STP,HNX,21/01/2019,,4306,4306,4306,4306,200,1440000
14,STP,HNX,22/01/2019,,4306,4306,4306,4306,0,0
15,STP,HNX,23/01/2019,,4306,4306,4306,4306,132,950400
16,STP,HNX,24/01/2019,,4306,4306,4306,4306,0,0
17,STP,HNX,25/01/2019,,4306,4306,4306,4306,0,0
18,STP,HNX,28/01/2019,,4306,4306,4306,4306,0,0
19,STP,HNX,29/01/2019,,4306,4306,4306,4306,0,0
20,STP,HNX,30/01/2019,,4306,4306,4306,4306,4000,28800000
21,STP,HNX,31/01/2019,,4306,4306,4306,4306,12700,91440000
22,STP,HNX,01/02/2019,,4306,4306,4306,4306,7000,50400000
23,STP,HNX,11/02/2019,,4306,4306,4306,4306,0,0
24,STP,HNX,12/02/2019,,4306,4306,4306,4306,4500,32400000
25,STP,HNX,13/02/2019,,4306,4306,4306,4306,0,0
26,STP,HNX,14/02/2019,,4306,4306,4306,4306,0,0
27,STP,HNX,15/02/2019,,4306,4306,4306,4306,2000,14400000
28,STP,HNX,18/02/2019,,4306,4306,4306,4306,0,0
29,STP,HNX,19/02/2019,,4306,4306,4306,4306,1642,11816400
30,STP,HNX,20/02/2019,,4306,4306,4306,4306,1800,12960000
31,STP,HNX,21/02/2019,,4306,4306,4306,4306,0,0
32,STP,HNX,22/02/2019,,4306,4306,4306,4306,30,216000
33,STP,HNX,25/02/2019,,4067,4067,4067,4067,300,2040000
34,STP,HNX,26/02/2019,,4067,4067,4067,4067,96,643200
35,STP,HNX,27/02/2019,,4067,4067,4067,4067,0,0
36,STP,HNX,28/02/2019,,4067,4067,4067,4067,0,0
37,STP,HNX,01/03/2019,,4067,4067,4067,4067,0,0
38,STP,HNX,04/03/2019,,4067,4067,4067,4067,0,0
39,STP,HNX,05/03/2019,,4067,4067,4067,4067,1,7400
40,STP,HNX,06/03/2019,,4306,4425,4306,4425,2355,17396000
41,STP,HNX,07/03/2019,,4844,4844,4007,4007,300,2150000
42,STP,HNX,08/03/2019,,4366,4366,4366,4366,5700,41610000
43,STP,HNX,11/03/2019,,4366,4366,4366,4366,0,0
44,STP,HNX,12/03/2019,,4366,4366,4366,4366,0,0
45,STP,HNX,13/03/2019,,4425,4425,4425,4425,140,1032000
46,STP,HNX,14/03/2019,,4425,4425,4425,4425,50,370000
47,STP,HNX,15/03/2019,,4425,4425,4425,4425,100,740000
48,STP,HNX,18/03/2019,,4306,4306,4186,4306,21837,157019000
49,STP,HNX,19/03/2019,,4306,4306,4306,4306,1,6900
50,STP,HNX,20/03/2019,,4186,4186,4186,4186,100,700000
51,STP,HNX,21/03/2019,,4186,4186,4186,4186,100,700000
52,STP,HNX,22/03/2019,,4067,4067,4067,4067,186,1256200
53,STP,HNX,25/03/2019,,4067,4067,4067,4067,0,0
54,STP,HNX,26/03/2019,,4366,4425,3827,3827,7200,52730000
55,STP,HNX,27/03/2019,,3708,3708,3708,3708,233,1527200
56,STP,HNX,28/03/2019,,3947,3947,3947,3947,5924,39103200
57,STP,HNX,29/03/2019,,4246,4306,4246,4306,600,4300000
58,STP,HNX,01/04/2019,,4306,4306,4306,4306,137,963600
59,STP,HNX,02/04/2019,,4724,4724,4724,4724,3300,26070000
60,STP,HNX,03/04/2019,,4425,4425,4425,4425,300,2220000
61,STP,HNX,04/04/2019,,4425,4425,4425,4425,0,0
62,STP,HNX,05/04/2019,,4425,4425,4425,4425,28,193200
63,STP,HNX,08/04/2019,,4425,4425,4425,4425,0,0
64,STP,HNX,09/04/2019,,4067,4067,4067,4067,100,680000
65,STP,HNX,10/04/2019,,4425,4425,4425,4425,3500,25900000
66,STP,HNX,11/04/2019,,4425,4425,4425,4425,0,0
67,STP,HNX,12/04/2019,,4425,4425,4425,4425,0,0
68,STP,HNX,16/04/2019,,4126,4126,4126,4126,100,690000
69,STP,HNX,17/04/2019,,4186,4485,4186,4485,6200,43850000
70,STP,HNX,18/04/2019,,4067,4067,4067,4067,100,680000
71,STP,HNX,19/04/2019,,4425,4425,4007,4007,5466,40352000
72,STP,HNX,22/04/2019,,4007,4007,4007,4007,0,0
73,STP,HNX,23/04/2019,,4366,4366,4126,4126,500,3610000
74,STP,HNX,24/04/2019,,4485,4485,4485,4485,3900,29250000
75,STP,HNX,25/04/2019,,4485,4485,4485,4485,0,0
76,STP,HNX,26/04/2019,,4844,4904,4246,4904,6000,49060000
77,STP,HNX,02/05/2019,,4425,5322,4425,5143,400,3350000
78,STP,HNX,03/05/2019,,5382,5621,5382,5621,600,5480000
79,STP,HNX,06/05/2019,,5083,5083,5083,5083,200,1700000
80,STP,HNX,07/05/2019,,4605,4605,4605,4605,100,770000
81,STP,HNX,08/05/2019,,4306,4964,4306,4545,6100,49740000
82,STP,HNX,09/05/2019,,4306,4306,4126,4306,761,5387000
83,STP,HNX,10/05/2019,,4665,4724,4366,4366,4000,31460000
84,STP,HNX,13/05/2019,,4784,4784,4485,4485,3300,26350000
85,STP,HNX,14/05/2019,,4545,4545,4485,4485,300,2270000
86,STP,HNX,15/05/2019,,4784,4904,4605,4605,1200,9720000
87,STP,HNX,16/05/2019,,4605,4605,4605,4605,0,0
88,STP,HNX,17/05/2019,,4605,4605,4605,4605,10,72000
89,STP,HNX,20/05/2019,,4605,4605,4605,4605,0,0
90,STP,HNX,21/05/2019,,4964,4964,4665,4665,1800,14890000
91,STP,HNX,22/05/2019,,4665,4665,4665,4665,57,410400
92,STP,HNX,23/05/2019,,4366,5023,4366,5023,1700,13940000
93,STP,HNX,24/05/2019,,4605,4605,4605,4605,100,770000
94,STP,HNX,27/05/2019,,4605,4605,4605,4605,0,0
95,STP,HNX,28/05/2019,,4605,4605,4605,4605,100,770000
96,STP,HNX,29/05/2019,,4964,5023,4485,4485,4458,37138500
97,STP,HNX,30/05/2019,,4485,4485,4485,4485,0,0
98,STP,HNX,31/05/2019,,4485,4485,4485,4485,0,0
99,STP,HNX,03/06/2019,,4485,4485,4485,4485,99,772200
100,STP,HNX,04/06/2019,,4485,4485,4485,4485,1,7600
101,STP,HNX,05/06/2019,,4485,4485,4485,4485,0,0
102,STP,HNX,06/06/2019,,4904,4904,4545,4545,2600,21260000
103,STP,HNX,07/06/2019,,4545,4545,4545,4545,0,0
104,STP,HNX,10/06/2019,,4964,4964,4366,4366,600,4880000
105,STP,HNX,11/06/2019,,4784,4784,4784,4784,570,4518000
106,STP,HNX,12/06/2019,,4784,4784,4784,4784,0,0
107,STP,HNX,13/06/2019,,4784,4784,4784,4784,10,83000
108,STP,HNX,14/06/2019,,4784,4784,4784,4784,0,0
109,STP,HNX,17/06/2019,,4784,4784,4784,4784,0,0
110,STP,HNX,18/06/2019,,4784,4784,4784,4784,100,720000
111,STP,HNX,19/06/2019,,4784,4784,4784,4784,0,0
112,STP,HNX,20/06/2019,,4386,4386,4386,4386,100,1000000
113,STP,HNX,21/06/2019,,4386,4386,4386,4386,0,0
114,STP,HNX,24/06/2019,,4386,4386,4386,4386,0,0
115,STP,HNX,25/06/2019,,4386,4386,4386,4386,0,0
116,STP,HNX,26/06/2019,,4386,4386,4386,4386,8,57600
117,STP,HNX,27/06/2019,,4452,4452,4452,4452,100,670000
118,STP,HNX,28/06/2019,,4452,4452,4452,4452,0,0
119,STP,HNX,01/07/2019,,4452,4452,4120,4120,483,3094600
120,STP,HNX,02/07/2019,,4120,4120,4120,4120,1552,9638000
121,STP,HNX,03/07/2019,,4120,4120,4120,4120,0,0
122,STP,HNX,04/07/2019,,4120,4120,4120,4120,0,0
123,STP,HNX,05/07/2019,,4120,4120,4120,4120,1983,12294600
124,STP,HNX,08/07/2019,,4120,4120,4120,4120,1400,8680000
125,STP,HNX,09/07/2019,,4120,4120,4120,4120,0,0
126,STP,HNX,10/07/2019,,4120,4120,4120,4120,0,0
127,STP,HNX,11/07/2019,,4120,4120,4120,4120,0,0
128,STP,HNX,12/07/2019,,4120,4120,4120,4120,0,0
129,STP,HNX,15/07/2019,,4120,4120,4120,4120,0,0
130,STP,HNX,16/07/2019,,4518,4518,4120,4120,200,1300000
131,STP,HNX,17/07/2019,,4186,4186,4186,4186,200,1260000
132,STP,HNX,18/07/2019,,4186,4186,4186,4186,0,0
133,STP,HNX,19/07/2019,,4120,4120,3987,4120,2600,15920000
134,STP,HNX,22/07/2019,,4120,4120,3987,4120,0,0
135,STP,HNX,23/07/2019,,4120,4120,3987,4120,0,0
136,STP,HNX,24/07/2019,,4120,4120,3987,4120,0,0
137,STP,HNX,25/07/2019,,4120,4120,4120,4120,100,620000
138,STP,HNX,26/07/2019,,4120,4120,4120,4120,3900,24180000
139,STP,HNX,29/07/2019,,4120,4120,4120,4120,100,620000
140,STP,HNX,30/07/2019,,4518,4518,4518,4518,100,680000
141,STP,HNX,31/07/2019,,4518,4518,4518,4518,0,0
142,STP,HNX,01/08/2019,,4518,4518,4518,4518,0,0
143,STP,HNX,02/08/2019,,4452,4452,4452,4452,100,670000
144,STP,HNX,05/08/2019,,4518,4651,4518,4651,13100,89380000
145,STP,HNX,06/08/2019,,4518,4651,4518,4651,0,0
146,STP,HNX,07/08/2019,,4651,4651,4651,4651,3500,24500000
147,STP,HNX,08/08/2019,,4651,4651,4651,4651,0,0
148,STP,HNX,09/08/2019,,4651,4651,4651,4651,0,0
149,STP,HNX,12/08/2019,,4651,4651,4651,4651,0,0
150,STP,HNX,13/08/2019,,4651,4651,4651,4651,0,0
151,STP,HNX,14/08/2019,,4651,4651,4651,4651,1100,7700000
152,STP,HNX,15/08/2019,,4651,4651,4651,4651,0,0
153,STP,HNX,16/08/2019,,4651,4651,4651,4651,0,0
154,STP,HNX,19/08/2019,,4651,4651,4651,4651,0,0
155,STP,HNX,20/08/2019,,4718,4718,4718,4718,1100,7810000
156,STP,HNX,21/08/2019,,4651,4651,4651,4651,100,700000
157,STP,HNX,22/08/2019,,4651,4651,4651,4651,0,0
158,STP,HNX,23/08/2019,,4651,4651,4651,4651,0,0
159,STP,HNX,26/08/2019,,4651,4651,4651,4651,200,1400000
160,STP,HNX,27/08/2019,,4651,4651,4651,4651,500,3500000
161,STP,HNX,28/08/2019,,4917,4917,4319,4319,5200,38390000
162,STP,HNX,29/08/2019,,4917,4917,4319,4319,0,0
163,STP,HNX,30/08/2019,,4917,4917,4319,4319,0,0
164,STP,HNX,03/09/2019,,4319,4319,4319,4319,2100,13650000
165,STP,HNX,04/09/2019,,4319,4319,4319,4319,3000,19500000
166,STP,HNX,05/09/2019,,4319,4319,4319,4319,0,0
167,STP,HNX,06/09/2019,,4319,4319,4319,4319,0,0
168,STP,HNX,09/09/2019,,4319,4319,4319,4319,0,0
169,STP,HNX,10/09/2019,,4319,4319,4319,4319,2000,13000000
170,STP,HNX,11/09/2019,,4319,4319,4319,4319,0,0
171,STP,HNX,12/09/2019,,4319,4319,4319,4319,0,0
172,STP,HNX,13/09/2019,,4319,4319,4319,4319,2000,13000000
173,STP,HNX,16/09/2019,,4319,4319,4319,4319,0,0
174,STP,HNX,17/09/2019,,3987,4053,3987,3987,2200,13230000
175,STP,HNX,18/09/2019,,3987,4053,3987,3987,0,0
176,STP,HNX,19/09/2019,,3987,4053,3987,3987,0,0
177,STP,HNX,20/09/2019,,3987,4053,3987,3987,0,0
178,STP,HNX,23/09/2019,,3987,4053,3987,3987,0,0
179,STP,HNX,24/09/2019,,3987,4053,3987,3987,0,0
180,STP,HNX,25/09/2019,,3987,4053,3987,3987,0,0
