,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TA9,HNX,02/01/2019,,5203,5391,5203,5391,2134,18025400
1,TA9,HNX,03/01/2019,,5141,5391,5015,5391,1920,15852000
2,TA9,HNX,04/01/2019,,5391,5391,5391,5391,10,82000
3,TA9,HNX,07/01/2019,,5203,5580,5203,5580,2400,20040000
4,TA9,HNX,08/01/2019,,5580,5580,5580,5580,0,0
5,TA9,HNX,09/01/2019,,5580,5580,5580,5580,0,0
6,TA9,HNX,10/01/2019,,5141,5329,5078,5078,7848,63669700
7,TA9,HNX,11/01/2019,,5078,5078,5015,5078,2222,17914800
8,TA9,HNX,14/01/2019,,5078,5078,5078,5078,0,0
9,TA9,HNX,15/01/2019,,5078,5078,5078,5078,101,818400
10,TA9,HNX,16/01/2019,,5078,5078,5078,5078,0,0
11,TA9,HNX,17/01/2019,,5015,5015,5015,5015,4100,32800000
12,TA9,HNX,18/01/2019,,5015,5015,5015,5015,1,8100
13,TA9,HNX,21/01/2019,,5015,5015,5015,5015,700,5600000
14,TA9,HNX,22/01/2019,,5015,5015,5015,5015,0,0
15,TA9,HNX,23/01/2019,,4890,5015,4890,5015,200,1580000
16,TA9,HNX,24/01/2019,,5015,5015,5015,5015,0,0
17,TA9,HNX,25/01/2019,,4953,4953,4953,4953,100,790000
18,TA9,HNX,28/01/2019,,4953,4953,4953,4953,20,152000
19,TA9,HNX,29/01/2019,,4953,4953,4953,4953,0,0
20,TA9,HNX,30/01/2019,,4953,4953,4953,4953,10,82000
21,TA9,HNX,31/01/2019,,4953,4953,4953,4953,5,38000
22,TA9,HNX,01/02/2019,,4953,4953,4953,4953,0,0
23,TA9,HNX,11/02/2019,,4765,5015,4576,4953,15672,120220000
24,TA9,HNX,12/02/2019,,5015,5015,4890,4890,7500,59100000
25,TA9,HNX,13/02/2019,,4890,4890,4890,4890,0,0
26,TA9,HNX,14/02/2019,,4890,5141,4890,5141,200,1600000
27,TA9,HNX,15/02/2019,,5141,5141,5141,5141,10,82000
28,TA9,HNX,18/02/2019,,4890,4890,4890,4890,200,1560000
29,TA9,HNX,19/02/2019,,4827,5015,4827,5015,2305,17779000
30,TA9,HNX,20/02/2019,,4702,5015,4576,5015,1561,11661400
31,TA9,HNX,21/02/2019,,5015,5015,5015,5015,0,0
