,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TAR,HNX,20/02/2019,,11226,11226,11226,11226,100,1630000
1,TAR,HNX,21/02/2019,,12328,12328,12328,12328,1600,28640000
2,TAR,HNX,22/02/2019,,13498,13498,13498,13498,100,1960000
3,TAR,HNX,25/02/2019,,13498,13498,13498,13498,0,0
4,TAR,HNX,26/02/2019,,14807,14807,14807,14807,100,2150000
5,TAR,HNX,27/02/2019,,16253,16253,16253,16253,100,2360000
6,TAR,HNX,28/02/2019,,17837,17837,17837,17837,168200,4356380000
7,TAR,HNX,01/03/2019,,19559,19559,18939,18939,234400,6473860000
8,TAR,HNX,04/03/2019,,19214,19283,19077,19077,196100,5463910000
9,TAR,HNX,05/03/2019,,19008,19146,19008,19146,148700,4120280000
10,TAR,HNX,06/03/2019,,19146,19214,19146,19214,164300,4572570000
11,TAR,HNX,07/03/2019,,19214,19283,19146,19214,154200,4304270000
12,TAR,HNX,08/03/2019,,19283,20867,19146,20867,161200,4544000000
13,TAR,HNX,11/03/2019,,20798,20936,20798,20936,171300,5200350000
14,TAR,HNX,12/03/2019,,20936,21074,20936,20936,154300,4696690000
15,TAR,HNX,13/03/2019,,21005,21143,20867,20867,164600,5017440000
16,TAR,HNX,14/03/2019,,20798,20936,20730,20936,147200,4443280000
17,TAR,HNX,15/03/2019,,20798,20936,20798,20936,148700,4512740000
18,TAR,HNX,18/03/2019,,20936,21005,20867,20867,142700,4340300000
19,TAR,HNX,19/03/2019,,20867,21005,20867,20936,143900,4368560000
20,TAR,HNX,20/03/2019,,20798,21005,20798,21005,145600,4418380000
21,TAR,HNX,21/03/2019,,20936,21074,20867,20867,121200,3690210000
22,TAR,HNX,22/03/2019,,20936,20936,20661,20661,156800,4732920000
23,TAR,HNX,25/03/2019,,20661,20661,20523,20661,129100,3863550000
24,TAR,HNX,26/03/2019,,20592,20661,20592,20661,130300,3907760000
25,TAR,HNX,27/03/2019,,20661,20798,20523,20798,140400,4210440000
