,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TFC,HNX,02/01/2019,,5547,5785,5547,5626,10600,76220000
1,TFC,HNX,03/01/2019,,5626,5626,5626,5626,39,249600
2,TFC,HNX,04/01/2019,,5071,5468,5071,5468,1400,9510000
3,TFC,HNX,07/01/2019,,5547,5547,4992,5468,1300,8950000
4,TFC,HNX,08/01/2019,,4992,5468,4992,5388,1700,11160000
5,TFC,HNX,09/01/2019,,5864,5864,4992,4992,5600,39750000
6,TFC,HNX,10/01/2019,,4992,5468,4992,5468,600,3840000
7,TFC,HNX,11/01/2019,,4992,5468,4992,4992,2100,13780000
8,TFC,HNX,14/01/2019,,5230,5230,5230,5230,100,660000
9,TFC,HNX,15/01/2019,,5547,5547,5547,5547,1200,8400000
10,TFC,HNX,16/01/2019,,5468,5547,5388,5388,600,4140000
11,TFC,HNX,17/01/2019,,5468,5785,4913,4913,6900,46310000
12,TFC,HNX,18/01/2019,,5151,5388,5151,5388,6100,41190000
13,TFC,HNX,21/01/2019,,5309,5547,5309,5547,3000,20570000
14,TFC,HNX,22/01/2019,,4992,5388,4992,5309,7300,46440000
15,TFC,HNX,23/01/2019,,5309,5309,5309,5309,100,670000
16,TFC,HNX,24/01/2019,,5388,5388,4913,5309,1100,7240000
17,TFC,HNX,25/01/2019,,5309,5547,5309,5468,3600,24460000
18,TFC,HNX,28/01/2019,,5468,5468,5468,5468,1900,13110000
19,TFC,HNX,29/01/2019,,5388,5705,5388,5547,3600,25410000
20,TFC,HNX,30/01/2019,,5705,6022,5705,5785,3200,23600000
21,TFC,HNX,31/01/2019,,5705,5785,5705,5785,500,3630000
22,TFC,HNX,01/02/2019,,5785,5785,5785,5785,0,0
23,TFC,HNX,11/02/2019,,6181,6339,5388,5388,1800,14060000
24,TFC,HNX,12/02/2019,,5864,5864,5864,5864,1200,8880000
25,TFC,HNX,13/02/2019,,5864,5864,5864,5864,0,0
26,TFC,HNX,14/02/2019,,6181,6339,6181,6339,1750,13850000
27,TFC,HNX,15/02/2019,,6339,6339,6339,6339,0,0
28,TFC,HNX,18/02/2019,,5705,6260,5705,6260,200,1510000
29,TFC,HNX,19/02/2019,,5705,6181,5705,6181,350,2580000
30,TFC,HNX,20/02/2019,,6656,6656,6656,6656,100,840000
31,TFC,HNX,21/02/2019,,6656,6656,6656,6656,0,0
32,TFC,HNX,22/02/2019,,6656,6656,6656,6656,0,0
33,TFC,HNX,25/02/2019,,6656,6656,6656,6656,0,0
34,TFC,HNX,26/02/2019,,6022,6022,6022,6022,100,760000
35,TFC,HNX,27/02/2019,,5468,5468,5468,5468,1300,8970000
36,TFC,HNX,28/02/2019,,5943,5943,4992,4992,2100,13630000
37,TFC,HNX,01/03/2019,,4754,5151,4675,5151,14400,89210000
38,TFC,HNX,04/03/2019,,5151,5626,5151,5626,1100,7260000
39,TFC,HNX,05/03/2019,,5151,5388,5071,5388,1400,9140000
40,TFC,HNX,06/03/2019,,5388,5388,5388,5388,0,0
41,TFC,HNX,07/03/2019,,4913,4913,4913,4913,900,5580000
42,TFC,HNX,08/03/2019,,4437,5151,4437,5151,29700,166550000
43,TFC,HNX,11/03/2019,,5151,5151,5151,5151,0,0
