,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,THT,HNX,02/01/2019,,4928,4928,4865,4865,10300,79320000
1,THT,HNX,03/01/2019,,4865,4865,4865,4865,39500,304150000
2,THT,HNX,04/01/2019,,4802,4865,4802,4865,15030,115608000
3,THT,HNX,07/01/2019,,4865,4991,4865,4991,9500,73170000
4,THT,HNX,08/01/2019,,4865,4991,4865,4991,5300,40850000
5,THT,HNX,09/01/2019,,4991,4991,4991,4991,0,0
6,THT,HNX,10/01/2019,,5054,5054,5054,5054,100,800000
7,THT,HNX,11/01/2019,,5054,5054,5054,5054,0,0
8,THT,HNX,14/01/2019,,5054,5054,5054,5054,0,0
9,THT,HNX,15/01/2019,,4928,5054,4928,5054,2750,21455000
10,THT,HNX,16/01/2019,,4928,4991,4928,4928,12600,98880000
11,THT,HNX,17/01/2019,,4928,4991,4928,4991,3600,28090000
12,THT,HNX,18/01/2019,,4928,4928,4865,4865,5300,40840000
13,THT,HNX,21/01/2019,,4865,5118,4865,5118,28110,222426000
14,THT,HNX,22/01/2019,,5118,5181,5054,5054,12017,97477700
15,THT,HNX,23/01/2019,,5181,5244,5181,5181,11731,96227000
16,THT,HNX,24/01/2019,,5181,5181,5054,5054,7800,63060000
17,THT,HNX,25/01/2019,,5118,5118,5118,5118,100,810000
18,THT,HNX,28/01/2019,,5054,5181,5054,5181,23399,187222100
19,THT,HNX,29/01/2019,,5118,5244,5118,5244,12700,103070000
20,THT,HNX,30/01/2019,,5244,5244,5118,5244,8900,72620000
21,THT,HNX,31/01/2019,,5244,5244,5244,5244,100,830000
22,THT,HNX,01/02/2019,,5244,5244,5244,5244,17100,141930000
23,THT,HNX,11/02/2019,,5054,5307,5054,5307,13801,112568300
24,THT,HNX,12/02/2019,,5370,5370,5181,5307,4611,37900500
25,THT,HNX,13/02/2019,,5307,5623,5307,5623,83744,719349800
26,THT,HNX,14/02/2019,,5623,5749,5560,5686,44130,393602100
27,THT,HNX,15/02/2019,,5686,5749,5686,5749,13450,121120000
28,THT,HNX,18/02/2019,,5686,5686,5623,5686,10600,95100000
29,THT,HNX,19/02/2019,,5560,5560,5433,5433,40530,352128000
30,THT,HNX,20/02/2019,,5560,5623,5433,5623,19140,164894000
31,THT,HNX,21/02/2019,,5623,5686,5623,5686,6601,58909000
32,THT,HNX,22/02/2019,,5560,5686,5560,5686,4700,41570000
33,THT,HNX,25/02/2019,,5560,5560,5433,5497,41199,354661500
34,THT,HNX,26/02/2019,,5497,5497,5433,5433,5010,43178000
35,THT,HNX,27/02/2019,,5497,5497,5497,5497,4700,40890000
36,THT,HNX,28/02/2019,,5497,5497,5370,5497,5000,42950000
37,THT,HNX,01/03/2019,,5497,5497,5433,5497,39100,337950000
38,THT,HNX,04/03/2019,,5497,5497,5497,5497,7400,64380000
39,THT,HNX,05/03/2019,,5433,5433,5433,5433,100,860000
40,THT,HNX,06/03/2019,,5433,5497,5370,5497,17600,150330000
41,THT,HNX,07/03/2019,,5497,5497,5370,5497,18300,155990000
42,THT,HNX,08/03/2019,,5497,5497,5370,5433,13200,112690000
43,THT,HNX,11/03/2019,,5370,5433,5370,5433,17000,145560000
