,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TIG,HNX,02/01/2019,,1423,1423,1363,1363,164710,381001500
1,TIG,HNX,03/01/2019,,1363,1423,1304,1363,97430,224029000
2,TIG,HNX,04/01/2019,,1304,1363,1304,1363,153022,344228400
3,TIG,HNX,07/01/2019,,1363,1363,1304,1304,91588,209423600
4,TIG,HNX,08/01/2019,,1304,1363,1304,1363,38708,85267400
5,TIG,HNX,09/01/2019,,1363,1423,1363,1423,156140,359221000
6,TIG,HNX,10/01/2019,,1363,1423,1363,1363,17030,39189000
7,TIG,HNX,11/01/2019,,1363,1423,1363,1423,32545,74900000
8,TIG,HNX,14/01/2019,,1423,1423,1304,1363,98958,227737600
9,TIG,HNX,15/01/2019,,1423,1423,1304,1363,131803,303163600
10,TIG,HNX,16/01/2019,,1363,1363,1304,1363,83021,184016200
11,TIG,HNX,17/01/2019,,1304,1363,1304,1363,177114,390630800
12,TIG,HNX,18/01/2019,,1304,1363,1304,1363,68810,151452000
13,TIG,HNX,21/01/2019,,1304,1363,1304,1304,155661,342464200
14,TIG,HNX,22/01/2019,,1304,1363,1304,1304,138770,305368100
15,TIG,HNX,23/01/2019,,1304,1363,1304,1363,90619,199549900
16,TIG,HNX,24/01/2019,,1304,1363,1245,1304,82823,182213200
17,TIG,HNX,25/01/2019,,1304,1304,1245,1304,85454,181746300
18,TIG,HNX,28/01/2019,,1304,1304,1245,1245,271540,577618000
19,TIG,HNX,29/01/2019,,1245,1245,1245,1245,94201,197812000
20,TIG,HNX,30/01/2019,,1245,1304,1185,1245,46800,98280000
21,TIG,HNX,31/01/2019,,1304,1363,1245,1304,190742,419632200
22,TIG,HNX,01/02/2019,,1304,1363,1304,1363,30300,66700000
23,TIG,HNX,11/02/2019,,1363,1363,1304,1304,72740,160838000
24,TIG,HNX,12/02/2019,,1304,1363,1304,1304,114735,252426000
25,TIG,HNX,13/02/2019,,1363,1363,1304,1304,49000,107950000
26,TIG,HNX,14/02/2019,,1304,1363,1304,1304,116380,257070800
27,TIG,HNX,15/02/2019,,1363,1423,1363,1363,494436,1137466800
28,TIG,HNX,18/02/2019,,1363,1423,1363,1363,179210,412193000
29,TIG,HNX,19/02/2019,,1363,1423,1363,1363,220210,506494000
30,TIG,HNX,20/02/2019,,1363,1363,1304,1363,40750,93660000
31,TIG,HNX,21/02/2019,,1363,1363,1304,1304,133836,304049200
32,TIG,HNX,22/02/2019,,1363,1363,1304,1363,60500,134190000
33,TIG,HNX,25/02/2019,,1304,1363,1304,1363,50756,115483200
34,TIG,HNX,26/02/2019,,1363,1363,1304,1363,61221,140106200
35,TIG,HNX,27/02/2019,,1304,1423,1304,1304,118987,273274100
36,TIG,HNX,28/02/2019,,1363,1423,1304,1363,107791,247910200
37,TIG,HNX,01/03/2019,,1363,1423,1304,1363,429880,974776000
38,TIG,HNX,04/03/2019,,1363,1423,1363,1423,204890,473898000
39,TIG,HNX,05/03/2019,,1363,1541,1363,1541,943633,2345268300
40,TIG,HNX,06/03/2019,,1482,1600,1482,1541,351506,895884400
41,TIG,HNX,07/03/2019,,1482,1541,1423,1482,574220,1435640000
42,TIG,HNX,08/03/2019,,1482,1482,1423,1482,162063,401951200
43,TIG,HNX,11/03/2019,,1482,1482,1423,1423,813378,1958557200
44,TIG,HNX,12/03/2019,,1423,1541,1423,1482,363168,910146400
45,TIG,HNX,13/03/2019,,1482,1482,1423,1482,267856,669456000
46,TIG,HNX,14/03/2019,,1482,1541,1423,1541,212666,532138400
47,TIG,HNX,15/03/2019,,1541,1541,1423,1482,238350,595880000
48,TIG,HNX,18/03/2019,,1482,1541,1423,1482,282661,706337400
49,TIG,HNX,19/03/2019,,1482,1541,1482,1482,133710,334285000
50,TIG,HNX,20/03/2019,,1482,1482,1482,1482,276432,691080000
51,TIG,HNX,21/03/2019,,1482,1482,1423,1423,195752,487140000
52,TIG,HNX,22/03/2019,,1482,1541,1423,1482,306640,765924000
53,TIG,HNX,25/03/2019,,1482,1482,1423,1423,423870,1030058000
54,TIG,HNX,26/03/2019,,1482,1482,1423,1482,128167,309212600
55,TIG,HNX,27/03/2019,,1482,1482,1423,1423,117600,287800000
56,TIG,HNX,28/03/2019,,1482,1541,1482,1541,316594,801124600
57,TIG,HNX,29/03/2019,,1541,1541,1482,1541,44970,113954000
58,TIG,HNX,01/04/2019,,1482,1541,1482,1482,118466,296410000
59,TIG,HNX,02/04/2019,,1482,1541,1482,1482,307673,769292700
60,TIG,HNX,03/04/2019,,1541,1541,1482,1482,108756,272490400
61,TIG,HNX,04/04/2019,,1482,1541,1482,1482,234563,586639800
62,TIG,HNX,05/04/2019,,1482,1600,1482,1541,447938,1162736100
63,TIG,HNX,08/04/2019,,1600,1660,1541,1660,1007643,2806480600
64,TIG,HNX,09/04/2019,,1719,1778,1660,1778,1817568,5419652600
65,TIG,HNX,10/04/2019,,1837,1897,1719,1719,534930,1613194000
66,TIG,HNX,11/04/2019,,1719,1837,1719,1778,377740,1130089600
67,TIG,HNX,12/04/2019,,1719,1897,1719,1897,920093,2823393000
68,TIG,HNX,16/04/2019,,1897,1897,1778,1897,572335,1767560200
69,TIG,HNX,17/04/2019,,1897,2075,1897,2075,1182763,4099409600
70,TIG,HNX,18/04/2019,,2075,2193,2015,2075,1434538,4999288200
71,TIG,HNX,19/04/2019,,2075,2193,2015,2075,772381,2737797200
72,TIG,HNX,22/04/2019,,2075,2252,2075,2252,1281292,4727583500
73,TIG,HNX,23/04/2019,,2252,2371,2252,2312,1022195,3985480300
74,TIG,HNX,24/04/2019,,2312,2371,2193,2252,1276971,4805083700
75,TIG,HNX,25/04/2019,,2252,2252,2075,2075,1661630,5882535800
76,TIG,HNX,26/04/2019,,2015,2252,2015,2193,860302,3086272000
77,TIG,HNX,02/05/2019,,2193,2312,2134,2134,469045,1761080700
78,TIG,HNX,03/05/2019,,2134,2193,2075,2134,488040,1755584000
79,TIG,HNX,06/05/2019,,2193,2193,2015,2015,667711,2318240800
80,TIG,HNX,07/05/2019,,2015,2134,1956,2075,618422,2125354800
81,TIG,HNX,08/05/2019,,2015,2015,1956,1956,854874,2850704200
82,TIG,HNX,09/05/2019,,1956,2015,1897,1956,348877,1162202400
83,TIG,HNX,10/05/2019,,1956,2015,1897,2015,305487,1010648400
84,TIG,HNX,13/05/2019,,2075,2075,1956,1956,416888,1413816900
85,TIG,HNX,14/05/2019,,2015,2075,1956,2075,373934,1272304200
86,TIG,HNX,15/05/2019,,2134,2134,2075,2075,514780,1803370000
87,TIG,HNX,16/05/2019,,2134,2134,2015,2134,259632,909908300
88,TIG,HNX,17/05/2019,,2134,2134,2015,2075,461596,1610291400
89,TIG,HNX,20/05/2019,,2015,2075,2015,2015,331279,1143140600
90,TIG,HNX,21/05/2019,,2015,2075,2015,2015,213680,726623000
91,TIG,HNX,22/05/2019,,2015,2075,2015,2015,42510,145104000
92,TIG,HNX,23/05/2019,,2015,2015,1956,2015,131815,444855500
93,TIG,HNX,24/05/2019,,2015,2075,1956,2075,176333,599681900
94,TIG,HNX,27/05/2019,,2075,2075,2015,2015,110438,376521200
95,TIG,HNX,28/05/2019,,2015,2193,2015,2193,1431030,5238180900
96,TIG,HNX,29/05/2019,,2252,2312,2193,2193,1046647,3976237600
97,TIG,HNX,30/05/2019,,2193,2371,2193,2312,1124051,4368507400
98,TIG,HNX,31/05/2019,,2252,2371,2134,2252,920980,3511894000
99,TIG,HNX,03/06/2019,,2134,2252,2134,2134,791120,2898078100
100,TIG,HNX,04/06/2019,,2075,2193,2075,2134,285698,1029889800
101,TIG,HNX,05/06/2019,,2193,2193,2015,2075,861822,3020771400
102,TIG,HNX,06/06/2019,,2075,2134,2015,2075,187972,657905800
103,TIG,HNX,07/06/2019,,2075,2134,2015,2015,1550181,5305983500
104,TIG,HNX,10/06/2019,,2015,2193,1956,2134,974654,3420756200
105,TIG,HNX,11/06/2019,,2134,2134,2015,2075,461477,1617196600
106,TIG,HNX,12/06/2019,,2075,2134,2075,2075,178600,625130000
107,TIG,HNX,13/06/2019,,2075,2134,2075,2134,189322,664247000
108,TIG,HNX,14/06/2019,,2134,2134,2015,2134,337767,1187144500
109,TIG,HNX,17/06/2019,,2075,2075,2075,2075,114750,401625000
110,TIG,HNX,18/06/2019,,2015,2075,2015,2015,307201,1049644000
111,TIG,HNX,19/06/2019,,2015,2134,2015,2075,550455,1926572500
112,TIG,HNX,20/06/2019,,2075,2134,2075,2134,272215,968000000
113,TIG,HNX,21/06/2019,,2134,2134,2075,2075,223929,784000000
114,TIG,HNX,24/06/2019,,2075,2134,2015,2075,429513,1504470200
115,TIG,HNX,25/06/2019,,2075,2075,2015,2015,194339,675676400
116,TIG,HNX,26/06/2019,,2015,2075,2015,2075,240325,836195000
117,TIG,HNX,27/06/2019,,2075,2075,2015,2075,305030,1042042000
118,TIG,HNX,28/06/2019,,2015,2075,2015,2015,242157,823428100
119,TIG,HNX,01/07/2019,,2015,2075,1956,2015,818980,2733850000
120,TIG,HNX,02/07/2019,,2015,2015,1956,2015,208200,707690000
121,TIG,HNX,03/07/2019,,2015,2075,1956,2015,101300,337550000
122,TIG,HNX,04/07/2019,,2015,2015,2015,2015,35895,122041800
123,TIG,HNX,05/07/2019,,2015,2015,1956,2015,109500,368690000
124,TIG,HNX,08/07/2019,,2015,2015,1956,1956,260770,880281000
125,TIG,HNX,09/07/2019,,2015,2015,1956,2015,270821,894577200
126,TIG,HNX,10/07/2019,,1956,2015,1956,1956,223600,737980000
127,TIG,HNX,11/07/2019,,1956,2015,1956,2015,324900,1073800000
128,TIG,HNX,12/07/2019,,2015,2015,1956,1956,148700,493120000
129,TIG,HNX,15/07/2019,,1956,1956,1897,1956,173100,559670000
130,TIG,HNX,16/07/2019,,1956,2015,1897,1956,286400,942330000
131,TIG,HNX,17/07/2019,,1956,1956,1897,1897,67200,215280000
132,TIG,HNX,18/07/2019,,1897,1956,1897,1956,157800,505020000
133,TIG,HNX,19/07/2019,,1897,2015,1837,1956,224900,739890000
134,TIG,HNX,22/07/2019,,1956,1956,1897,1897,312500,1000110000
135,TIG,HNX,23/07/2019,,1897,2075,1897,2015,748600,2517480000
136,TIG,HNX,24/07/2019,,2075,2075,1956,2015,152300,517950000
137,TIG,HNX,25/07/2019,,2015,2075,1956,1956,182800,613540000
138,TIG,HNX,26/07/2019,,1956,2015,1956,2015,365500,1224690000
139,TIG,HNX,29/07/2019,,2015,2015,1956,2015,552700,1838780000
140,TIG,HNX,30/07/2019,,2015,2015,1897,1956,202600,674170000
141,TIG,HNX,31/07/2019,,1956,1956,1897,1897,147600,472710000
142,TIG,HNX,01/08/2019,,1897,1956,1837,1897,302800,948710000
143,TIG,HNX,02/08/2019,,1956,1956,1837,1897,80300,252100000
144,TIG,HNX,05/08/2019,,1837,1897,1837,1837,96600,299470000
145,TIG,HNX,06/08/2019,,1778,1837,1719,1837,260200,780660000
146,TIG,HNX,07/08/2019,,1778,1897,1778,1837,216900,670710000
147,TIG,HNX,08/08/2019,,1837,1897,1778,1837,42800,132390000
148,TIG,HNX,09/08/2019,,1837,1897,1837,1837,32200,99830000
149,TIG,HNX,12/08/2019,,1837,1897,1837,1897,58300,181060000
150,TIG,HNX,13/08/2019,,1897,1897,1837,1837,55000,174430000
151,TIG,HNX,14/08/2019,,1837,1897,1837,1837,64200,199910000
152,TIG,HNX,15/08/2019,,1837,1897,1778,1897,73600,228140000
153,TIG,HNX,16/08/2019,,1897,1897,1837,1837,42100,130600000
154,TIG,HNX,19/08/2019,,1897,1897,1837,1897,24700,76670000
155,TIG,HNX,20/08/2019,,1837,1897,1778,1837,129800,403830000
156,TIG,HNX,21/08/2019,,1837,1897,1778,1897,66700,206910000
157,TIG,HNX,22/08/2019,,1897,1897,1837,1897,163100,506970000
158,TIG,HNX,23/08/2019,,1837,1897,1837,1897,47600,148050000
159,TIG,HNX,26/08/2019,,1837,1897,1837,1837,99600,308790000
160,TIG,HNX,27/08/2019,,1837,1897,1778,1897,261600,799580000
161,TIG,HNX,28/08/2019,,1837,1897,1778,1837,167600,512060000
162,TIG,HNX,29/08/2019,,1837,1897,1837,1897,88900,275850000
163,TIG,HNX,30/08/2019,,1897,2015,1897,1956,721100,2367730000
164,TIG,HNX,03/09/2019,,1956,2075,1897,2015,379800,1270760000
165,TIG,HNX,04/09/2019,,2015,2015,1897,1956,90700,299370000
166,TIG,HNX,05/09/2019,,1956,1956,1897,1956,255300,821790000
167,TIG,HNX,06/09/2019,,1897,1956,1897,1897,193500,619220000
168,TIG,HNX,09/09/2019,,1897,1956,1837,1897,158900,507410000
169,TIG,HNX,10/09/2019,,1837,1897,1778,1837,397800,1228700000
170,TIG,HNX,11/09/2019,,1837,1897,1778,1837,290900,898760000
171,TIG,HNX,12/09/2019,,1837,1897,1778,1837,195500,605770000
172,TIG,HNX,13/09/2019,,1837,1897,1837,1837,240700,746360000
173,TIG,HNX,16/09/2019,,1837,1897,1837,1897,96200,302540000
174,TIG,HNX,17/09/2019,,1897,1956,1837,1956,234700,746520000
175,TIG,HNX,18/09/2019,,1897,1897,1837,1897,269400,837640000
176,TIG,HNX,19/09/2019,,1897,1956,1837,1956,395900,1274030000
177,TIG,HNX,20/09/2019,,1956,2134,1956,2134,1562200,5497670000
178,TIG,HNX,23/09/2019,,2193,2252,2075,2075,671600,2437080000
179,TIG,HNX,24/09/2019,,2075,2193,2075,2134,395000,1416460000
180,TIG,HNX,25/09/2019,,2134,2312,2134,2193,855900,3249120000
181,TIG,HNX,26/09/2019,,2252,2371,2252,2371,1936100,7652700000
182,TIG,HNX,27/09/2019,,2430,2430,2312,2312,540200,2151020000
183,TIG,HNX,30/09/2019,,2312,2371,2252,2312,486500,1884420000
184,TIG,HNX,01/10/2019,,2312,2489,2312,2489,771300,3116330000
185,TIG,HNX,02/10/2019,,2489,2549,2371,2549,564000,2352000000
186,TIG,HNX,03/10/2019,,2549,2667,2549,2608,1163600,5066950000
187,TIG,HNX,04/10/2019,,2608,2667,2489,2489,704600,3020880000
188,TIG,HNX,07/10/2019,,2489,2608,2489,2549,798800,3405530000
189,TIG,HNX,08/10/2019,,2549,2667,2489,2608,584600,2555770000
190,TIG,HNX,09/10/2019,,2667,2727,2549,2667,811700,3607390000
191,TIG,HNX,10/10/2019,,2667,2727,2549,2667,922800,4086960000
192,TIG,HNX,11/10/2019,,2667,2667,2608,2608,320700,1412790000
