,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TKC,HNX,02/01/2019,,21348,21348,21348,21348,0,0
1,TKC,HNX,03/01/2019,,21348,21348,21348,21348,0,0
2,TKC,HNX,04/01/2019,,21348,21348,21348,21348,0,0
3,TKC,HNX,07/01/2019,,21348,21348,21348,21348,0,0
4,TKC,HNX,08/01/2019,,21348,21348,21348,21348,0,0
5,TKC,HNX,09/01/2019,,19214,20660,19214,20660,11300,315480000
6,TKC,HNX,10/01/2019,,18594,19007,18594,19007,249,6783000
7,TKC,HNX,11/01/2019,,19007,19007,19007,19007,0,0
8,TKC,HNX,14/01/2019,,19076,19076,19076,19076,110,3021000
9,TKC,HNX,15/01/2019,,20040,20040,20040,20040,100,2910000
10,TKC,HNX,16/01/2019,,20040,20040,20040,20040,0,0
11,TKC,HNX,17/01/2019,,20040,20040,20040,20040,0,0
12,TKC,HNX,18/01/2019,,20040,20040,20040,20040,0,0
13,TKC,HNX,21/01/2019,,19971,19971,19971,19971,100,2900000
14,TKC,HNX,22/01/2019,,19971,19971,19971,19971,10,290000
15,TKC,HNX,23/01/2019,,19971,19971,19971,19971,0,0
16,TKC,HNX,24/01/2019,,19971,19971,19971,19971,100,2900000
17,TKC,HNX,25/01/2019,,19971,19971,19971,19971,0,0
18,TKC,HNX,28/01/2019,,19971,19971,19971,19971,0,0
19,TKC,HNX,29/01/2019,,19971,19971,19971,19971,0,0
20,TKC,HNX,30/01/2019,,19971,21968,19971,21968,200,6090000
21,TKC,HNX,31/01/2019,,21968,21968,21968,21968,0,0
22,TKC,HNX,01/02/2019,,20522,20522,20522,20522,200,5960000
23,TKC,HNX,11/02/2019,,20522,20522,20522,20522,0,0
24,TKC,HNX,12/02/2019,,20660,20660,20660,20660,100,3000000
25,TKC,HNX,13/02/2019,,20660,20660,20660,20660,0,0
26,TKC,HNX,14/02/2019,,20660,20660,20660,20660,0,0
27,TKC,HNX,15/02/2019,,20797,20797,20797,20797,100,3020000
28,TKC,HNX,18/02/2019,,18731,19902,18731,19902,600,16490000
29,TKC,HNX,19/02/2019,,19902,19902,19902,19902,0,0
30,TKC,HNX,20/02/2019,,20315,20315,20315,20315,100,2950000
31,TKC,HNX,21/02/2019,,20660,20660,20522,20522,700,20880000
32,TKC,HNX,22/02/2019,,20522,20522,20522,20522,0,0
33,TKC,HNX,25/02/2019,,20522,20522,20522,20522,0,0
34,TKC,HNX,26/02/2019,,20453,20453,20453,20453,100,2970000
35,TKC,HNX,27/02/2019,,20522,20522,20522,20522,100,2980000
36,TKC,HNX,28/02/2019,,20522,20522,20522,20522,0,0
37,TKC,HNX,01/03/2019,,20522,20522,20522,20522,0,0
38,TKC,HNX,04/03/2019,,20522,20522,20522,20522,0,0
39,TKC,HNX,05/03/2019,,20522,20522,20522,20522,0,0
40,TKC,HNX,06/03/2019,,18525,18525,18525,18525,700,18830000
41,TKC,HNX,07/03/2019,,18938,19902,16734,19902,2900,74860000
42,TKC,HNX,08/03/2019,,18594,20315,17974,19282,2700,73260000
43,TKC,HNX,11/03/2019,,19282,19282,19282,19282,0,0
44,TKC,HNX,12/03/2019,,19282,19282,19282,19282,0,0
45,TKC,HNX,13/03/2019,,17354,18869,17354,18869,1100,27940000
46,TKC,HNX,14/03/2019,,18869,18869,18869,18869,0,0
47,TKC,HNX,15/03/2019,,17010,17698,17010,17630,2700,67160000
48,TKC,HNX,18/03/2019,,17905,18249,15908,18181,6500,152080000
49,TKC,HNX,19/03/2019,,16390,18043,16390,18043,4000,102210000
50,TKC,HNX,20/03/2019,,18043,18938,18043,18800,1100,29720000
51,TKC,HNX,21/03/2019,,16941,18043,16941,17974,2700,68690000
52,TKC,HNX,22/03/2019,,17974,17974,17974,17974,0,0
53,TKC,HNX,25/03/2019,,16252,17561,16183,16183,6800,160120000
54,TKC,HNX,26/03/2019,,16803,17079,16115,17079,3400,80110000
55,TKC,HNX,27/03/2019,,17010,17630,17010,17630,700,17440000
56,TKC,HNX,28/03/2019,,17423,19214,17423,19214,200,5320000
57,TKC,HNX,29/03/2019,,19214,19214,19214,19214,0,0
58,TKC,HNX,01/04/2019,,19214,19214,19214,19214,0,0
59,TKC,HNX,02/04/2019,,17354,17354,17354,17354,140,3528000
60,TKC,HNX,03/04/2019,,15908,17079,15908,16734,1200,28010000
61,TKC,HNX,04/04/2019,,17010,17010,17010,17010,100,2470000
62,TKC,HNX,05/04/2019,,17010,17010,17010,17010,0,0
63,TKC,HNX,08/04/2019,,15564,16665,15495,16665,3300,77680000
64,TKC,HNX,09/04/2019,,16872,17216,16872,17216,600,14750000
65,TKC,HNX,10/04/2019,,17492,18525,17492,18525,300,7770000
66,TKC,HNX,11/04/2019,,18525,18525,18525,18525,0,0
67,TKC,HNX,12/04/2019,,16734,17216,16734,17216,400,9790000
68,TKC,HNX,16/04/2019,,15633,16734,15495,15495,2800,63510000
69,TKC,HNX,17/04/2019,,15839,15839,15495,15839,3100,70850000
70,TKC,HNX,18/04/2019,,16528,17216,14462,16803,1800,39480000
71,TKC,HNX,19/04/2019,,15839,16183,15150,16115,1160,26820000
