,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TKG,UPCOM,09/04/2021,,13357,13357,13357,13357,200,3360000
1,TKG,UPCOM,12/04/2021,,15344,15344,13675,15344,29500,568270000
2,TKG,UPCOM,13/04/2021,,15662,15662,15265,15265,2700,52610000
3,TKG,UPCOM,14/04/2021,,15424,15424,15424,15424,600,11640000
4,TKG,UPCOM,15/04/2021,,13516,15106,13118,15026,6500,108380000
5,TKG,UPCOM,16/04/2021,,13118,15106,13118,13118,20900,345330000
6,TKG,UPCOM,19/04/2021,,12244,12244,12244,12244,500,7700000
7,TKG,UPCOM,20/04/2021,,13675,13675,12721,12721,300,4920000
8,TKG,UPCOM,22/04/2021,,12800,12800,12562,12562,5400,86330000
9,TKG,UPCOM,23/04/2021,,12721,12721,12721,12721,100,1600000
10,TKG,UPCOM,26/04/2021,,12562,12562,11926,11926,600,9080000
11,TKG,UPCOM,27/04/2021,,12005,12721,12005,12721,2700,42700000
12,TKG,UPCOM,28/04/2021,,12562,12562,12323,12323,1100,17080000
13,TKG,UPCOM,29/04/2021,,12164,12164,12164,12164,100,1530000
14,TKG,UPCOM,04/05/2021,,12005,12164,12005,12085,3800,57750000
15,TKG,UPCOM,05/05/2021,,12085,12085,11608,11767,1500,22130000
16,TKG,UPCOM,06/05/2021,,11528,11528,11131,11131,800,11490000
17,TKG,UPCOM,07/05/2021,,11131,11528,11051,11528,1400,19810000
18,TKG,UPCOM,10/05/2021,,11290,11290,10972,10972,600,8360000
19,TKG,UPCOM,11/05/2021,,10733,11210,10733,11210,1000,13850000
20,TKG,UPCOM,12/05/2021,,10733,10813,10733,10813,200,2710000
21,TKG,UPCOM,13/05/2021,,10813,10892,10733,10813,800,10870000
22,TKG,UPCOM,14/05/2021,,10813,11131,10813,11131,900,12560000
23,TKG,UPCOM,17/05/2021,,11131,11528,11131,11449,400,5730000
24,TKG,UPCOM,18/05/2021,,11846,11846,11290,11290,4000,57410000
25,TKG,UPCOM,19/05/2021,,11131,11210,11131,11210,5500,77540000
26,TKG,UPCOM,20/05/2021,,11210,11210,10813,10892,300,4140000
27,TKG,UPCOM,21/05/2021,,11051,11051,10574,10654,1600,21360000
28,TKG,UPCOM,24/05/2021,,10654,10813,10654,10813,400,5390000
29,TKG,UPCOM,25/05/2021,,10733,10892,10733,10892,300,4080000
30,TKG,UPCOM,26/05/2021,,10813,11051,10654,10654,300,4090000
31,TKG,UPCOM,27/05/2021,,10654,10654,10336,10336,1000,13060000
32,TKG,UPCOM,28/05/2021,,10336,10336,9779,9779,400,4990000
33,TKG,UPCOM,31/05/2021,,9938,10097,9938,10097,200,2520000
34,TKG,UPCOM,01/06/2021,,10097,10336,10097,10256,600,7730000
35,TKG,UPCOM,02/06/2021,,10256,10733,10256,10733,200,2640000
36,TKG,UPCOM,03/06/2021,,10733,11131,10733,11131,300,4150000
37,TKG,UPCOM,04/06/2021,,11131,11131,10813,10972,2200,30360000
38,TKG,UPCOM,07/06/2021,,10972,11528,10972,11449,400,5710000
39,TKG,UPCOM,08/06/2021,,11449,11449,11131,11369,300,4270000
40,TKG,UPCOM,09/06/2021,,11369,11369,11051,11131,500,7020000
41,TKG,UPCOM,10/06/2021,,11131,11131,10813,10972,300,4140000
42,TKG,UPCOM,11/06/2021,,10892,11131,10733,11131,300,4120000
43,TKG,UPCOM,14/06/2021,,11131,11449,11131,11369,700,9990000
44,TKG,UPCOM,15/06/2021,,11449,11926,11449,11528,500,7270000
45,TKG,UPCOM,16/06/2021,,11528,11528,11131,11369,300,4280000
46,TKG,UPCOM,17/06/2021,,11369,11369,11131,11131,200,2830000
47,TKG,UPCOM,18/06/2021,,11131,11369,10972,11369,300,4210000
