,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TOT,UPCOM,02/01/2019,,4500,4500,4500,4500,7,48300
1,TOT,UPCOM,03/01/2019,,4500,4500,4500,4500,0,0
2,TOT,UPCOM,04/01/2019,,3825,3825,3825,3825,1700,8670000
3,TOT,UPCOM,07/01/2019,,3825,3825,3825,3825,0,0
4,TOT,UPCOM,08/01/2019,,3825,3825,3825,3825,0,0
5,TOT,UPCOM,09/01/2019,,3600,3825,3300,3300,7600,35970000
6,TOT,UPCOM,10/01/2019,,3525,3525,3300,3300,0,0
7,TOT,UPCOM,11/01/2019,,3525,3525,3300,3300,0,0
8,TOT,UPCOM,14/01/2019,,3525,3525,3300,3300,0,0
9,TOT,UPCOM,15/01/2019,,3525,3525,3300,3300,0,0
10,TOT,UPCOM,16/01/2019,,3525,3525,3300,3300,0,0
11,TOT,UPCOM,17/01/2019,,3525,3525,3525,3525,1200,5640000
12,TOT,UPCOM,18/01/2019,,3525,3525,3525,3525,0,0
13,TOT,UPCOM,21/01/2019,,3300,3300,3300,3300,1500,6600000
14,TOT,UPCOM,22/01/2019,,3750,3750,3750,3750,100,500000
15,TOT,UPCOM,23/01/2019,,3750,3750,3750,3750,0,0
16,TOT,UPCOM,24/01/2019,,3975,3975,3975,3975,300,1590000
17,TOT,UPCOM,25/01/2019,,3975,3975,3975,3975,0,0
18,TOT,UPCOM,28/01/2019,,3975,3975,3975,3975,0,0
19,TOT,UPCOM,29/01/2019,,3975,3975,3975,3975,0,0
20,TOT,UPCOM,30/01/2019,,3975,3975,3975,3975,0,0
21,TOT,UPCOM,31/01/2019,,3975,3975,3975,3975,0,0
22,TOT,UPCOM,01/02/2019,,3975,3975,3975,3975,0,0
23,TOT,UPCOM,11/02/2019,,3450,3750,3450,3450,5600,25960000
24,TOT,UPCOM,12/02/2019,,3150,3150,3000,3000,3400,13850000
25,TOT,UPCOM,13/02/2019,,3075,3075,3000,3000,0,0
26,TOT,UPCOM,14/02/2019,,3525,3525,3525,3525,100,470000
27,TOT,UPCOM,15/02/2019,,3525,3525,3525,3525,0,0
28,TOT,UPCOM,18/02/2019,,3225,4050,3225,4050,1700,8820000
29,TOT,UPCOM,19/02/2019,,3450,3450,3450,3450,100,460000
30,TOT,UPCOM,20/02/2019,,3450,3450,3450,3450,0,0
31,TOT,UPCOM,21/02/2019,,3450,3450,3450,3450,0,0
32,TOT,UPCOM,22/02/2019,,3450,3450,3450,3450,0,0
33,TOT,UPCOM,25/02/2019,,3450,3450,3450,3450,0,0
34,TOT,UPCOM,26/02/2019,,3450,3450,3450,3450,2,8400
35,TOT,UPCOM,27/02/2019,,3450,3450,3450,3450,0,0
36,TOT,UPCOM,28/02/2019,,3450,3450,3450,3450,0,0
37,TOT,UPCOM,01/03/2019,,3450,3450,3450,3450,2,10400
38,TOT,UPCOM,04/03/2019,,3825,3900,3825,3900,1500,7770000
39,TOT,UPCOM,05/03/2019,,3900,3900,3900,3900,0,0
40,TOT,UPCOM,06/03/2019,,3900,3900,3900,3900,0,0
41,TOT,UPCOM,07/03/2019,,3900,3900,3900,3900,0,0
42,TOT,UPCOM,08/03/2019,,3900,3900,3900,3900,0,0
43,TOT,UPCOM,11/03/2019,,3900,3900,3900,3900,0,0
44,TOT,UPCOM,12/03/2019,,4350,4425,4200,4425,5100,29780000
45,TOT,UPCOM,13/03/2019,,4350,4425,4350,4425,0,0
46,TOT,UPCOM,14/03/2019,,4874,4874,4874,4874,100,650000
47,TOT,UPCOM,15/03/2019,,4874,4874,4874,4874,0,0
48,TOT,UPCOM,18/03/2019,,4874,4874,4874,4874,0,0
49,TOT,UPCOM,19/03/2019,,5249,5249,5249,5249,100,700000
50,TOT,UPCOM,20/03/2019,,5249,5249,5249,5249,0,0
51,TOT,UPCOM,21/03/2019,,5249,5249,5249,5249,0,0
52,TOT,UPCOM,22/03/2019,,5249,5249,5249,5249,0,0
53,TOT,UPCOM,25/03/2019,,5249,5249,5249,5249,0,0
54,TOT,UPCOM,26/03/2019,,5249,5249,5249,5249,0,0
55,TOT,UPCOM,27/03/2019,,5249,5249,5249,5249,0,0
56,TOT,UPCOM,28/03/2019,,5249,5249,5249,5249,0,0
57,TOT,UPCOM,29/03/2019,,5924,5924,5924,5924,100,790000
58,TOT,UPCOM,01/04/2019,,5924,5924,5924,5924,0,0
59,TOT,UPCOM,02/04/2019,,5099,5099,5099,5099,100,680000
60,TOT,UPCOM,03/04/2019,,5099,5099,5099,5099,0,0
61,TOT,UPCOM,04/04/2019,,5099,5099,5099,5099,0,0
62,TOT,UPCOM,05/04/2019,,5099,5099,5099,5099,0,0
63,TOT,UPCOM,08/04/2019,,5099,5099,5099,5099,0,0
64,TOT,UPCOM,09/04/2019,,5099,5099,5099,5099,0,0
65,TOT,UPCOM,10/04/2019,,5099,5099,5099,5099,0,0
66,TOT,UPCOM,11/04/2019,,5099,5099,5099,5099,0,0
67,TOT,UPCOM,12/04/2019,,5099,5099,5099,5099,0,0
