,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TTC,HNX,02/01/2019,,13227,13227,13227,13227,0,0
1,TTC,HNX,03/01/2019,,13227,13227,13227,13227,0,0
2,TTC,HNX,04/01/2019,,11932,11932,11932,11932,100,1750000
3,TTC,HNX,07/01/2019,,11932,11932,11932,11932,0,0
4,TTC,HNX,08/01/2019,,10773,10773,10773,10773,100,1580000
5,TTC,HNX,09/01/2019,,10227,11523,10091,11523,6800,102150000
6,TTC,HNX,10/01/2019,,11523,11523,11523,11523,0,0
7,TTC,HNX,11/01/2019,,10500,11523,10432,11523,800,12580000
8,TTC,HNX,14/01/2019,,10432,10977,10432,10977,300,4670000
9,TTC,HNX,15/01/2019,,10841,10841,10841,10841,100,1590000
10,TTC,HNX,16/01/2019,,10841,10841,10841,10841,0,0
11,TTC,HNX,17/01/2019,,10841,10841,10841,10841,0,0
12,TTC,HNX,18/01/2019,,10841,10841,10841,10841,0,0
13,TTC,HNX,21/01/2019,,10159,10909,9818,10909,17100,248600000
14,TTC,HNX,22/01/2019,,9886,9886,9886,9886,500,7250000
15,TTC,HNX,23/01/2019,,9886,9886,9886,9886,0,0
16,TTC,HNX,24/01/2019,,9955,9955,9886,9886,300,4360000
17,TTC,HNX,25/01/2019,,9886,9886,9886,9886,0,0
18,TTC,HNX,28/01/2019,,10500,10500,10500,10500,100,1540000
19,TTC,HNX,29/01/2019,,10841,10841,10841,10841,100,1590000
20,TTC,HNX,30/01/2019,,9886,9886,9818,9818,2500,36180000
21,TTC,HNX,31/01/2019,,9818,9818,9818,9818,0,0
22,TTC,HNX,01/02/2019,,10227,10227,10227,10227,100,1500000
23,TTC,HNX,11/02/2019,,9886,9886,9886,9886,100,1450000
24,TTC,HNX,12/02/2019,,9955,9955,9955,9955,100,1460000
25,TTC,HNX,13/02/2019,,9955,9955,9955,9955,0,0
26,TTC,HNX,14/02/2019,,9955,9955,9955,9955,0,0
27,TTC,HNX,15/02/2019,,9955,9955,9955,9955,0,0
28,TTC,HNX,18/02/2019,,10909,10909,10909,10909,100,1600000
29,TTC,HNX,19/02/2019,,10909,10909,10909,10909,0,0
30,TTC,HNX,20/02/2019,,9886,9886,9818,9818,14800,214040000
31,TTC,HNX,21/02/2019,,9818,9818,9818,9818,800,11520000
32,TTC,HNX,22/02/2019,,10159,10159,10159,10159,400,5960000
33,TTC,HNX,25/02/2019,,10159,10159,10159,10159,0,0
34,TTC,HNX,26/02/2019,,10023,10023,10023,10023,100,1470000
35,TTC,HNX,27/02/2019,,10432,10432,10432,10432,100,1530000
36,TTC,HNX,28/02/2019,,10159,10159,10159,10159,100,1490000
37,TTC,HNX,01/03/2019,,10159,10159,10159,10159,1200,17880000
38,TTC,HNX,04/03/2019,,10159,10159,10159,10159,0,0
39,TTC,HNX,05/03/2019,,10227,10227,10159,10227,1200,17960000
40,TTC,HNX,06/03/2019,,10227,10227,10023,10023,2200,32940000
41,TTC,HNX,07/03/2019,,10227,10568,10227,10227,4103,63238000
42,TTC,HNX,08/03/2019,,10636,10636,10296,10296,5000,75700000
43,TTC,HNX,11/03/2019,,10296,10432,10296,10432,1100,16630000
44,TTC,HNX,12/03/2019,,10432,11250,10432,11250,15105,239170400
45,TTC,HNX,13/03/2019,,11250,11386,11250,11386,9761,161892600
46,TTC,HNX,14/03/2019,,11318,11455,11318,11455,3906,65439600
47,TTC,HNX,15/03/2019,,11455,11455,11250,11250,1502,25173600
48,TTC,HNX,18/03/2019,,11250,11250,11250,11250,601,9016500
49,TTC,HNX,19/03/2019,,11250,11250,11250,11250,0,0
50,TTC,HNX,20/03/2019,,10575,10875,10575,10875,2246,32023900
51,TTC,HNX,21/03/2019,,10575,10875,10575,10875,560,7976000
52,TTC,HNX,22/03/2019,,10500,10725,10500,10725,1900,26810000
53,TTC,HNX,25/03/2019,,10500,10650,10125,10650,1500,20520000
54,TTC,HNX,26/03/2019,,10125,10500,10050,10500,6100,82070000
55,TTC,HNX,27/03/2019,,10500,10500,10125,10275,13600,183930000
56,TTC,HNX,28/03/2019,,10050,10050,9750,9825,3800,49870000
57,TTC,HNX,29/03/2019,,10125,10125,9525,9750,8300,108000000
58,TTC,HNX,01/04/2019,,9750,9750,9450,9525,5903,75196300
59,TTC,HNX,02/04/2019,,9525,9525,9525,9525,2200,27940000
