,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TTH,HNX,02/01/2019,,3491,3564,3418,3491,49600,239100000
1,TTH,HNX,03/01/2019,,3491,3491,3273,3418,308500,1438120000
2,TTH,HNX,04/01/2019,,3345,3418,3273,3345,107400,494310000
3,TTH,HNX,07/01/2019,,3418,3491,3273,3418,110450,511815000
4,TTH,HNX,08/01/2019,,3345,3418,3273,3345,153715,702627000
5,TTH,HNX,09/01/2019,,3345,3491,3345,3418,164500,771540000
6,TTH,HNX,10/01/2019,,3345,3418,3345,3418,110600,509150000
7,TTH,HNX,11/01/2019,,3345,3418,3345,3418,95210,440557000
8,TTH,HNX,14/01/2019,,3418,3491,3345,3491,152800,708700000
9,TTH,HNX,15/01/2019,,3418,3491,3418,3491,171650,809895000
10,TTH,HNX,16/01/2019,,3491,3491,3345,3345,79105,370543500
11,TTH,HNX,17/01/2019,,3418,3418,3273,3345,48800,223940000
12,TTH,HNX,18/01/2019,,3345,3564,3273,3491,529000,2497230000
13,TTH,HNX,21/01/2019,,3782,3782,3564,3782,741425,3827110000
14,TTH,HNX,22/01/2019,,3927,3927,3636,3782,496300,2549700000
15,TTH,HNX,23/01/2019,,3709,3855,3636,3782,291630,1496551000
16,TTH,HNX,24/01/2019,,3709,3709,3636,3636,403420,2028910000
17,TTH,HNX,25/01/2019,,3636,3709,3564,3709,258400,1294410000
18,TTH,HNX,28/01/2019,,3636,3782,3636,3709,162800,822791700
19,TTH,HNX,29/01/2019,,3709,3709,3564,3564,227630,1137430000
20,TTH,HNX,30/01/2019,,3636,3636,3564,3636,218500,1074010000
21,TTH,HNX,31/01/2019,,3636,3782,3636,3636,296500,1508860000
22,TTH,HNX,01/02/2019,,3636,3782,3636,3782,259210,1323190000
23,TTH,HNX,11/02/2019,,3855,3927,3782,3927,359640,1909398000
24,TTH,HNX,12/02/2019,,3927,4000,3855,3855,556310,2962983000
25,TTH,HNX,13/02/2019,,3855,4000,3855,4000,262609,1419518600
26,TTH,HNX,14/02/2019,,4000,4073,3855,4000,288100,1578780000
27,TTH,HNX,15/02/2019,,4000,4000,3855,3927,279100,1496430000
28,TTH,HNX,18/02/2019,,3927,3927,3782,3782,421300,2214200000
29,TTH,HNX,19/02/2019,,3782,3855,3636,3782,508431,2630567000
30,TTH,HNX,20/02/2019,,3782,3855,3709,3855,338065,1742400000
31,TTH,HNX,21/02/2019,,3855,3855,3709,3709,219300,1142810000
32,TTH,HNX,22/02/2019,,3709,3855,3709,3855,294711,1519286100
33,TTH,HNX,25/02/2019,,3855,3855,3709,3782,206400,1070240000
34,TTH,HNX,26/02/2019,,3782,3782,3709,3782,317241,1632142100
35,TTH,HNX,27/02/2019,,3855,3927,3782,3855,272425,1444452500
36,TTH,HNX,28/02/2019,,3855,4145,3855,4073,1227883,6810294000
37,TTH,HNX,01/03/2019,,4073,4218,4073,4218,586180,3319955000
38,TTH,HNX,04/03/2019,,4145,4291,4145,4218,782333,4501990000
39,TTH,HNX,05/03/2019,,4218,4218,4000,4073,694573,3899105600
40,TTH,HNX,06/03/2019,,4073,4073,4000,4000,308110,1699385000
41,TTH,HNX,07/03/2019,,4073,4218,4000,4073,1321115,7390585500
42,TTH,HNX,08/03/2019,,4073,4073,3927,4073,442210,2435254000
43,TTH,HNX,11/03/2019,,4073,4073,3927,4000,318200,1751790000
44,TTH,HNX,12/03/2019,,4000,4145,4000,4073,288510,1614257000
45,TTH,HNX,13/03/2019,,4073,4145,4000,4073,615660,3446070000
46,TTH,HNX,14/03/2019,,4073,4073,4000,4073,346960,1914585000
47,TTH,HNX,15/03/2019,,4073,4145,4073,4145,526310,2961556000
48,TTH,HNX,18/03/2019,,4145,4218,4073,4145,553460,3158272000
49,TTH,HNX,19/03/2019,,4145,4145,4073,4073,368910,2101377000
50,TTH,HNX,20/03/2019,,4073,4145,3927,4000,491060,2715335000
51,TTH,HNX,21/03/2019,,4240,4240,4000,4000,341980,1720821000
52,TTH,HNX,22/03/2019,,4000,4000,3840,3840,391010,1893740000
53,TTH,HNX,25/03/2019,,3840,3840,3520,3600,672150,3030980000
54,TTH,HNX,26/03/2019,,3600,3680,3600,3600,316739,1438126800
55,TTH,HNX,27/03/2019,,3600,3680,3600,3680,320220,1456822000
56,TTH,HNX,28/03/2019,,3680,3680,3520,3520,353530,1580928000
57,TTH,HNX,29/03/2019,,3600,3760,3600,3760,749029,3455950500
58,TTH,HNX,01/04/2019,,3760,3920,3760,3840,623410,2971059000
59,TTH,HNX,02/04/2019,,3840,3840,3680,3760,549470,2557458000
60,TTH,HNX,03/04/2019,,3760,3760,3600,3680,235100,1064980000
