,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VCM,HNX,02/01/2019,,12747,12747,12747,12747,0,0
1,VCM,HNX,03/01/2019,,12747,12747,12747,12747,0,0
2,VCM,HNX,04/01/2019,,12747,12747,12747,12747,0,0
3,VCM,HNX,07/01/2019,,12747,12747,12747,12747,0,0
4,VCM,HNX,08/01/2019,,12747,12747,12747,12747,0,0
5,VCM,HNX,09/01/2019,,12747,12747,12747,12747,0,0
6,VCM,HNX,10/01/2019,,12747,12747,12747,12747,0,0
7,VCM,HNX,11/01/2019,,12747,12747,12747,12747,0,0
8,VCM,HNX,14/01/2019,,12747,12747,12747,12747,0,0
9,VCM,HNX,15/01/2019,,12747,12747,12747,12747,0,0
10,VCM,HNX,16/01/2019,,12747,12747,12747,12747,0,0
11,VCM,HNX,17/01/2019,,13623,13623,13623,13623,200,3420000
12,VCM,HNX,18/01/2019,,13623,13623,13623,13623,0,0
13,VCM,HNX,21/01/2019,,13623,13623,13623,13623,0,0
14,VCM,HNX,22/01/2019,,13623,13623,13623,13623,0,0
15,VCM,HNX,23/01/2019,,13623,13623,13623,13623,0,0
16,VCM,HNX,24/01/2019,,13623,13623,13623,13623,20,344000
17,VCM,HNX,25/01/2019,,13623,13623,13623,13623,0,0
18,VCM,HNX,28/01/2019,,13623,13623,13623,13623,0,0
19,VCM,HNX,29/01/2019,,13623,13623,13623,13623,0,0
20,VCM,HNX,30/01/2019,,13623,13623,13623,13623,0,0
21,VCM,HNX,31/01/2019,,13623,13623,13623,13623,0,0
22,VCM,HNX,01/02/2019,,13623,13623,13623,13623,0,0
23,VCM,HNX,11/02/2019,,14340,14340,14340,14340,200,3600000
24,VCM,HNX,12/02/2019,,14340,14340,14340,14340,200,3600000
25,VCM,HNX,13/02/2019,,15774,15774,15774,15774,100,1980000
26,VCM,HNX,14/02/2019,,15933,15933,15933,15933,100,2000000
27,VCM,HNX,15/02/2019,,15933,15933,15933,15933,0,0
28,VCM,HNX,18/02/2019,,16491,16491,16491,16491,500,10350000
29,VCM,HNX,19/02/2019,,16730,16730,16730,16730,3000,63000000
30,VCM,HNX,20/02/2019,,16730,16730,16730,16730,0,0
31,VCM,HNX,21/02/2019,,16810,16810,16810,16810,3000,63300000
32,VCM,HNX,22/02/2019,,16810,16810,16810,16810,0,0
33,VCM,HNX,25/02/2019,,17128,17128,17128,17128,3400,73100000
34,VCM,HNX,26/02/2019,,17128,17128,17128,17128,0,0
35,VCM,HNX,27/02/2019,,18801,18801,18801,18801,1000,23600000
36,VCM,HNX,28/02/2019,,18801,18801,18801,18801,1000,23600000
37,VCM,HNX,01/03/2019,,17208,17208,17208,17208,1000,21600000
38,VCM,HNX,04/03/2019,,17208,17208,17208,17208,20,390000
39,VCM,HNX,05/03/2019,,17208,17208,17208,17208,0,0
40,VCM,HNX,06/03/2019,,18881,18881,18881,18881,300,7110000
41,VCM,HNX,07/03/2019,,20713,20713,20713,20713,100,2600000
42,VCM,HNX,08/03/2019,,20315,20315,20315,20315,1000,25500000
43,VCM,HNX,11/03/2019,,20713,20713,20713,20713,1000,26000000
44,VCM,HNX,12/03/2019,,19917,19917,19917,19917,100,2500000
45,VCM,HNX,13/03/2019,,21510,21510,18642,18642,1110,29590000
46,VCM,HNX,14/03/2019,,18642,18642,18642,18642,0,0
47,VCM,HNX,15/03/2019,,18642,18961,18642,18722,10800,254630000
48,VCM,HNX,18/03/2019,,20554,20554,20554,20554,1000,25800000
49,VCM,HNX,19/03/2019,,20554,20554,20554,20554,0,0
50,VCM,HNX,20/03/2019,,18642,18642,18642,18642,200,4680000
51,VCM,HNX,21/03/2019,,18642,18642,18642,18642,0,0
52,VCM,HNX,22/03/2019,,18642,18642,18642,18642,0,0
53,VCM,HNX,25/03/2019,,18642,18642,18642,18642,0,0
54,VCM,HNX,26/03/2019,,18642,20474,18642,18642,3300,81820000
55,VCM,HNX,27/03/2019,,18642,18642,18642,18642,0,0
56,VCM,HNX,28/03/2019,,18642,18642,18642,18642,0,0
57,VCM,HNX,29/03/2019,,18642,18642,18642,18642,0,0
58,VCM,HNX,01/04/2019,,18642,18642,18642,18642,0,0
59,VCM,HNX,02/04/2019,,18642,18642,18642,18642,0,0
60,VCM,HNX,03/04/2019,,18642,18642,18642,18642,1000,23400000
61,VCM,HNX,04/04/2019,,18642,18642,18642,18642,1000,23400000
62,VCM,HNX,05/04/2019,,18642,18642,18642,18642,0,0
63,VCM,HNX,08/04/2019,,18642,18642,18642,18642,0,0
64,VCM,HNX,09/04/2019,,18642,18642,18642,18642,0,0
65,VCM,HNX,10/04/2019,,18642,18642,18642,18642,0,0
66,VCM,HNX,11/04/2019,,18642,18642,18642,18642,0,0
67,VCM,HNX,12/04/2019,,18642,18642,18642,18642,0,0
68,VCM,HNX,16/04/2019,,18642,18642,18642,18642,0,0
69,VCM,HNX,17/04/2019,,18642,18642,18642,18642,0,0
70,VCM,HNX,18/04/2019,,18642,18642,18642,18642,0,0
71,VCM,HNX,19/04/2019,,18642,18642,18642,18642,0,0
72,VCM,HNX,22/04/2019,,18642,18642,18642,18642,0,0
73,VCM,HNX,23/04/2019,,18642,18642,18642,18642,0,0
74,VCM,HNX,24/04/2019,,18642,18642,18642,18642,0,0
75,VCM,HNX,25/04/2019,,18642,18642,18642,18642,0,0
76,VCM,HNX,26/04/2019,,18642,18642,18642,18642,0,0
77,VCM,HNX,02/05/2019,,18642,18642,18642,18642,0,0
78,VCM,HNX,03/05/2019,,18801,18801,18801,18801,100,2360000
79,VCM,HNX,06/05/2019,,18801,18801,18801,18801,0,0
80,VCM,HNX,07/05/2019,,18801,18801,18801,18801,0,0
81,VCM,HNX,08/05/2019,,18801,18801,18801,18801,0,0
82,VCM,HNX,09/05/2019,,20628,20628,20628,20628,400,9480000
83,VCM,HNX,10/05/2019,,20889,20889,20889,20889,200,4800000
84,VCM,HNX,13/05/2019,,20889,20889,20889,20889,0,0
85,VCM,HNX,14/05/2019,,20889,20889,20889,20889,0,0
86,VCM,HNX,15/05/2019,,20889,20889,20889,20889,0,0
87,VCM,HNX,16/05/2019,,22978,22978,22978,22978,100,2640000
88,VCM,HNX,17/05/2019,,22978,22978,22978,22978,0,0
89,VCM,HNX,20/05/2019,,22978,22978,22978,22978,0,0
90,VCM,HNX,21/05/2019,,22978,22978,22978,22978,0,0
91,VCM,HNX,22/05/2019,,22978,22978,22978,22978,90,2142000
92,VCM,HNX,23/05/2019,,23500,23500,23500,23500,500,13500000
93,VCM,HNX,24/05/2019,,23500,23500,23500,23500,500,13500000
94,VCM,HNX,27/05/2019,,22717,22717,22717,22717,100,2610000
95,VCM,HNX,28/05/2019,,22717,22717,22717,22717,0,0
96,VCM,HNX,29/05/2019,,22717,22717,22717,22717,50,1175000
97,VCM,HNX,30/05/2019,,22717,22717,22717,22717,0,0
98,VCM,HNX,31/05/2019,,22717,22717,22717,22717,0,0
99,VCM,HNX,03/06/2019,,22717,22717,22717,22717,0,0
100,VCM,HNX,04/06/2019,,22630,22630,22630,22630,200,5200000
101,VCM,HNX,05/06/2019,,20889,20889,20889,20889,300,7200000
102,VCM,HNX,06/06/2019,,20889,20889,20889,20889,0,0
103,VCM,HNX,07/06/2019,,20889,20889,20889,20889,0,0
104,VCM,HNX,10/06/2019,,20889,20889,20889,20889,0,0
105,VCM,HNX,11/06/2019,,22978,22978,22978,22978,2000,52800000
106,VCM,HNX,12/06/2019,,22978,22978,22978,22978,0,0
107,VCM,HNX,13/06/2019,,22978,22978,22978,22978,0,0
108,VCM,HNX,14/06/2019,,22978,22978,22978,22978,0,0
109,VCM,HNX,17/06/2019,,20889,20889,20889,20889,200,4800000
110,VCM,HNX,18/06/2019,,20889,20889,20889,20889,0,0
111,VCM,HNX,19/06/2019,,22978,22978,22978,22978,1000,26400000
112,VCM,HNX,20/06/2019,,22978,22978,22978,22978,0,0
113,VCM,HNX,21/06/2019,,20889,20889,20715,20715,1110,27000000
114,VCM,HNX,24/06/2019,,21760,21760,21760,21760,400,10000000
115,VCM,HNX,25/06/2019,,19584,19584,19584,19584,100,2250000
116,VCM,HNX,26/06/2019,,19584,19584,19584,19584,0,0
117,VCM,HNX,27/06/2019,,19584,19584,19584,19584,0,0
118,VCM,HNX,28/06/2019,,19584,19584,19584,19584,0,0
119,VCM,HNX,01/07/2019,,19584,19584,19584,19584,0,0
120,VCM,HNX,02/07/2019,,19584,19584,19584,19584,0,0
