,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VCS,HNX,02/01/2019,,52213,53749,46761,46761,593289,37520234500
1,VCS,HNX,03/01/2019,,46761,50063,42999,49909,864802,53600808600
2,VCS,HNX,04/01/2019,,47683,50293,46608,49909,347920,22090006000
3,VCS,HNX,07/01/2019,,48758,50217,48758,50140,320604,20776899900
4,VCS,HNX,08/01/2019,,48450,50831,48450,50524,331580,21590288000
5,VCS,HNX,09/01/2019,,49909,50600,49525,49525,155034,10103729600
6,VCS,HNX,10/01/2019,,49525,49756,47606,49372,173670,11078590000
7,VCS,HNX,11/01/2019,,49142,49525,48067,48143,102850,6498919000
8,VCS,HNX,14/01/2019,,48143,48374,47299,47606,60128,3741801000
9,VCS,HNX,15/01/2019,,47759,49142,47376,49142,177870,11184994000
10,VCS,HNX,16/01/2019,,48450,48988,46838,46838,92109,5723302600
11,VCS,HNX,17/01/2019,,46838,48374,46454,48067,180900,11180960000
12,VCS,HNX,18/01/2019,,48297,48527,47376,47990,49650,3110482000
13,VCS,HNX,21/01/2019,,47990,48911,46454,48374,214900,13482416000
14,VCS,HNX,22/01/2019,,48297,48681,47606,47683,222958,14032825600
15,VCS,HNX,23/01/2019,,47683,48604,47452,47913,212510,13362000000
16,VCS,HNX,24/01/2019,,47759,48604,47606,48374,105030,6616145000
17,VCS,HNX,25/01/2019,,48374,48527,48067,48450,33132,2089092000
18,VCS,HNX,28/01/2019,,48450,48604,47759,47836,42048,2632271000
19,VCS,HNX,29/01/2019,,47759,48450,46838,47145,216189,13447093000
20,VCS,HNX,30/01/2019,,46992,47222,45917,47222,167541,10185054100
21,VCS,HNX,31/01/2019,,47222,47376,46377,46838,76110,4643824300
22,VCS,HNX,01/02/2019,,46838,46838,46070,46761,89135,5371581000
23,VCS,HNX,11/02/2019,,47068,47990,46147,47299,153661,9361879800
24,VCS,HNX,12/02/2019,,42615,47683,42615,47452,173360,10687976000
25,VCS,HNX,13/02/2019,,47452,47606,46838,47606,91231,5623305800
26,VCS,HNX,14/02/2019,,47606,49525,47606,49525,262975,16822224000
27,VCS,HNX,15/02/2019,,49525,50217,49142,49525,154278,10004344000
28,VCS,HNX,18/02/2019,,49525,49679,48758,48911,115095,7352647000
29,VCS,HNX,19/02/2019,,48834,49065,47836,48604,169321,10658106000
30,VCS,HNX,20/02/2019,,47990,48527,47606,48527,147925,9247689700
31,VCS,HNX,21/02/2019,,47990,49295,47913,49295,135752,8636098000
32,VCS,HNX,22/02/2019,,49295,49295,48681,48911,59699,3802441600
33,VCS,HNX,25/02/2019,,48911,49295,48758,49065,100100,6388046700
34,VCS,HNX,26/02/2019,,49142,51445,49142,51061,352685,23330933000
35,VCS,HNX,27/02/2019,,51215,52136,51138,51752,150908,10142999900
36,VCS,HNX,28/02/2019,,51752,52213,50447,51445,215660,14368927200
37,VCS,HNX,01/03/2019,,51368,52674,50677,52136,172910,11590738000
38,VCS,HNX,04/03/2019,,52213,52597,51599,51906,163459,11090330600
39,VCS,HNX,05/03/2019,,51675,52443,51599,52059,142730,9674948000
40,VCS,HNX,06/03/2019,,52213,53288,52136,52674,129890,8908500000
41,VCS,HNX,07/03/2019,,52827,52981,51906,51906,113973,7752809400
42,VCS,HNX,08/03/2019,,51445,51445,49909,50140,130440,8572479000
43,VCS,HNX,11/03/2019,,49756,51061,48527,51061,106160,6923403500
44,VCS,HNX,12/03/2019,,51061,51368,50600,51061,59127,3924632800
45,VCS,HNX,13/03/2019,,51061,51368,50140,51368,145032,9604956500
46,VCS,HNX,14/03/2019,,50908,51291,50600,50677,95333,6305813600
47,VCS,HNX,15/03/2019,,50677,50677,49909,50293,110470,7215138000
48,VCS,HNX,18/03/2019,,49986,50217,49449,49525,84105,5447451000
49,VCS,HNX,19/03/2019,,49525,49525,48758,49525,139173,8923942400
50,VCS,HNX,20/03/2019,,49372,49525,48911,48911,88900,5680960000
51,VCS,HNX,21/03/2019,,48988,49449,48911,48911,40596,2594378000
52,VCS,HNX,22/03/2019,,48911,49142,48297,48834,89492,5669392000
53,VCS,HNX,25/03/2019,,47990,50293,47990,49449,169029,10872031200
54,VCS,HNX,26/03/2019,,49449,50217,49142,49295,81897,5288506900
55,VCS,HNX,27/03/2019,,49295,49833,49218,49525,51570,3327318000
56,VCS,HNX,28/03/2019,,49525,49679,49218,49218,46336,2978337200
57,VCS,HNX,29/03/2019,,49142,49218,48758,48758,88040,5611812000
58,VCS,HNX,01/04/2019,,48834,48911,48374,48604,92781,5860719100
59,VCS,HNX,02/04/2019,,48374,49142,48374,48604,53480,3389544600
60,VCS,HNX,03/04/2019,,49142,49756,48758,49295,114004,7314235400
61,VCS,HNX,04/04/2019,,49602,52981,49602,52981,476434,31909936100
62,VCS,HNX,05/04/2019,,53058,55515,53058,54363,293468,20808958200
63,VCS,HNX,08/04/2019,,54363,54593,53211,53365,184746,12907955600
64,VCS,HNX,09/04/2019,,53365,53365,51906,51906,266870,18368874000
65,VCS,HNX,10/04/2019,,51522,52213,51061,51983,119166,8012296800
66,VCS,HNX,11/04/2019,,51983,52136,51675,51906,48803,3296641600
67,VCS,HNX,12/04/2019,,51829,51829,51138,51752,73322,4914523100
68,VCS,HNX,16/04/2019,,51752,51752,49602,49602,280434,18437219000
69,VCS,HNX,17/04/2019,,49602,50447,48604,48681,163345,10509936500
70,VCS,HNX,18/04/2019,,48758,49218,48681,49065,81885,5222696000
71,VCS,HNX,19/04/2019,,49065,50908,48988,50754,82677,5367001000
72,VCS,HNX,22/04/2019,,50754,50754,49218,49295,47860,3089463500
73,VCS,HNX,23/04/2019,,49372,49909,48527,49295,62952,4042072400
74,VCS,HNX,24/04/2019,,49525,50140,49142,49833,100445,6511342500
75,VCS,HNX,25/04/2019,,49295,49909,49295,49525,13064,844489600
76,VCS,HNX,26/04/2019,,49525,49525,48758,49218,99030,6332270000
77,VCS,HNX,02/05/2019,,49833,49833,48374,48758,86360,5507022000
78,VCS,HNX,03/05/2019,,48758,49065,48527,48681,79274,5034340200
79,VCS,HNX,06/05/2019,,48758,48758,47452,47990,122282,7634511700
80,VCS,HNX,07/05/2019,,47759,48758,47759,48067,39840,2495535000
81,VCS,HNX,08/05/2019,,48220,48220,47529,47683,57014,3541654400
82,VCS,HNX,09/05/2019,,47759,47990,46761,46761,116471,7140866500
