,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VFS,UPCOM,01/07/2020,,10374,14093,10374,14093,120500,1315540000
1,VFS,UPCOM,02/07/2020,,10668,12234,10668,12234,102800,1279920000
2,VFS,UPCOM,03/07/2020,,13995,13995,13995,13995,113200,1618760000
3,VFS,UPCOM,06/07/2020,,16051,16051,11940,12332,108500,1365540000
4,VFS,UPCOM,07/07/2020,,10864,10864,10570,10570,29600,322150000
5,VFS,UPCOM,08/07/2020,,9102,9102,9102,9102,5000,46500000
6,VFS,UPCOM,09/07/2020,,7830,10374,7830,10374,46500,387450000
7,VFS,UPCOM,10/07/2020,,8808,9298,7830,8808,20000,172870000
8,VFS,UPCOM,13/07/2020,,7830,8710,7242,7242,39000,293450000
9,VFS,UPCOM,14/07/2020,,7242,7340,6753,7242,36600,266070000
10,VFS,UPCOM,15/07/2020,,7830,7830,6851,7145,45900,337010000
11,VFS,UPCOM,16/07/2020,,7047,7536,7047,7536,36000,261230000
12,VFS,UPCOM,17/07/2020,,7047,7242,6949,7242,38700,281290000
13,VFS,UPCOM,20/07/2020,,7242,7242,7145,7242,32400,239600000
14,VFS,UPCOM,21/07/2020,,7242,7340,6949,7242,36600,269880000
15,VFS,UPCOM,22/07/2020,,7145,7536,7145,7536,40400,298230000
16,VFS,UPCOM,23/07/2020,,7242,7242,7145,7242,25200,186380000
17,VFS,UPCOM,24/07/2020,,7340,7340,6949,7047,28800,209350000
18,VFS,UPCOM,27/07/2020,,6851,7145,6166,7145,24400,162710000
19,VFS,UPCOM,28/07/2020,,5872,6655,5872,6655,25100,164090000
20,VFS,UPCOM,29/07/2020,,5970,6362,5970,6362,31400,202100000
21,VFS,UPCOM,30/07/2020,,6264,6264,6264,6264,13200,84480000
22,VFS,UPCOM,31/07/2020,,6362,6362,6166,6362,25000,161040000
23,VFS,UPCOM,03/08/2020,,6264,6362,6264,6264,25300,161930000
24,VFS,UPCOM,04/08/2020,,6362,6459,6362,6459,1800,11750000
25,VFS,UPCOM,05/08/2020,,6362,6655,6362,6655,300,2000000
26,VFS,UPCOM,06/08/2020,,7536,7536,6459,6753,5300,35130000
27,VFS,UPCOM,07/08/2020,,6557,7047,6557,7047,13000,88170000
28,VFS,UPCOM,10/08/2020,,6655,6753,6655,6753,5100,34980000
29,VFS,UPCOM,11/08/2020,,6362,6753,6362,6753,15800,103350000
30,VFS,UPCOM,12/08/2020,,6362,6557,6362,6557,17400,114980000
31,VFS,UPCOM,13/08/2020,,6557,6557,6557,6557,16000,107200000
32,VFS,UPCOM,14/08/2020,,6557,6753,6557,6753,20700,139820000
33,VFS,UPCOM,17/08/2020,,6459,6655,6362,6655,7600,49990000
34,VFS,UPCOM,18/08/2020,,6459,6459,6459,6459,2000,13200000
35,VFS,UPCOM,19/08/2020,,6459,6459,6362,6459,11500,75310000
36,VFS,UPCOM,20/08/2020,,6459,6753,6459,6557,18700,126840000
37,VFS,UPCOM,21/08/2020,,6557,6655,6557,6655,15200,103280000
38,VFS,UPCOM,24/08/2020,,6655,6753,6655,6655,14900,101420000
39,VFS,UPCOM,25/08/2020,,6655,6753,6655,6753,9200,62760000
40,VFS,UPCOM,26/08/2020,,6655,6753,6655,6753,11300,77040000
41,VFS,UPCOM,27/08/2020,,6655,6753,6655,6655,15500,105450000
42,VFS,UPCOM,28/08/2020,,7536,7536,6949,7047,7300,54520000
43,VFS,UPCOM,31/08/2020,,7438,7438,6949,6949,5800,42730000
44,VFS,UPCOM,01/09/2020,,7438,7438,6949,6949,0,0
45,VFS,UPCOM,03/09/2020,,6753,6851,6459,6851,22100,149510000
46,VFS,UPCOM,04/09/2020,,6459,6949,6459,6949,6800,45520000
47,VFS,UPCOM,07/09/2020,,6459,6459,6362,6362,3500,23000000
48,VFS,UPCOM,08/09/2020,,6362,6459,6362,6459,13400,87140000
49,VFS,UPCOM,09/09/2020,,6362,6459,6362,6459,25100,165200000
50,VFS,UPCOM,10/09/2020,,6459,6459,6362,6459,8000,52750000
51,VFS,UPCOM,11/09/2020,,6459,6557,6362,6362,4700,30630000
52,VFS,UPCOM,14/09/2020,,6362,6459,6362,6459,2500,16460000
53,VFS,UPCOM,15/09/2020,,6362,6459,6362,6459,0,0
54,VFS,UPCOM,16/09/2020,,6459,6459,6362,6459,12200,79440000
