,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VHE,HNX,14/01/2019,,16251,16251,16251,16251,600,11700000
1,VHE,HNX,15/01/2019,,17835,17835,17835,17835,100,2140000
2,VHE,HNX,16/01/2019,,19585,19585,19585,19585,1100,25850000
3,VHE,HNX,17/01/2019,,21502,21502,21502,21502,29500,761100000
4,VHE,HNX,18/01/2019,,23585,23585,23585,23585,28900,817870000
5,VHE,HNX,21/01/2019,,25919,25919,23919,25669,14000,409880000
6,VHE,HNX,22/01/2019,,23752,25752,23335,25669,79600,2285210000
7,VHE,HNX,23/01/2019,,25419,25752,24002,24169,10400,313580000
8,VHE,HNX,24/01/2019,,25002,25002,23419,24169,27600,793900000
9,VHE,HNX,25/01/2019,,23419,24835,23419,24169,23100,656500000
10,VHE,HNX,28/01/2019,,24919,24919,24335,24335,1000,29270000
11,VHE,HNX,29/01/2019,,23419,23419,22919,22919,3200,89860000
12,VHE,HNX,30/01/2019,,24169,24585,23335,24169,21000,604880000
13,VHE,HNX,31/01/2019,,24169,24585,23752,23752,10900,313950000
14,VHE,HNX,01/02/2019,,23752,24585,23752,24585,13000,379200000
15,VHE,HNX,11/02/2019,,24419,26085,23335,25919,24900,748750000
16,VHE,HNX,12/02/2019,,24252,25002,23835,25002,40700,1184720000
17,VHE,HNX,13/02/2019,,24169,24919,23669,24919,19200,550860000
18,VHE,HNX,14/02/2019,,24502,24502,23919,24335,1500,43600000
19,VHE,HNX,15/02/2019,,23752,24752,23752,24752,12100,350250000
20,VHE,HNX,18/02/2019,,24752,24752,24752,24752,0,0
21,VHE,HNX,19/02/2019,,24585,24752,23585,23669,12900,371670000
22,VHE,HNX,20/02/2019,,24502,24502,23752,23835,6000,171630000
23,VHE,HNX,21/02/2019,,23835,24335,23752,23835,2100,59950000
24,VHE,HNX,22/02/2019,,24169,24252,23752,24085,10200,293850000
25,VHE,HNX,25/02/2019,,24002,24002,23419,23835,12600,355220000
26,VHE,HNX,26/02/2019,,23835,23919,23419,23419,9700,274760000
27,VHE,HNX,27/02/2019,,23585,24585,23335,24335,47020,1346372000
28,VHE,HNX,28/02/2019,,24002,24169,23835,24169,19700,566600000
29,VHE,HNX,01/03/2019,,24002,24419,23835,24335,41000,1188500000
30,VHE,HNX,04/03/2019,,24085,24502,23669,24502,65700,1907560000
31,VHE,HNX,05/03/2019,,24419,24752,24002,24752,44800,1310020000
32,VHE,HNX,06/03/2019,,24919,24919,24419,24752,13700,404070000
33,VHE,HNX,07/03/2019,,24752,24835,24502,24752,8500,251500000
34,VHE,HNX,08/03/2019,,24419,24919,24169,24919,11600,340770000
35,VHE,HNX,11/03/2019,,24752,27336,24169,24919,12300,365940000
36,VHE,HNX,12/03/2019,,24419,24585,24085,24502,16030,467865000
37,VHE,HNX,13/03/2019,,24252,24835,24169,24835,23200,677440000
38,VHE,HNX,14/03/2019,,24419,24835,23419,24585,35000,1007830000
39,VHE,HNX,15/03/2019,,24502,24919,24169,24919,38900,1150030000
40,VHE,HNX,18/03/2019,,24169,24835,23752,24752,49201,1417209900
41,VHE,HNX,19/03/2019,,23919,24169,23669,24169,22300,638490000
