,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VIF,UPCOM,02/01/2019,,10626,10626,10626,10626,0,0
1,VIF,UPCOM,03/01/2019,,10626,10626,10626,10626,0,0
2,VIF,UPCOM,04/01/2019,,10342,10342,10342,10342,1400,20440000
3,VIF,UPCOM,07/01/2019,,10342,10342,10342,10342,700,10220000
4,VIF,UPCOM,08/01/2019,,10342,10342,10342,10342,0,0
5,VIF,UPCOM,09/01/2019,,10342,10342,10342,10342,0,0
6,VIF,UPCOM,10/01/2019,,8926,10413,8926,10413,600,8610000
7,VIF,UPCOM,11/01/2019,,10413,10413,10413,10413,200,2940000
8,VIF,UPCOM,14/01/2019,,10413,10413,10413,10413,0,0
9,VIF,UPCOM,15/01/2019,,10767,10767,10767,10767,100,1520000
10,VIF,UPCOM,16/01/2019,,10697,10767,10697,10767,15700,237180000
11,VIF,UPCOM,17/01/2019,,10626,10626,10626,10626,400,6000000
12,VIF,UPCOM,18/01/2019,,10626,10626,10626,10626,1000,15000000
13,VIF,UPCOM,21/01/2019,,10626,10626,10626,10626,0,0
14,VIF,UPCOM,22/01/2019,,10626,10626,10626,10626,0,0
15,VIF,UPCOM,23/01/2019,,9138,10626,9138,10201,900,12960000
16,VIF,UPCOM,24/01/2019,,10201,10201,10201,10201,0,0
17,VIF,UPCOM,25/01/2019,,9280,9280,9280,9280,200,2620000
18,VIF,UPCOM,28/01/2019,,10626,10626,10626,10626,100,1500000
19,VIF,UPCOM,29/01/2019,,10626,10626,10626,10626,0,0
20,VIF,UPCOM,30/01/2019,,10626,10626,10626,10626,2000,30000000
21,VIF,UPCOM,31/01/2019,,10697,10697,10697,10697,200,3020000
22,VIF,UPCOM,01/02/2019,,10697,10697,9209,9209,1100,16400000
23,VIF,UPCOM,11/02/2019,,11972,11972,11334,11334,700,11380000
24,VIF,UPCOM,12/02/2019,,11547,11547,11547,11547,1000,16300000
25,VIF,UPCOM,13/02/2019,,11547,11547,11547,11547,2000,32600000
26,VIF,UPCOM,14/02/2019,,11688,11688,11334,11334,4800,78300000
27,VIF,UPCOM,15/02/2019,,11547,11547,11334,11334,2000,32300000
28,VIF,UPCOM,18/02/2019,,11476,11476,11334,11334,0,0
29,VIF,UPCOM,19/02/2019,,11476,11476,11334,11334,0,0
30,VIF,UPCOM,20/02/2019,,11334,11334,11334,11334,5200,83200000
31,VIF,UPCOM,21/02/2019,,9705,11476,9705,11334,1900,30190000
32,VIF,UPCOM,22/02/2019,,11334,11334,11334,11334,500,8000000
33,VIF,UPCOM,25/02/2019,,11334,11334,11334,11334,0,0
34,VIF,UPCOM,26/02/2019,,11334,11334,11334,11334,0,0
35,VIF,UPCOM,27/02/2019,,10980,11476,10980,11476,1200,19170000
36,VIF,UPCOM,28/02/2019,,11334,11476,11334,11476,0,0
37,VIF,UPCOM,01/03/2019,,11334,11476,11334,11476,0,0
38,VIF,UPCOM,04/03/2019,,11334,11334,11192,11192,3000,47800000
39,VIF,UPCOM,05/03/2019,,11334,11334,11192,11192,2500,39900000
40,VIF,UPCOM,06/03/2019,,11192,11192,11192,11192,6800,107440000
41,VIF,UPCOM,07/03/2019,,11192,11192,11192,11192,0,0
42,VIF,UPCOM,08/03/2019,,11122,11122,10980,10980,5000,77900000
43,VIF,UPCOM,11/03/2019,,11051,11051,10980,10980,0,0
44,VIF,UPCOM,12/03/2019,,11192,11192,10980,10980,12000,187100000
45,VIF,UPCOM,13/03/2019,,11051,11051,10980,10980,0,0
46,VIF,UPCOM,14/03/2019,,11192,11192,11192,11192,1100,17380000
47,VIF,UPCOM,15/03/2019,,11192,11192,11192,11192,0,0
48,VIF,UPCOM,18/03/2019,,11192,11192,11192,11192,0,0
49,VIF,UPCOM,19/03/2019,,11192,11192,11192,11192,0,0
50,VIF,UPCOM,20/03/2019,,9634,9634,9634,9634,100,1360000
51,VIF,UPCOM,21/03/2019,,11051,11051,11051,11051,1000,15600000
52,VIF,UPCOM,22/03/2019,,11972,11972,11972,11972,1000,16900000
53,VIF,UPCOM,25/03/2019,,11972,11972,11972,11972,0,0
54,VIF,UPCOM,26/03/2019,,11972,11972,11972,11972,0,0
55,VIF,UPCOM,27/03/2019,,11972,11972,11972,11972,0,0
56,VIF,UPCOM,28/03/2019,,11972,11972,11972,11972,100,1690000
57,VIF,UPCOM,29/03/2019,,11972,11972,11972,11972,0,0
58,VIF,UPCOM,01/04/2019,,11972,11972,11972,11972,0,0
59,VIF,UPCOM,02/04/2019,,11688,11688,11688,11688,3000,49500000
60,VIF,UPCOM,03/04/2019,,11051,11688,11051,11688,18200,284100000
61,VIF,UPCOM,04/04/2019,,12255,12255,12255,12255,300,5190000
62,VIF,UPCOM,05/04/2019,,12255,12255,12255,12255,0,0
63,VIF,UPCOM,08/04/2019,,12043,12043,12043,12043,200,3400000
64,VIF,UPCOM,09/04/2019,,10342,11334,10342,11334,2400,38260000
65,VIF,UPCOM,10/04/2019,,11263,11334,11263,11334,0,0
66,VIF,UPCOM,11/04/2019,,11263,11334,11263,11334,0,0
67,VIF,UPCOM,12/04/2019,,11263,11334,11263,11334,0,0
68,VIF,UPCOM,16/04/2019,,11263,11334,11263,11334,0,0
69,VIF,UPCOM,17/04/2019,,11263,11334,11263,11334,0,0
70,VIF,UPCOM,18/04/2019,,11263,11334,11263,11334,0,0
71,VIF,UPCOM,19/04/2019,,11263,11334,11263,11334,0,0
72,VIF,UPCOM,22/04/2019,,9705,11192,9705,11192,11500,181280000
73,VIF,UPCOM,23/04/2019,,9705,9705,9705,9705,100,1370000
74,VIF,UPCOM,24/04/2019,,11122,11122,11122,11122,3600,56520000
75,VIF,UPCOM,25/04/2019,,11122,11122,11122,11122,0,0
76,VIF,UPCOM,26/04/2019,,9563,11263,9563,11263,4200,66540000
77,VIF,UPCOM,02/05/2019,,10272,11192,10272,11192,1100,17250000
78,VIF,UPCOM,03/05/2019,,10130,10130,10130,10130,100,1430000
79,VIF,UPCOM,06/05/2019,,11051,11051,11051,11051,100,1560000
80,VIF,UPCOM,07/05/2019,,11051,11051,11051,11051,0,0
81,VIF,UPCOM,08/05/2019,,11051,11051,11051,11051,0,0
82,VIF,UPCOM,09/05/2019,,11192,11192,10626,10626,200,3080000
83,VIF,UPCOM,10/05/2019,,10909,10909,10626,10626,0,0
84,VIF,UPCOM,13/05/2019,,10909,10909,10626,10626,0,0
85,VIF,UPCOM,14/05/2019,,10909,10909,10626,10626,0,0
86,VIF,UPCOM,15/05/2019,,10909,10909,10626,10626,0,0
87,VIF,UPCOM,16/05/2019,,10909,10909,10626,10626,0,0
88,VIF,UPCOM,17/05/2019,,10555,11263,10555,10980,700,10830000
89,VIF,UPCOM,20/05/2019,,10980,10980,10980,10980,0,0
90,VIF,UPCOM,21/05/2019,,10980,10980,10980,10980,0,0
91,VIF,UPCOM,22/05/2019,,10980,10980,10980,10980,0,0
92,VIF,UPCOM,23/05/2019,,11334,11334,11334,11334,100,1600000
93,VIF,UPCOM,24/05/2019,,11334,11334,11334,11334,100,1600000
94,VIF,UPCOM,27/05/2019,,11334,11334,11334,11334,0,0
95,VIF,UPCOM,28/05/2019,,11334,11334,11334,11334,100,1600000
96,VIF,UPCOM,29/05/2019,,11334,11334,11334,11334,0,0
97,VIF,UPCOM,30/05/2019,,11334,11334,11334,11334,0,0
98,VIF,UPCOM,31/05/2019,,12326,12326,12326,12326,100,1740000
99,VIF,UPCOM,03/06/2019,,12326,12326,12326,12326,0,0
100,VIF,UPCOM,04/06/2019,,14168,14168,14168,14168,100,2000000
101,VIF,UPCOM,05/06/2019,,12043,12043,12043,12043,100,1700000
102,VIF,UPCOM,06/06/2019,,11688,11688,11688,11688,100,1650000
103,VIF,UPCOM,07/06/2019,,11688,11688,11688,11688,0,0
104,VIF,UPCOM,10/06/2019,,13318,13318,11688,11688,300,5180000
105,VIF,UPCOM,11/06/2019,,11334,11334,11334,11334,400,6400000
106,VIF,UPCOM,12/06/2019,,11334,11334,11334,11334,0,0
107,VIF,UPCOM,13/06/2019,,11334,11334,11334,11334,0,0
108,VIF,UPCOM,14/06/2019,,11688,12043,11688,12043,2000,33690000
109,VIF,UPCOM,17/06/2019,,11688,11688,11688,11688,1400,23100000
110,VIF,UPCOM,18/06/2019,,11688,11688,11688,11688,1600,26400000
111,VIF,UPCOM,19/06/2019,,11688,11688,11688,11688,600,9900000
112,VIF,UPCOM,20/06/2019,,11547,11688,11547,11688,2400,39000000
113,VIF,UPCOM,21/06/2019,,11688,11688,11688,11688,0,0
114,VIF,UPCOM,24/06/2019,,11688,11688,11688,11688,0,0
