,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VIT,HNX,02/01/2019,,5324,5324,5324,5324,0,0
1,VIT,HNX,03/01/2019,,5324,5324,5324,5324,0,0
2,VIT,HNX,04/01/2019,,4904,4904,4904,4904,7040,73924000
3,VIT,HNX,07/01/2019,,5231,5371,5231,5371,9120,104440000
4,VIT,HNX,08/01/2019,,5371,5884,5371,5884,32530,408367000
5,VIT,HNX,09/01/2019,,5604,5978,5324,5884,37000,467690000
6,VIT,HNX,10/01/2019,,5931,5978,5931,5978,1913,24304000
7,VIT,HNX,11/01/2019,,6024,6211,6024,6211,13310,174209000
8,VIT,HNX,14/01/2019,,6211,6211,6211,6211,5020,66780000
9,VIT,HNX,15/01/2019,,6118,6305,6118,6305,9120,122110000
10,VIT,HNX,16/01/2019,,6305,6305,5838,5838,9800,131200000
11,VIT,HNX,17/01/2019,,6305,6351,6305,6351,13550,183043000
12,VIT,HNX,18/01/2019,,6351,6351,6305,6305,2300,31150000
13,VIT,HNX,21/01/2019,,6071,6165,5978,6165,34920,453780000
14,VIT,HNX,22/01/2019,,6211,6211,6211,6211,4900,65170000
15,VIT,HNX,23/01/2019,,6305,6818,6211,6211,12200,176160000
16,VIT,HNX,24/01/2019,,6258,6538,6211,6538,9740,134472000
17,VIT,HNX,25/01/2019,,6211,6211,6211,6211,200,2660000
18,VIT,HNX,28/01/2019,,6211,6445,6211,6258,18150,247955000
19,VIT,HNX,29/01/2019,,6305,6305,6305,6305,1500,20250000
20,VIT,HNX,30/01/2019,,6305,6305,6258,6258,6100,82150000
21,VIT,HNX,31/01/2019,,6305,6351,6305,6351,1900,25830000
22,VIT,HNX,01/02/2019,,6351,6351,6351,6351,0,0
23,VIT,HNX,11/02/2019,,6118,6118,6118,6118,3990,52269000
24,VIT,HNX,12/02/2019,,6305,6305,6305,6305,400,5400000
25,VIT,HNX,13/02/2019,,6305,6305,6305,6305,0,0
26,VIT,HNX,14/02/2019,,6305,6351,6305,6351,9513,128436800
27,VIT,HNX,15/02/2019,,6351,6351,6351,6351,0,0
28,VIT,HNX,18/02/2019,,6351,6351,6351,6351,0,0
29,VIT,HNX,19/02/2019,,6398,6445,6398,6445,2600,35750000
30,VIT,HNX,20/02/2019,,6445,6445,6445,6445,0,0
31,VIT,HNX,21/02/2019,,6445,6491,6445,6491,6500,90250000
32,VIT,HNX,22/02/2019,,6491,6491,6491,6491,0,0
33,VIT,HNX,25/02/2019,,6491,6491,6491,6491,0,0
34,VIT,HNX,26/02/2019,,6305,6305,6305,6305,110,1485000
35,VIT,HNX,27/02/2019,,6491,6632,6491,6585,11400,160990000
36,VIT,HNX,28/02/2019,,6538,6538,6538,6538,1000,14000000
37,VIT,HNX,01/03/2019,,6538,6538,6538,6538,4100,57400000
38,VIT,HNX,04/03/2019,,6491,6772,6445,6772,6100,84350000
39,VIT,HNX,05/03/2019,,6772,6772,6772,6772,0,0
40,VIT,HNX,06/03/2019,,6772,6772,6538,6538,6500,91250000
41,VIT,HNX,07/03/2019,,6538,6538,6538,6538,0,0
42,VIT,HNX,08/03/2019,,6538,6538,6538,6538,0,0
43,VIT,HNX,11/03/2019,,6538,6538,6538,6538,500,7000000
44,VIT,HNX,12/03/2019,,6538,6538,6538,6538,0,0
45,VIT,HNX,13/03/2019,,6538,6538,6538,6538,0,0
46,VIT,HNX,14/03/2019,,6772,6912,6772,6865,1310,19282000
47,VIT,HNX,15/03/2019,,6772,6772,6772,6772,3000,43500000
48,VIT,HNX,18/03/2019,,6818,7145,6772,7145,24600,356830000
49,VIT,HNX,19/03/2019,,6772,6818,6772,6818,10100,146460000
50,VIT,HNX,20/03/2019,,6818,6818,6818,6818,1000,14600000
51,VIT,HNX,21/03/2019,,6818,6818,6818,6818,8000,116800000
52,VIT,HNX,22/03/2019,,6818,6865,6818,6865,11000,160700000
53,VIT,HNX,25/03/2019,,7005,7005,7005,7005,5000,75000000
54,VIT,HNX,26/03/2019,,6772,6772,6772,6772,2708,39261200
55,VIT,HNX,27/03/2019,,6772,7285,6772,7052,14900,225170000
56,VIT,HNX,28/03/2019,,7005,7052,7005,7052,2067,31038000
57,VIT,HNX,29/03/2019,,7052,7052,7052,7052,0,0
58,VIT,HNX,01/04/2019,,7052,7052,7052,7052,2500,37750000
59,VIT,HNX,02/04/2019,,7005,7005,7005,7005,294,4353600
