,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VMC,HNX,02/01/2019,,12238,12238,12173,12238,2410,45780000
1,VMC,HNX,03/01/2019,,11916,12238,11916,12238,1930,35755000
2,VMC,HNX,04/01/2019,,11658,12238,11594,12238,7573,142137600
3,VMC,HNX,07/01/2019,,11916,12173,11916,12173,3100,57670000
4,VMC,HNX,08/01/2019,,12173,12173,12173,12173,2880,54432000
5,VMC,HNX,09/01/2019,,12045,12173,11916,12173,2300,42950000
6,VMC,HNX,10/01/2019,,12045,12045,12045,12045,4200,78540000
7,VMC,HNX,11/01/2019,,11336,12173,11336,12045,33100,622420000
8,VMC,HNX,14/01/2019,,11851,12173,11851,12173,3200,59230000
9,VMC,HNX,15/01/2019,,11916,12173,11851,12173,5600,104310000
10,VMC,HNX,16/01/2019,,12045,12109,11916,12109,1400,26090000
11,VMC,HNX,17/01/2019,,12109,12238,11851,12238,5300,98850000
12,VMC,HNX,18/01/2019,,11916,12173,11723,12173,2600,47560000
13,VMC,HNX,21/01/2019,,11787,12109,11787,12109,1600,29380000
14,VMC,HNX,22/01/2019,,12109,12109,11916,12109,3200,59870000
15,VMC,HNX,23/01/2019,,11787,12045,11658,12045,1103,20404900
16,VMC,HNX,24/01/2019,,11723,12045,11723,12045,624,11410800
17,VMC,HNX,25/01/2019,,12045,12045,11723,12045,1519,28302100
18,VMC,HNX,28/01/2019,,11723,12045,11723,11916,4523,83870100
19,VMC,HNX,29/01/2019,,11787,11980,11787,11851,1200,22140000
20,VMC,HNX,30/01/2019,,11851,12109,11787,12109,4710,86690000
21,VMC,HNX,31/01/2019,,11916,12045,11272,12045,8900,159920000
22,VMC,HNX,01/02/2019,,11594,12045,11594,12045,200,3670000
23,VMC,HNX,11/02/2019,,12109,12238,12109,12238,600,11380000
24,VMC,HNX,12/02/2019,,11787,12045,11787,11980,800,14840000
25,VMC,HNX,13/02/2019,,12109,12238,11916,12109,2150,40220000
26,VMC,HNX,14/02/2019,,12238,12431,12173,12431,4240,80482000
27,VMC,HNX,15/02/2019,,12431,12882,12173,12302,10460,203750000
28,VMC,HNX,18/02/2019,,12624,13140,12560,12689,4300,86450000
