,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VNF,HNX,02/01/2019,,9122,9122,9122,9122,0,0
1,VNF,HNX,03/01/2019,,9122,9122,9122,9122,0,0
2,VNF,HNX,04/01/2019,,9122,9122,9122,9122,0,0
3,VNF,HNX,07/01/2019,,9122,9122,9122,9122,0,0
4,VNF,HNX,08/01/2019,,9122,9122,9122,9122,0,0
5,VNF,HNX,09/01/2019,,9876,9876,8250,8250,700,14970000
6,VNF,HNX,10/01/2019,,8964,9003,8329,8329,300,6630000
7,VNF,HNX,11/01/2019,,8329,8329,8329,8329,0,0
8,VNF,HNX,14/01/2019,,9043,9043,9043,9043,100,2280000
9,VNF,HNX,15/01/2019,,8329,8329,8329,8329,100,2100000
10,VNF,HNX,16/01/2019,,8329,8329,8329,8329,0,0
11,VNF,HNX,17/01/2019,,8329,8329,8329,8329,0,0
12,VNF,HNX,18/01/2019,,7813,7813,7813,7813,100,1970000
13,VNF,HNX,21/01/2019,,8527,8527,7932,7932,200,4150000
14,VNF,HNX,22/01/2019,,7932,7932,7932,7932,0,0
15,VNF,HNX,23/01/2019,,7893,7893,7893,7893,100,1990000
16,VNF,HNX,24/01/2019,,7893,7893,7893,7893,0,0
17,VNF,HNX,25/01/2019,,7893,7893,7893,7893,0,0
18,VNF,HNX,28/01/2019,,7774,7774,7774,7774,100,1960000
19,VNF,HNX,29/01/2019,,7774,7774,7774,7774,0,0
20,VNF,HNX,30/01/2019,,7774,7774,7774,7774,0,0
21,VNF,HNX,31/01/2019,,7774,7774,7774,7774,0,0
22,VNF,HNX,01/02/2019,,7774,7774,7774,7774,0,0
23,VNF,HNX,11/02/2019,,8527,8527,8488,8488,300,6430000
24,VNF,HNX,12/02/2019,,7655,7655,7655,7655,100,1930000
25,VNF,HNX,13/02/2019,,7893,8369,7655,8369,3200,62270000
26,VNF,HNX,14/02/2019,,8369,8369,8369,8369,0,0
27,VNF,HNX,15/02/2019,,8369,8369,8369,8369,0,0
28,VNF,HNX,18/02/2019,,7575,8686,7575,8686,800,16550000
29,VNF,HNX,19/02/2019,,7853,7893,7853,7893,202,4018000
30,VNF,HNX,20/02/2019,,7893,7893,7893,7893,0,0
31,VNF,HNX,21/02/2019,,8131,8131,7655,7655,1500,30160000
32,VNF,HNX,22/02/2019,,7694,7694,7694,7694,500,9700000
33,VNF,HNX,25/02/2019,,7694,7694,7694,7694,0,0
34,VNF,HNX,26/02/2019,,7694,7694,7694,7694,0,0
