,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VNR,HNX,02/01/2019,,13932,13932,13932,13932,0,0
1,VNR,HNX,03/01/2019,,12761,12761,12761,12761,200,4360000
2,VNR,HNX,04/01/2019,,12761,12761,12761,12761,5800,126440000
3,VNR,HNX,07/01/2019,,12761,12761,12761,12761,0,0
4,VNR,HNX,08/01/2019,,12293,12293,12293,12293,275,5790000
5,VNR,HNX,09/01/2019,,12352,12352,12352,12352,5000,105500000
6,VNR,HNX,10/01/2019,,12176,12761,12118,12761,7700,159600000
7,VNR,HNX,11/01/2019,,12761,12761,12761,12761,0,0
8,VNR,HNX,14/01/2019,,12761,12761,12761,12761,0,0
9,VNR,HNX,15/01/2019,,12703,13054,12703,13054,6800,151580000
10,VNR,HNX,16/01/2019,,12586,12586,12586,12586,500,10750000
11,VNR,HNX,17/01/2019,,12586,12586,12586,12586,0,0
12,VNR,HNX,18/01/2019,,12527,12703,12293,12703,8800,185070000
13,VNR,HNX,21/01/2019,,12586,12586,12586,12586,100,2150000
14,VNR,HNX,22/01/2019,,12586,12586,12586,12586,500,10750000
15,VNR,HNX,23/01/2019,,12527,12527,12527,12527,100,2140000
16,VNR,HNX,24/01/2019,,12293,13171,11942,13171,600,12630000
17,VNR,HNX,25/01/2019,,12059,12059,12059,12059,6200,127720000
18,VNR,HNX,28/01/2019,,12820,12879,12820,12879,1100,24190000
19,VNR,HNX,29/01/2019,,12000,12879,11708,12820,82300,1650610000
20,VNR,HNX,30/01/2019,,12703,13113,12059,12059,6300,140820000
21,VNR,HNX,31/01/2019,,12820,12820,12820,12820,1110,24299000
22,VNR,HNX,01/02/2019,,12000,12352,12000,12352,2200,45520000
23,VNR,HNX,11/02/2019,,12000,12118,11239,12118,11400,223460000
24,VNR,HNX,12/02/2019,,11766,11942,11708,11942,34500,697840000
25,VNR,HNX,13/02/2019,,11942,11942,11942,11942,900,18360000
26,VNR,HNX,14/02/2019,,11883,11883,11825,11883,7600,153690000
27,VNR,HNX,15/02/2019,,11766,11766,11766,11766,1300,26130000
28,VNR,HNX,18/02/2019,,11708,11708,11649,11708,66000,1319350000
29,VNR,HNX,19/02/2019,,11649,12352,11649,12352,4000,79720000
30,VNR,HNX,20/02/2019,,11708,12352,11708,12352,5500,115170000
31,VNR,HNX,21/02/2019,,11708,12352,11649,12352,8900,177790000
32,VNR,HNX,22/02/2019,,11708,12176,11708,12176,200,4080000
33,VNR,HNX,25/02/2019,,12235,12235,11708,11708,10500,210980000
34,VNR,HNX,26/02/2019,,11708,11766,11708,11766,13800,276010000
35,VNR,HNX,27/02/2019,,11766,11766,11766,11766,0,0
36,VNR,HNX,28/02/2019,,12118,12235,11708,11708,7100,145040000
37,VNR,HNX,01/03/2019,,11708,12000,11708,12000,3185,65201000
38,VNR,HNX,04/03/2019,,11825,11825,11825,11825,200,4040000
39,VNR,HNX,05/03/2019,,11825,11825,11825,11825,0,0
40,VNR,HNX,06/03/2019,,11766,11766,11766,11766,300,6030000
41,VNR,HNX,07/03/2019,,11766,11766,11766,11766,30000,603000000
42,VNR,HNX,08/03/2019,,12118,12176,12118,12176,300,6230000
43,VNR,HNX,11/03/2019,,12176,12176,12176,12176,0,0
44,VNR,HNX,12/03/2019,,12176,12176,12176,12176,0,0
45,VNR,HNX,13/03/2019,,12000,12000,12000,12000,900,18450000
46,VNR,HNX,14/03/2019,,12000,12000,12000,12000,200,4100000
47,VNR,HNX,15/03/2019,,11825,12235,11825,12235,200,4110000
48,VNR,HNX,18/03/2019,,11825,12293,11825,12293,300,6140000
49,VNR,HNX,19/03/2019,,12293,12293,12293,12293,25,492500
50,VNR,HNX,20/03/2019,,12000,12000,12000,12000,120,2454000
51,VNR,HNX,21/03/2019,,12000,12000,12000,12000,0,0
52,VNR,HNX,22/03/2019,,12293,12293,12293,12293,400,8400000
53,VNR,HNX,25/03/2019,,11766,12293,11708,11708,3625,73127500
54,VNR,HNX,26/03/2019,,11708,11766,11708,11708,3350,67013000
55,VNR,HNX,27/03/2019,,11708,12293,11708,12293,4800,96300000
56,VNR,HNX,28/03/2019,,12293,12293,12293,12293,0,0
57,VNR,HNX,29/03/2019,,12352,12352,12352,12352,20000,422000000
58,VNR,HNX,01/04/2019,,12352,12352,12352,12352,100,2110000
59,VNR,HNX,02/04/2019,,12352,12352,12352,12352,0,0
60,VNR,HNX,03/04/2019,,12352,12352,12352,12352,0,0
61,VNR,HNX,04/04/2019,,12352,12352,12352,12352,0,0
62,VNR,HNX,05/04/2019,,12352,12352,12352,12352,200,4220000
63,VNR,HNX,08/04/2019,,12293,12293,11766,11766,800,16710000
64,VNR,HNX,09/04/2019,,12293,12293,12293,12293,100,2100000
65,VNR,HNX,10/04/2019,,12059,12293,12059,12293,600,12400000
66,VNR,HNX,11/04/2019,,12293,12352,12293,12352,1800,37810000
67,VNR,HNX,12/04/2019,,12352,12352,12352,12352,3300,69630000
68,VNR,HNX,16/04/2019,,12352,12352,12176,12176,600,12510000
69,VNR,HNX,17/04/2019,,12000,13171,12000,13171,5600,117580000
70,VNR,HNX,18/04/2019,,13171,13171,13171,13171,0,0
71,VNR,HNX,19/04/2019,,13171,13171,13171,13171,0,0
72,VNR,HNX,22/04/2019,,13171,13171,13171,13171,0,0
73,VNR,HNX,23/04/2019,,13171,13171,13171,13171,0,0
74,VNR,HNX,24/04/2019,,12293,12937,12293,12937,9200,193420000
75,VNR,HNX,25/04/2019,,12937,12937,12937,12937,0,0
76,VNR,HNX,26/04/2019,,12879,12879,12293,12293,2600,55000000
77,VNR,HNX,02/05/2019,,12352,12352,12293,12293,1000,21040000
78,VNR,HNX,03/05/2019,,12293,12293,12293,12293,2500,52500000
79,VNR,HNX,06/05/2019,,11766,12527,11766,12000,2170,44100000
80,VNR,HNX,07/05/2019,,12000,12879,12000,12879,200,4250000
81,VNR,HNX,08/05/2019,,12879,12879,12879,12879,0,0
82,VNR,HNX,09/05/2019,,12000,12000,12000,12000,140,2850000
83,VNR,HNX,10/05/2019,,12176,12176,12176,12176,200,4160000
84,VNR,HNX,13/05/2019,,12176,12176,12176,12176,400,8320000
85,VNR,HNX,14/05/2019,,12176,12176,12176,12176,800,16640000
86,VNR,HNX,15/05/2019,,12176,12293,12176,12176,21000,436900000
87,VNR,HNX,16/05/2019,,12176,12235,12176,12235,600,12490000
88,VNR,HNX,17/05/2019,,12352,12352,12352,12352,110,2317000
89,VNR,HNX,20/05/2019,,12352,12352,12352,12352,60,1252000
90,VNR,HNX,21/05/2019,,12410,12586,12293,12586,10500,222870000
91,VNR,HNX,22/05/2019,,12586,12586,12586,12586,110,2365000
92,VNR,HNX,23/05/2019,,12586,12761,12586,12761,1200,25830000
93,VNR,HNX,24/05/2019,,12469,12703,12293,12703,5500,115620000
94,VNR,HNX,27/05/2019,,12703,12703,12703,12703,0,0
95,VNR,HNX,28/05/2019,,12703,12703,12703,12703,200,4340000
96,VNR,HNX,29/05/2019,,12703,12703,12703,12703,0,0
97,VNR,HNX,30/05/2019,,12703,12703,12703,12703,0,0
98,VNR,HNX,31/05/2019,,12703,12703,12703,12703,0,0
99,VNR,HNX,03/06/2019,,12703,12703,12293,12293,2400,50680000
100,VNR,HNX,04/06/2019,,12293,12293,12293,12293,50,1005000
101,VNR,HNX,05/06/2019,,12293,12293,12293,12293,210,4410000
102,VNR,HNX,06/06/2019,,12293,12293,12293,12293,10,210000
103,VNR,HNX,07/06/2019,,12586,12586,12586,12586,100,2150000
104,VNR,HNX,10/06/2019,,12586,12586,12586,12586,100,2150000
105,VNR,HNX,11/06/2019,,12527,12586,12527,12586,600,12890000
106,VNR,HNX,12/06/2019,,12469,12469,12469,12469,500,10650000
107,VNR,HNX,13/06/2019,,12820,12820,12820,12820,300,6570000
108,VNR,HNX,14/06/2019,,12820,12820,12820,12820,0,0
109,VNR,HNX,17/06/2019,,12820,12879,12820,12879,610,13380000
110,VNR,HNX,18/06/2019,,12469,12469,12469,12469,200,4260000
111,VNR,HNX,19/06/2019,,12586,12586,12586,12586,600,12900000
112,VNR,HNX,20/06/2019,,12703,12703,12703,12703,1020,22000000
113,VNR,HNX,21/06/2019,,12820,12879,12820,12879,2600,57000000
114,VNR,HNX,24/06/2019,,12879,12879,12879,12879,6800,149600000
