,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VSM,HNX,02/01/2019,,6935,7706,6935,7706,400,4650000
1,VSM,HNX,03/01/2019,,6999,7706,6999,7706,200,2290000
2,VSM,HNX,04/01/2019,,7128,7128,7128,7128,100,1110000
3,VSM,HNX,07/01/2019,,6935,6935,6935,6935,100,1080000
4,VSM,HNX,08/01/2019,,7513,7513,7513,7513,100,1170000
5,VSM,HNX,09/01/2019,,7064,7064,7064,7064,100,1100000
6,VSM,HNX,10/01/2019,,7064,7064,7064,7064,0,0
7,VSM,HNX,11/01/2019,,7064,7064,7064,7064,0,0
8,VSM,HNX,14/01/2019,,7064,7064,7064,7064,0,0
9,VSM,HNX,15/01/2019,,7641,7641,7641,7641,100,1190000
10,VSM,HNX,16/01/2019,,6935,6935,6935,6935,100,1080000
11,VSM,HNX,17/01/2019,,6742,6742,6742,6742,100,1050000
12,VSM,HNX,18/01/2019,,6742,6742,6742,6742,0,0
13,VSM,HNX,21/01/2019,,6742,6742,6742,6742,0,0
14,VSM,HNX,22/01/2019,,6935,6935,6935,6935,100,1080000
15,VSM,HNX,23/01/2019,,6935,6935,6935,6935,0,0
16,VSM,HNX,24/01/2019,,6550,6678,6550,6678,5100,53020000
17,VSM,HNX,25/01/2019,,6678,7256,6678,7256,1000,10490000
18,VSM,HNX,28/01/2019,,6550,6550,6550,6550,100,1020000
19,VSM,HNX,29/01/2019,,6550,6550,6550,6550,0,0
20,VSM,HNX,30/01/2019,,6550,6550,6550,6550,0,0
21,VSM,HNX,31/01/2019,,6550,6550,6550,6550,0,0
22,VSM,HNX,01/02/2019,,6935,6935,6935,6935,100,1080000
23,VSM,HNX,11/02/2019,,7385,7385,7385,7385,100,1150000
24,VSM,HNX,12/02/2019,,6742,7577,6742,7577,200,2230000
25,VSM,HNX,13/02/2019,,6935,7064,6935,7064,400,4380000
26,VSM,HNX,14/02/2019,,7064,7641,7064,7641,400,4490000
27,VSM,HNX,15/02/2019,,7641,7641,7641,7641,0,0
28,VSM,HNX,18/02/2019,,6935,7064,6935,7064,300,3280000
29,VSM,HNX,19/02/2019,,7706,7706,7706,7706,100,1200000
30,VSM,HNX,20/02/2019,,6999,6999,6999,6999,100,1090000
31,VSM,HNX,21/02/2019,,6999,6999,6999,6999,0,0
32,VSM,HNX,22/02/2019,,6999,6999,6999,6999,0,0
33,VSM,HNX,25/02/2019,,6999,6999,6999,6999,0,0
34,VSM,HNX,26/02/2019,,6357,7641,6357,7641,300,3350000
35,VSM,HNX,27/02/2019,,6935,6935,6935,6935,100,1080000
36,VSM,HNX,28/02/2019,,6742,6935,6742,6935,3100,33450000
37,VSM,HNX,01/03/2019,,7449,7577,7449,7577,200,2340000
38,VSM,HNX,04/03/2019,,6935,6935,6935,6935,100,1080000
39,VSM,HNX,05/03/2019,,6678,6678,6678,6678,100,1040000
40,VSM,HNX,06/03/2019,,6550,6550,6550,6550,100,1020000
41,VSM,HNX,07/03/2019,,6036,7192,6036,7192,200,2060000
42,VSM,HNX,08/03/2019,,7192,7192,7192,7192,0,0
43,VSM,HNX,11/03/2019,,6550,6550,6550,6550,100,1020000
44,VSM,HNX,12/03/2019,,6999,7192,6999,7192,200,2210000
45,VSM,HNX,13/03/2019,,6550,6550,6550,6550,100,1020000
46,VSM,HNX,14/03/2019,,6421,6999,6421,6999,200,2090000
47,VSM,HNX,15/03/2019,,6421,7641,6421,7641,300,3310000
48,VSM,HNX,18/03/2019,,6935,6935,6935,6935,100,1080000
49,VSM,HNX,19/03/2019,,7385,7513,7385,7513,300,3480000
50,VSM,HNX,20/03/2019,,6807,6807,6807,6807,100,1060000
51,VSM,HNX,21/03/2019,,6807,6807,6807,6807,0,0
52,VSM,HNX,22/03/2019,,6742,6742,6742,6742,2000,21000000
53,VSM,HNX,25/03/2019,,6742,6742,6742,6742,3000,31500000
54,VSM,HNX,26/03/2019,,6935,6935,6935,6935,7000,75600000
55,VSM,HNX,27/03/2019,,6935,6935,6935,6935,0,0
56,VSM,HNX,28/03/2019,,6935,6935,6935,6935,0,0
57,VSM,HNX,29/03/2019,,6935,6935,6935,6935,0,0
58,VSM,HNX,01/04/2019,,6935,6935,6935,6935,0,0
59,VSM,HNX,02/04/2019,,6935,6935,6935,6935,0,0
60,VSM,HNX,03/04/2019,,6935,6935,6935,6935,0,0
61,VSM,HNX,04/04/2019,,6935,6935,6935,6935,0,0
62,VSM,HNX,05/04/2019,,6550,6550,6550,6550,100,1020000
63,VSM,HNX,08/04/2019,,6550,6550,6550,6550,0,0
64,VSM,HNX,09/04/2019,,6999,7192,6999,7192,200,2210000
65,VSM,HNX,10/04/2019,,6678,6678,6678,6678,100,1040000
