,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VTZ,HNX,25/11/2021,,12957,12957,12957,12957,100,1490000
1,VTZ,HNX,26/11/2021,,14174,14174,14174,14174,100,1630000
2,VTZ,HNX,29/11/2021,,15566,15566,15479,15566,1110100,19870340000
3,VTZ,HNX,30/11/2021,,17044,17044,14783,14783,421800,8119530000
4,VTZ,HNX,01/12/2021,,15218,15218,13479,14783,16700,278920000
5,VTZ,HNX,02/12/2021,,13305,14348,13305,13305,96600,1480600000
6,VTZ,HNX,03/12/2021,,12000,12000,12000,12000,59100,815580000
7,VTZ,HNX,06/12/2021,,10870,11740,10870,10870,596300,7498330000
8,VTZ,HNX,07/12/2021,,10870,11827,10870,11740,58000,769850000
9,VTZ,HNX,08/12/2021,,12174,12783,12174,12435,138100,1991510000
10,VTZ,HNX,09/12/2021,,12174,12174,11218,11566,244100,3180060000
11,VTZ,HNX,10/12/2021,,11392,11740,10870,11479,65800,856080000
12,VTZ,HNX,13/12/2021,,11566,11740,10957,11218,93100,1193900000
13,VTZ,HNX,14/12/2021,,11305,11479,10957,11218,154400,1975560000
14,VTZ,HNX,15/12/2021,,11131,11218,10957,11218,120400,1525690000
15,VTZ,HNX,16/12/2021,,11218,11218,10783,11131,112000,1412050000
16,VTZ,HNX,17/12/2021,,11131,11131,10696,11044,92200,1146780000
17,VTZ,HNX,20/12/2021,,11044,11044,10348,10609,45400,554720000
18,VTZ,HNX,21/12/2021,,10522,10957,10435,10957,77800,954230000
19,VTZ,HNX,22/12/2021,,11131,11305,10522,10609,82400,1008380000
20,VTZ,HNX,23/12/2021,,10957,10957,10435,10696,56600,690410000
21,VTZ,HNX,24/12/2021,,10435,10783,10435,10609,58000,699800000
22,VTZ,HNX,27/12/2021,,10609,10696,10348,10348,98700,1185700000
23,VTZ,HNX,28/12/2021,,10609,10609,10261,10609,163500,1956750000
24,VTZ,HNX,29/12/2021,,10609,10870,10435,10696,36400,441750000
25,VTZ,HNX,30/12/2021,,10696,10783,10435,10696,40600,489070000
26,VTZ,HNX,31/12/2021,,10609,10609,10435,10435,25000,301040000
27,VTZ,HNX,04/01/2022,,10348,10609,10261,10609,181800,2176580
28,VTZ,HNX,05/01/2022,,10696,11131,10696,10783,88300,1104110
29,VTZ,HNX,06/01/2022,,10783,10783,10435,10435,92400,1115290
30,VTZ,HNX,07/01/2022,,10609,10609,10348,10609,120200,1442870
31,VTZ,HNX,10/01/2022,,10522,11131,10522,10522,209100,2621070
32,VTZ,HNX,11/01/2022,,10783,10870,10522,10696,137088,1666993.60
33,VTZ,HNX,12/01/2022,,10783,11131,10261,10435,1965012,21892393.20
34,VTZ,HNX,13/01/2022,,10435,10609,10261,10435,64400,768990
35,VTZ,HNX,14/01/2022,,10435,10435,10261,10435,47200,563850
36,VTZ,HNX,17/01/2022,,10435,10522,10261,10348,69000,818320
37,VTZ,HNX,18/01/2022,,10348,10435,10174,10174,37200,442810
38,VTZ,HNX,19/01/2022,,9740,10261,9740,10087,33700,392780
