,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,WCS,HNX,02/01/2019,,79270,79270,79270,79270,800,106400000
1,WCS,HNX,03/01/2019,,72476,77482,72476,77482,200,25160000
2,WCS,HNX,04/01/2019,,75158,75158,75158,75158,140,17800000
3,WCS,HNX,07/01/2019,,81654,81654,81654,81654,100,13700000
4,WCS,HNX,08/01/2019,,73489,73489,73489,73489,100,12330000
5,WCS,HNX,09/01/2019,,73489,73489,73489,73489,0,0
6,WCS,HNX,10/01/2019,,74919,79807,74800,79807,500,63620000
7,WCS,HNX,11/01/2019,,71880,71880,71880,71880,110,13389000
8,WCS,HNX,14/01/2019,,71880,71880,71880,71880,0,0
9,WCS,HNX,15/01/2019,,78317,78317,78078,78078,400,52440000
10,WCS,HNX,16/01/2019,,81535,81535,81535,81535,200,27360000
11,WCS,HNX,17/01/2019,,80462,80462,80462,80462,100,13500000
12,WCS,HNX,18/01/2019,,74264,76350,74264,76290,600,76490000
13,WCS,HNX,21/01/2019,,76648,78674,76290,78674,1200,154440000
14,WCS,HNX,22/01/2019,,78674,78674,78674,78674,100,13200000
15,WCS,HNX,23/01/2019,,78674,78674,78674,78674,10,1300000
16,WCS,HNX,24/01/2019,,78674,78674,78674,78674,30,3900000
17,WCS,HNX,25/01/2019,,77184,77184,76886,76886,650,83924000
18,WCS,HNX,28/01/2019,,78078,78078,78078,78078,200,26200000
19,WCS,HNX,29/01/2019,,78078,78078,78078,78078,0,0
20,WCS,HNX,30/01/2019,,77482,77482,77482,77482,700,91000000
21,WCS,HNX,31/01/2019,,77482,77482,77482,77482,0,0
22,WCS,HNX,01/02/2019,,77482,77482,77482,77482,0,0
23,WCS,HNX,11/02/2019,,77482,77482,77482,77482,12,1553000
24,WCS,HNX,12/02/2019,,78078,78972,76946,76946,4202,548816000
25,WCS,HNX,13/02/2019,,77005,77005,76946,76946,1000,129140000
26,WCS,HNX,14/02/2019,,76946,76946,76946,76946,12,1620000
27,WCS,HNX,15/02/2019,,78674,79568,78674,79568,220,29210000
28,WCS,HNX,18/02/2019,,78078,78078,77363,77363,727,94850000
29,WCS,HNX,19/02/2019,,77482,77482,77363,77363,1400,181880000
30,WCS,HNX,20/02/2019,,77482,77482,77363,77363,7011,910182700
31,WCS,HNX,21/02/2019,,77363,77363,77363,77363,0,0
32,WCS,HNX,22/02/2019,,77363,77363,77363,77363,0,0
33,WCS,HNX,25/02/2019,,77363,77363,77363,77363,0,0
34,WCS,HNX,26/02/2019,,79866,79866,79866,79866,200,26800000
35,WCS,HNX,27/02/2019,,79270,79270,79270,79270,100,13300000
36,WCS,HNX,28/02/2019,,78376,78376,78197,78197,800,104990000
37,WCS,HNX,01/03/2019,,78257,78257,78257,78257,200,26260000
38,WCS,HNX,04/03/2019,,78257,78257,78197,78197,1300,170640000
39,WCS,HNX,05/03/2019,,78197,78197,78197,78197,0,0
40,WCS,HNX,06/03/2019,,78257,78257,78257,78257,100,13130000
41,WCS,HNX,07/03/2019,,78257,78257,78257,78257,0,0
42,WCS,HNX,08/03/2019,,80462,80462,80462,80462,800,108000000
43,WCS,HNX,11/03/2019,,80462,80462,80462,80462,100,13500000
44,WCS,HNX,12/03/2019,,81058,81058,81058,81058,500,68000000
45,WCS,HNX,13/03/2019,,85826,88806,85826,88210,1100,161300000
46,WCS,HNX,14/03/2019,,79389,95363,79389,95363,1900,294450000
47,WCS,HNX,15/03/2019,,85826,95363,85826,95363,300,46400000
48,WCS,HNX,18/03/2019,,94171,95303,94171,95303,1000,159060000
49,WCS,HNX,19/03/2019,,95303,95303,95303,95303,205,32700000
50,WCS,HNX,20/03/2019,,95303,95303,95303,95303,0,0
51,WCS,HNX,21/03/2019,,93575,93575,93575,93575,300,47100000
52,WCS,HNX,22/03/2019,,93575,93575,93575,93575,0,0
53,WCS,HNX,25/03/2019,,93575,93575,93575,93575,0,0
54,WCS,HNX,26/03/2019,,86422,86422,86422,86422,107,15515000
55,WCS,HNX,27/03/2019,,86422,86422,86422,86422,0,0
56,WCS,HNX,28/03/2019,,77780,77780,77780,77780,110,14410000
57,WCS,HNX,29/03/2019,,85528,85528,85528,85528,1804,258872000
58,WCS,HNX,01/04/2019,,79866,89402,79866,89402,504,73926400
59,WCS,HNX,02/04/2019,,80462,94469,80462,94469,1556,239898000
60,WCS,HNX,03/04/2019,,86422,90058,86422,90058,201,29755000
61,WCS,HNX,04/04/2019,,82250,82250,82250,82250,102,14126000
62,WCS,HNX,05/04/2019,,83502,90416,83442,90297,1800,270430000
