,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,WSS,HNX,02/01/2019,,2900,2900,2800,2800,1100,3090000
1,WSS,HNX,03/01/2019,,2700,2900,2700,2900,32700,92510000
2,WSS,HNX,04/01/2019,,2800,3000,2700,3000,114900,326170000
3,WSS,HNX,07/01/2019,,2800,2900,2800,2900,9100,26380000
4,WSS,HNX,08/01/2019,,2800,2900,2800,2900,29200,84660000
5,WSS,HNX,09/01/2019,,2900,2900,2900,2900,5800,16820000
6,WSS,HNX,10/01/2019,,2900,2900,2800,2800,4800,13810000
7,WSS,HNX,11/01/2019,,2700,2900,2700,2800,10300,29730000
8,WSS,HNX,14/01/2019,,2800,2800,2800,2800,1000,2800000
9,WSS,HNX,15/01/2019,,2700,2800,2700,2800,200,550000
10,WSS,HNX,16/01/2019,,2800,2800,2800,2800,1400,3920000
11,WSS,HNX,17/01/2019,,2800,2800,2800,2800,100,280000
12,WSS,HNX,18/01/2019,,2800,2900,2800,2800,8200,23760000
13,WSS,HNX,21/01/2019,,2900,2900,2800,2800,7600,22030000
14,WSS,HNX,22/01/2019,,2800,2800,2800,2800,100,280000
15,WSS,HNX,23/01/2019,,2800,3000,2800,3000,47000,139990000
16,WSS,HNX,24/01/2019,,3000,3000,2900,2900,500,1490000
17,WSS,HNX,25/01/2019,,3000,3000,2900,2900,1100,3290000
18,WSS,HNX,28/01/2019,,3000,3000,2900,2900,5100,14800000
19,WSS,HNX,29/01/2019,,2900,2900,2800,2900,6400,18540000
20,WSS,HNX,30/01/2019,,2900,2900,2900,2900,0,0
21,WSS,HNX,31/01/2019,,2900,2900,2900,2900,1100,3190000
22,WSS,HNX,01/02/2019,,2700,3000,2700,2800,300,850000
23,WSS,HNX,11/02/2019,,2800,2800,2800,2800,1100,3080000
24,WSS,HNX,12/02/2019,,2800,2900,2800,2900,1400,4050000
25,WSS,HNX,13/02/2019,,2900,2900,2800,2800,1400,4050000
26,WSS,HNX,14/02/2019,,2900,2900,2800,2800,1100,3180000
27,WSS,HNX,15/02/2019,,2800,2800,2800,2800,4100,11480000
28,WSS,HNX,18/02/2019,,2900,2900,2800,2800,800,2300000
29,WSS,HNX,19/02/2019,,2900,2900,2800,2800,6600,19130000
30,WSS,HNX,20/02/2019,,2900,2900,2800,2800,900,2600000
31,WSS,HNX,21/02/2019,,2900,2900,2800,2800,5300,15320000
32,WSS,HNX,22/02/2019,,2900,3000,2800,2900,17200,51540000
33,WSS,HNX,25/02/2019,,3000,3000,2900,2900,10100,30290000
34,WSS,HNX,26/02/2019,,2900,3000,2800,2800,3100,9130000
35,WSS,HNX,27/02/2019,,3000,3000,2800,2800,10100,29990000
36,WSS,HNX,28/02/2019,,2900,3000,2800,2900,9300,27800000
37,WSS,HNX,01/03/2019,,3000,3100,2800,2900,17400,53720000
38,WSS,HNX,04/03/2019,,3000,3100,2900,2900,10900,33680000
39,WSS,HNX,05/03/2019,,3000,3000,2900,2900,39800,119390000
40,WSS,HNX,06/03/2019,,3100,3100,2900,3000,16300,49970000
41,WSS,HNX,07/03/2019,,3100,3200,3100,3200,12900,41220000
42,WSS,HNX,08/03/2019,,3000,3100,3000,3100,1200,3710000
43,WSS,HNX,11/03/2019,,3000,3100,3000,3000,1100,3390000
44,WSS,HNX,12/03/2019,,3000,3100,3000,3000,21100,64700000
45,WSS,HNX,13/03/2019,,3100,3100,2900,2900,2200,6790000
46,WSS,HNX,14/03/2019,,3100,3100,3000,3000,5700,17620000
47,WSS,HNX,15/03/2019,,3100,3100,3100,3100,6200,19220000
48,WSS,HNX,18/03/2019,,2900,3200,2900,3100,600,1850000
49,WSS,HNX,19/03/2019,,3000,3200,3000,3000,600,1860000
50,WSS,HNX,20/03/2019,,3200,3200,3000,3000,400,1220000
51,WSS,HNX,21/03/2019,,3000,3000,3000,3000,100,300000
52,WSS,HNX,22/03/2019,,3000,3100,3000,3000,3300,9910000
53,WSS,HNX,25/03/2019,,3000,3300,2900,3000,44300,145470000
54,WSS,HNX,26/03/2019,,2900,2900,2900,2900,100,290000
55,WSS,HNX,27/03/2019,,3000,3100,2900,3100,14300,43310000
56,WSS,HNX,28/03/2019,,3100,3400,3100,3200,46600,156320000
57,WSS,HNX,29/03/2019,,3200,3400,3100,3300,27200,91830000
58,WSS,HNX,01/04/2019,,3200,3200,3200,3200,2000,6400000
59,WSS,HNX,02/04/2019,,3200,3200,3100,3200,4300,13750000
60,WSS,HNX,03/04/2019,,3200,3200,3100,3100,300,950000
61,WSS,HNX,04/04/2019,,3100,3100,3000,3000,200,610000
62,WSS,HNX,05/04/2019,,3100,3100,3000,3000,200,610000
63,WSS,HNX,08/04/2019,,3100,3100,3100,3100,900,2790000
64,WSS,HNX,09/04/2019,,3200,3200,3200,3200,43700,139840000
65,WSS,HNX,10/04/2019,,3100,3100,2900,3100,1100,3370000
66,WSS,HNX,11/04/2019,,3100,3200,3100,3200,20500,64100000
67,WSS,HNX,12/04/2019,,3200,3200,3200,3200,3700,11840000
68,WSS,HNX,16/04/2019,,3000,3200,3000,3200,200,620000
69,WSS,HNX,17/04/2019,,3200,3200,3200,3200,0,0
70,WSS,HNX,18/04/2019,,3100,3200,3100,3200,2100,6710000
71,WSS,HNX,19/04/2019,,3200,3200,3200,3200,13700,43840000
72,WSS,HNX,22/04/2019,,3200,3200,3200,3200,0,0
73,WSS,HNX,23/04/2019,,3200,3200,3100,3200,5900,18870000
74,WSS,HNX,24/04/2019,,3100,3100,3100,3100,1100,3410000
75,WSS,HNX,25/04/2019,,3100,3100,3000,3000,8200,25400000
76,WSS,HNX,26/04/2019,,3100,3100,3100,3100,3200,9920000
77,WSS,HNX,02/05/2019,,3100,3100,3100,3100,0,0
78,WSS,HNX,03/05/2019,,3100,3100,3100,3100,0,0
79,WSS,HNX,06/05/2019,,3100,3100,3100,3100,4400,13640000
80,WSS,HNX,07/05/2019,,3100,3100,3100,3100,3000,9300000
81,WSS,HNX,08/05/2019,,3100,3100,3100,3100,0,0
82,WSS,HNX,09/05/2019,,3000,3000,3000,3000,400,1200000
83,WSS,HNX,10/05/2019,,3000,3000,3000,3000,0,0
84,WSS,HNX,13/05/2019,,3000,3000,3000,3000,0,0
85,WSS,HNX,14/05/2019,,3000,3000,3000,3000,0,0
86,WSS,HNX,15/05/2019,,3000,3000,3000,3000,0,0
87,WSS,HNX,16/05/2019,,3000,3000,3000,3000,0,0
88,WSS,HNX,17/05/2019,,3000,3000,3000,3000,0,0
89,WSS,HNX,20/05/2019,,3000,3000,3000,3000,100,300000
90,WSS,HNX,21/05/2019,,3000,3000,3000,3000,0,0
91,WSS,HNX,22/05/2019,,3000,3000,3000,3000,100,300000
92,WSS,HNX,23/05/2019,,3000,3000,3000,3000,100,300000
93,WSS,HNX,24/05/2019,,3000,3000,3000,3000,0,0
94,WSS,HNX,27/05/2019,,3000,3000,3000,3000,0,0
95,WSS,HNX,28/05/2019,,2700,2700,2700,2700,700,1890000
96,WSS,HNX,29/05/2019,,2800,2800,2700,2800,3600,10070000
97,WSS,HNX,30/05/2019,,2800,2800,2800,2800,0,0
98,WSS,HNX,31/05/2019,,2900,2900,2800,2800,2000,5700000
99,WSS,HNX,03/06/2019,,2900,2900,2700,2700,31200,90440000
100,WSS,HNX,04/06/2019,,2700,2700,2700,2700,0,0
101,WSS,HNX,05/06/2019,,2500,2500,2500,2500,100,250000
102,WSS,HNX,06/06/2019,,2500,2600,2500,2600,2000,5100000
103,WSS,HNX,07/06/2019,,2800,2800,2800,2800,100,280000
104,WSS,HNX,10/06/2019,,2800,2800,2800,2800,0,0
105,WSS,HNX,11/06/2019,,2800,3000,2800,2800,3200,9480000
106,WSS,HNX,12/06/2019,,2800,2800,2800,2800,0,0
107,WSS,HNX,13/06/2019,,2800,2800,2800,2800,200,560000
108,WSS,HNX,14/06/2019,,2600,3000,2600,3000,800,2240000
109,WSS,HNX,17/06/2019,,3300,3300,3300,3300,100,330000
110,WSS,HNX,18/06/2019,,3300,3300,3300,3300,0,0
111,WSS,HNX,19/06/2019,,3300,3300,3300,3300,0,0
112,WSS,HNX,20/06/2019,,3300,3300,3300,3300,0,0
113,WSS,HNX,21/06/2019,,3300,3300,3300,3300,0,0
114,WSS,HNX,24/06/2019,,3300,3300,3300,3300,0,0
115,WSS,HNX,25/06/2019,,3300,3300,3300,3300,0,0
116,WSS,HNX,26/06/2019,,3000,3000,3000,3000,4000,12000000
117,WSS,HNX,27/06/2019,,2800,2800,2800,2800,1300,3640000
118,WSS,HNX,28/06/2019,,2800,2800,2600,2700,2000,5290000
119,WSS,HNX,01/07/2019,,2500,2900,2500,2900,200,540000
120,WSS,HNX,02/07/2019,,2700,2700,2700,2700,800,2160000
121,WSS,HNX,03/07/2019,,2700,2700,2700,2700,0,0
122,WSS,HNX,04/07/2019,,2500,2500,2500,2500,100,250000
123,WSS,HNX,05/07/2019,,2700,2700,2700,2700,300,810000
124,WSS,HNX,08/07/2019,,2800,2800,2800,2800,3000,8400000
125,WSS,HNX,09/07/2019,,2800,2800,2800,2800,0,0
126,WSS,HNX,10/07/2019,,2600,2600,2600,2600,2700,7020000
127,WSS,HNX,11/07/2019,,2500,2500,2500,2500,300,750000
128,WSS,HNX,12/07/2019,,2700,2700,2700,2700,5600,15120000
129,WSS,HNX,15/07/2019,,2700,2700,2700,2700,0,0
130,WSS,HNX,16/07/2019,,2700,2700,2700,2700,0,0
131,WSS,HNX,17/07/2019,,2700,2700,2700,2700,0,0
132,WSS,HNX,18/07/2019,,2700,2700,2700,2700,0,0
133,WSS,HNX,19/07/2019,,2700,2700,2700,2700,0,0
134,WSS,HNX,22/07/2019,,2700,2700,2700,2700,0,0
135,WSS,HNX,23/07/2019,,2700,2700,2700,2700,0,0
136,WSS,HNX,24/07/2019,,2700,2700,2700,2700,0,0
137,WSS,HNX,25/07/2019,,2700,2700,2700,2700,0,0
138,WSS,HNX,26/07/2019,,2700,2700,2700,2700,0,0
139,WSS,HNX,29/07/2019,,2700,2700,2700,2700,0,0
140,WSS,HNX,30/07/2019,,2700,2700,2700,2700,0,0
141,WSS,HNX,31/07/2019,,2700,2700,2700,2700,0,0
142,WSS,HNX,01/08/2019,,2700,2700,2700,2700,0,0
143,WSS,HNX,02/08/2019,,2700,2700,2700,2700,0,0
144,WSS,HNX,05/08/2019,,2500,2500,2500,2500,100,250000
145,WSS,HNX,06/08/2019,,2500,2500,2500,2500,0,0
146,WSS,HNX,07/08/2019,,2500,2500,2500,2500,0,0
147,WSS,HNX,08/08/2019,,2400,2400,2400,2400,600,1440000
148,WSS,HNX,09/08/2019,,2400,2400,2400,2400,0,0
149,WSS,HNX,12/08/2019,,2400,2400,2400,2400,0,0
150,WSS,HNX,13/08/2019,,2400,2400,2400,2400,0,0
151,WSS,HNX,14/08/2019,,2400,2400,2400,2400,0,0
152,WSS,HNX,15/08/2019,,2400,2400,2400,2400,0,0
153,WSS,HNX,16/08/2019,,2400,2400,2400,2400,0,0
154,WSS,HNX,19/08/2019,,2400,2400,2400,2400,0,0
155,WSS,HNX,20/08/2019,,2400,2400,2400,2400,0,0
156,WSS,HNX,21/08/2019,,2500,2500,2500,2500,200,500000
157,WSS,HNX,22/08/2019,,2500,2500,2500,2500,0,0
158,WSS,HNX,23/08/2019,,2500,2500,2500,2500,0,0
159,WSS,HNX,26/08/2019,,2500,2500,2500,2500,0,0
160,WSS,HNX,27/08/2019,,2500,2500,2500,2500,0,0
161,WSS,HNX,28/08/2019,,2500,2500,2300,2300,200,480000
162,WSS,HNX,29/08/2019,,2200,2200,2100,2100,12600,26490000
163,WSS,HNX,30/08/2019,,2200,2200,2100,2100,0,0
164,WSS,HNX,03/09/2019,,2200,2200,2100,2100,0,0
165,WSS,HNX,04/09/2019,,2000,2000,1900,1900,200,390000
166,WSS,HNX,05/09/2019,,2000,2000,1900,1900,1600,3050000
167,WSS,HNX,06/09/2019,,1900,1900,1900,1900,1000,1900000
168,WSS,HNX,09/09/2019,,2000,2000,2000,2000,1000,2000000
169,WSS,HNX,10/09/2019,,2000,2000,1800,1800,300,570000
170,WSS,HNX,11/09/2019,,2000,2000,1800,1800,0,0
171,WSS,HNX,12/09/2019,,2000,2000,1800,1800,0,0
172,WSS,HNX,13/09/2019,,1800,1800,1700,1700,200,350000
173,WSS,HNX,16/09/2019,,1600,1600,1600,1600,100,160000
174,WSS,HNX,17/09/2019,,1600,1600,1600,1600,0,0
175,WSS,HNX,18/09/2019,,1700,1700,1700,1700,100,170000
176,WSS,HNX,19/09/2019,,1700,1700,1700,1700,0,0
177,WSS,HNX,20/09/2019,,1800,1800,1800,1800,900,1620000
178,WSS,HNX,23/09/2019,,1900,1900,1900,1900,800,1520000
179,WSS,HNX,24/09/2019,,1800,2000,1800,2000,5400,9800000
180,WSS,HNX,25/09/2019,,2200,2200,2200,2200,6600,14520000
181,WSS,HNX,26/09/2019,,2000,2000,2000,2000,500,1000000
182,WSS,HNX,27/09/2019,,2000,2000,2000,2000,0,0
183,WSS,HNX,30/09/2019,,2000,2000,1900,1900,2300,4590000
184,WSS,HNX,01/10/2019,,1800,1800,1800,1800,1400,2520000
185,WSS,HNX,02/10/2019,,1800,1800,1800,1800,5200,9360000
186,WSS,HNX,03/10/2019,,1800,1800,1800,1800,0,0
187,WSS,HNX,04/10/2019,,1900,1900,1900,1900,200,380000
188,WSS,HNX,07/10/2019,,2000,2000,2000,2000,200,400000
189,WSS,HNX,08/10/2019,,2200,2200,1900,2100,7500,15200000
190,WSS,HNX,09/10/2019,,1900,1900,1900,1900,100,190000
191,WSS,HNX,10/10/2019,,1900,1900,1900,1900,0,0
192,WSS,HNX,11/10/2019,,1900,1900,1900,1900,0,0
