,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,AAM,HOSE,04/01/2010,,8664,8848,8664,8848,161260,5423000000
1,AAM,HOSE,05/01/2010,,9268,9268,8664,9058,197140,6925000000
2,AAM,HOSE,06/01/2010,,8822,9137,8743,8927,114920,3902000000
3,AAM,HOSE,07/01/2010,,9163,9373,9163,9373,292740,10415000000
4,AAM,HOSE,08/01/2010,,9820,9820,9373,9373,587420,21881000000
5,AAM,HOSE,11/01/2010,,9373,9478,9189,9321,184670,6562000000
6,AAM,HOSE,12/01/2010,,9321,9373,8927,8927,131620,4621000000
7,AAM,HOSE,13/01/2010,,8927,9058,8481,8927,231820,7742000000
8,AAM,HOSE,14/01/2010,,8927,9111,8664,9006,71960,2461000000
9,AAM,HOSE,15/01/2010,,9137,9137,8769,9058,187690,6433000000
10,AAM,HOSE,18/01/2010,,8979,8979,8612,8612,135250,4453000000
11,AAM,HOSE,19/01/2010,,8481,9006,8481,8901,78080,2626000000
12,AAM,HOSE,20/01/2010,,8664,8927,8664,8691,41500,1379000000
13,AAM,HOSE,21/01/2010,,8454,8691,8454,8481,119630,3888000000
14,AAM,HOSE,22/01/2010,,8271,8612,8271,8481,50420,1620000000
15,AAM,HOSE,25/01/2010,,8481,8664,8402,8559,19960,649000000
16,AAM,HOSE,26/01/2010,,8901,8901,8796,8901,132960,4502000000
17,AAM,HOSE,27/01/2010,,8901,8901,8612,8874,80350,2687000000
18,AAM,HOSE,28/01/2010,,8874,8874,8533,8769,54510,1800000000
19,AAM,HOSE,29/01/2010,,8822,8822,8454,8533,11760,384000000
20,AAM,HOSE,01/02/2010,,8822,8822,8612,8664,43470,1435000000
21,AAM,HOSE,02/02/2010,,8664,8796,8664,8796,58440,1942000000
22,AAM,HOSE,03/02/2010,,8691,8796,8664,8796,36080,1195000000
23,AAM,HOSE,04/02/2010,,8874,8874,8664,8822,28130,943000000
24,AAM,HOSE,05/02/2010,,8691,8691,8454,8454,69600,2277000000
25,AAM,HOSE,08/02/2010,,8454,8664,8454,8664,27300,893000000
26,AAM,HOSE,09/02/2010,,8664,8664,8428,8428,27190,875000000
27,AAM,HOSE,10/02/2010,,8664,8769,8533,8638,23250,767000000
28,AAM,HOSE,11/02/2010,,8638,8664,8638,8664,26120,862000000
29,AAM,HOSE,12/02/2010,,8664,8874,8638,8691,78490,2597000000
30,AAM,HOSE,22/02/2010,,8796,8953,8691,8796,28190,946000000
31,AAM,HOSE,23/02/2010,,8428,8691,8428,8533,16340,531000000
32,AAM,HOSE,24/02/2010,,8769,8769,8507,8533,4660,152000000
33,AAM,HOSE,25/02/2010,,8796,8796,8507,8559,5280,173000000
34,AAM,HOSE,26/02/2010,,8454,8559,8454,8559,7210,234000000
35,AAM,HOSE,01/03/2010,,8559,8664,8559,8612,11760,385000000
36,AAM,HOSE,02/03/2010,,8717,8717,8533,8638,18320,599000000
37,AAM,HOSE,03/03/2010,,8717,8717,8507,8717,35390,1167000000
38,AAM,HOSE,04/03/2010,,8796,8796,8664,8717,80200,2661000000
39,AAM,HOSE,05/03/2010,,8612,8743,8612,8717,34200,1130000000
40,AAM,HOSE,08/03/2010,,8717,9058,8717,9058,144360,4918000000
41,AAM,HOSE,09/03/2010,,9321,9505,9216,9505,494830,17778000000
42,AAM,HOSE,10/03/2010,,9820,9820,9583,9688,209930,7780000000
43,AAM,HOSE,11/03/2010,,9583,9688,9452,9583,71390,2596000000
44,AAM,HOSE,12/03/2010,,9688,9688,9452,9662,325040,11787000000
45,AAM,HOSE,15/03/2010,,9531,9767,9531,9531,277040,10192000000
46,AAM,HOSE,16/03/2010,,9531,9531,9216,9268,103060,3664000000
47,AAM,HOSE,17/03/2010,,9268,9268,9137,9189,83340,2927000000
48,AAM,HOSE,18/03/2010,,9111,9321,9084,9321,136470,4771000000
49,AAM,HOSE,19/03/2010,,9189,9321,9163,9189,150950,5290000000
50,AAM,HOSE,22/03/2010,,9189,9294,9163,9163,71250,2494000000
51,AAM,HOSE,23/03/2010,,8927,9111,8927,8927,179150,6124000000
52,AAM,HOSE,24/03/2010,,9189,9189,8901,9058,37630,1286000000
53,AAM,HOSE,25/03/2010,,8927,8927,8769,8796,128310,4305000000
54,AAM,HOSE,26/03/2010,,8927,8927,8533,8769,58850,1961000000
55,AAM,HOSE,29/03/2010,,8927,8927,8664,8927,62700,2097000000
56,AAM,HOSE,30/03/2010,,9111,9111,8664,8796,36810,1242000000
57,AAM,HOSE,31/03/2010,,8901,8901,8769,8769,92000,3088000000
58,AAM,HOSE,01/04/2010,,8769,9084,8664,8769,93070,3100000000
59,AAM,HOSE,02/04/2010,,8901,8901,8743,8743,9700,325000000
60,AAM,HOSE,05/04/2010,,8874,8874,8717,8743,36150,1210000000
61,AAM,HOSE,06/04/2010,,8717,8743,8717,8743,75640,2517000000
62,AAM,HOSE,07/04/2010,,9058,9058,8743,8822,228050,7701000000
63,AAM,HOSE,08/04/2010,,8822,9006,8822,8901,154180,5204000000
64,AAM,HOSE,09/04/2010,,8927,9006,8927,8979,56330,1922000000
65,AAM,HOSE,12/04/2010,,9058,9058,8927,8927,57620,1972000000
66,AAM,HOSE,13/04/2010,,8927,8927,8796,8848,39770,1343000000
67,AAM,HOSE,14/04/2010,,8903,9068,8821,8903,85290,2776000000
68,AAM,HOSE,15/04/2010,,8876,8958,8793,8821,54750,1769000000
69,AAM,HOSE,16/04/2010,,8985,8985,8821,8848,71580,2320000000
