,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ABS,HOSE,18/03/2020,,9246,9246,9246,9246,9690,125000000
1,ABS,HOSE,19/03/2020,,9889,9889,9889,9889,12840,178000000
2,ABS,HOSE,20/03/2020,,10567,10567,10567,10567,10080,149000000
3,ABS,HOSE,23/03/2020,,11281,11281,11281,11281,8110,128000000
4,ABS,HOSE,24/03/2020,,12066,12066,12066,12066,210860,3564000000
5,ABS,HOSE,25/03/2020,,12887,12887,12887,12887,124850,2254000000
6,ABS,HOSE,26/03/2020,,13780,13780,13708,13780,198820,3835000000
7,ABS,HOSE,27/03/2020,,14744,14744,14744,14744,91940,1899000000
8,ABS,HOSE,30/03/2020,,15743,15743,15743,15743,96540,2129000000
9,ABS,HOSE,31/03/2020,,16814,16814,16743,16814,211060,4968000000
10,ABS,HOSE,01/04/2020,,17957,17957,17957,17957,99250,2496000000
11,ABS,HOSE,03/04/2020,,19206,19206,19206,19206,108670,2923000000
12,ABS,HOSE,06/04/2020,,20527,20527,20527,20527,98590,2834000000
13,ABS,HOSE,07/04/2020,,21955,21955,21955,21955,67880,2087000000
14,ABS,HOSE,08/04/2020,,23490,23490,23490,23490,89030,2929000000
15,ABS,HOSE,09/04/2020,,25132,25132,25132,25132,65630,2310000000
16,ABS,HOSE,10/04/2020,,26881,26881,23383,23383,311640,11049000000
17,ABS,HOSE,13/04/2020,,21848,21848,21776,21776,23580,721000000
18,ABS,HOSE,14/04/2020,,20277,20277,20277,20277,2390,68000000
19,ABS,HOSE,15/04/2020,,18885,18885,18885,18885,2760,73000000
20,ABS,HOSE,16/04/2020,,17564,17564,17564,17564,1810,45000000
21,ABS,HOSE,17/04/2020,,17564,17564,16350,17564,5300,121000000
22,ABS,HOSE,20/04/2020,,15208,15208,15208,15208,2090,45000000
23,ABS,HOSE,21/04/2020,,14173,14173,14173,14173,480,10000000
24,ABS,HOSE,22/04/2020,,13209,13209,13209,13209,5910,109000000
25,ABS,HOSE,23/04/2020,,12316,12316,12316,12316,5730,99000000
