,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ACB,HNX,04/01/2010,,5285,5656,5256,5656,2765900,107187580000
1,ACB,HNX,05/01/2010,,5785,5899,5613,5656,1929200,77955350000
2,ACB,HNX,06/01/2010,,5642,5713,5499,5499,1303300,50584310000
3,ACB,HNX,07/01/2010,,5628,5656,5471,5499,1342000,52113450000
4,ACB,HNX,08/01/2010,,5513,5713,5413,5456,1461300,56722680000
5,ACB,HNX,11/01/2010,,5513,5513,5399,5428,786800,29910480000
6,ACB,HNX,12/01/2010,,5428,5428,5256,5285,1111200,41416200000
7,ACB,HNX,13/01/2010,,5285,5513,5185,5371,1390700,52166120000
8,ACB,HNX,14/01/2010,,5442,5456,5285,5371,679500,25625560000
9,ACB,HNX,15/01/2010,,5356,5385,5256,5285,383800,14216970000
10,ACB,HNX,18/01/2010,,5356,5356,5085,5128,872900,31473900000
11,ACB,HNX,19/01/2010,,5142,5214,5099,5171,570500,20644070000
12,ACB,HNX,20/01/2010,,5214,5214,5071,5099,386300,13825600000
13,ACB,HNX,21/01/2010,,5071,5171,4971,4985,1456200,51366030000
14,ACB,HNX,22/01/2010,,4985,5042,4956,5042,738100,25792320000
15,ACB,HNX,25/01/2010,,5014,5014,4956,5014,1375400,48059020000
16,ACB,HNX,26/01/2010,,5028,5214,5028,5214,908700,32757230000
17,ACB,HNX,27/01/2010,,5271,5271,5042,5056,409900,14648760000
18,ACB,HNX,28/01/2010,,4999,5099,4985,5014,812000,28478150000
19,ACB,HNX,29/01/2010,,4928,5042,4928,5014,1264800,44332560000
20,ACB,HNX,01/02/2010,,4971,5042,4956,5028,644100,22591600000
21,ACB,HNX,02/02/2010,,5056,5056,4985,5014,750200,26329990000
22,ACB,HNX,03/02/2010,,5014,5042,4999,5028,662000,23269400000
23,ACB,HNX,04/02/2010,,5014,5085,5014,5085,711400,25141810000
24,ACB,HNX,05/02/2010,,5014,5042,4985,4999,548700,19217230000
25,ACB,HNX,08/02/2010,,4999,5114,4956,5085,686500,24252630000
26,ACB,HNX,09/02/2010,,5056,5071,4985,4999,393300,13806350000
27,ACB,HNX,10/02/2010,,5028,5028,4999,5014,359100,12591070000
28,ACB,HNX,11/02/2010,,5042,5185,4999,5128,658300,23524500000
29,ACB,HNX,12/02/2010,,5142,5171,5099,5128,430500,15480730000
30,ACB,HNX,22/02/2010,,5214,5256,5142,5214,392200,14241840000
31,ACB,HNX,23/02/2010,,5156,5171,5071,5099,218700,7807900000
32,ACB,HNX,24/02/2010,,4856,5114,4856,5099,447900,15862520000
33,ACB,HNX,25/02/2010,,5114,5128,5028,5056,453700,16068360000
34,ACB,HNX,26/02/2010,,5056,5214,5056,5214,1240500,44913440000
35,ACB,HNX,01/03/2010,,5285,5328,5214,5313,872400,32334730000
36,ACB,HNX,02/03/2010,,5428,5428,5228,5256,913700,33707070000
37,ACB,HNX,03/03/2010,,5242,5356,5242,5328,857900,31848140000
38,ACB,HNX,04/03/2010,,5478,5493,5284,5299,831700,29674860000
39,ACB,HNX,05/03/2010,,5314,5314,5269,5299,589400,20944200000
40,ACB,HNX,08/03/2010,,5329,5359,5284,5299,680200,24254800000
41,ACB,HNX,09/03/2010,,5314,5314,5225,5269,720800,25552420000
42,ACB,HNX,10/03/2010,,5299,5299,5225,5239,919900,32470590000
43,ACB,HNX,11/03/2010,,5284,5284,5210,5210,633600,22244910000
44,ACB,HNX,12/03/2010,,5239,5254,5210,5254,743100,26079280000
45,ACB,HNX,15/03/2010,,5284,5388,5210,5210,988300,35142180000
46,ACB,HNX,16/03/2010,,5329,5329,5195,5210,815800,28614890000
47,ACB,HNX,17/03/2010,,5210,5225,5180,5210,982200,34349960000
48,ACB,HNX,18/03/2010,,5239,5239,5195,5225,824500,28879450000
49,ACB,HNX,19/03/2010,,5239,5239,5195,5210,885400,30974860000
50,ACB,HNX,22/03/2010,,5195,5225,5135,5210,973800,34026730000
51,ACB,HNX,23/03/2010,,5210,5210,5150,5195,904400,31541350000
52,ACB,HNX,24/03/2010,,5195,5225,5135,5210,888300,31059140000
53,ACB,HNX,25/03/2010,,5210,5210,5165,5210,1398600,48806170000
54,ACB,HNX,26/03/2010,,5180,5195,5165,5180,1165900,40579670000
55,ACB,HNX,29/03/2010,,5195,5195,5165,5165,690200,24011380000
56,ACB,HNX,30/03/2010,,5165,5210,5076,5195,1187300,41111140000
57,ACB,HNX,31/03/2010,,5165,5165,5106,5106,597600,20625680000
58,ACB,HNX,01/04/2010,,5135,5210,5076,5195,696900,24156330000
59,ACB,HNX,02/04/2010,,5210,5210,5135,5165,522800,18178580000
60,ACB,HNX,05/04/2010,,5210,5210,5165,5180,362300,12613630000
61,ACB,HNX,06/04/2010,,5180,5195,5150,5180,513600,17837040000
62,ACB,HNX,07/04/2010,,5165,5180,5150,5150,366200,12692870000
63,ACB,HNX,08/04/2010,,5180,5195,5135,5165,453500,15709100000
64,ACB,HNX,09/04/2010,,5165,5165,5135,5150,797700,27601690000
65,ACB,HNX,12/04/2010,,5150,5165,5106,5120,729900,25181060000
66,ACB,HNX,13/04/2010,,5135,5135,5061,5076,652500,22344260000
67,ACB,HNX,14/04/2010,,5061,5091,4957,5001,917800,30835770000
68,ACB,HNX,15/04/2010,,5001,5061,5001,5061,775900,26290980000
69,ACB,HNX,16/04/2010,,5061,5106,5016,5046,654400,22186040000
70,ACB,HNX,19/04/2010,,5046,5046,4957,5001,724300,24236830000
71,ACB,HNX,20/04/2010,,4986,5001,4897,4942,775800,25659400000
72,ACB,HNX,21/04/2010,,4972,5016,4912,5001,721700,23993660000
73,ACB,HNX,22/04/2010,,5001,5254,4972,5135,982200,33529030000
74,ACB,HNX,26/04/2010,,5210,5210,5046,5061,518100,17677840000
75,ACB,HNX,27/04/2010,,5061,5061,5016,5046,324600,10989770000
76,ACB,HNX,28/04/2010,,5046,5061,4972,4986,706800,23691430000
77,ACB,HNX,29/04/2010,,5001,5031,4927,5031,1688600,56361310000
78,ACB,HNX,04/05/2010,,5046,5299,4986,5254,1551000,54354380000
79,ACB,HNX,05/05/2010,,5284,5314,5135,5165,503500,17554250000
80,ACB,HNX,06/05/2010,,5165,5195,5061,5120,497900,17159720000
81,ACB,HNX,07/05/2010,,5061,5061,5001,5046,761100,25665310000
82,ACB,HNX,10/05/2010,,4957,5001,4823,4972,1246200,41318730000
