,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ADS,HOSE,29/06/2016,,6243,6243,4717,4752,50200,727330000
1,ADS,HOSE,30/06/2016,,4752,5064,4509,5064,14000,196440000
2,ADS,HOSE,01/07/2016,,5064,5411,5064,5411,10650,163250000
3,ADS,HOSE,04/07/2016,,5653,5653,5064,5064,14350,212210000
4,ADS,HOSE,05/07/2016,,4856,5064,4717,4717,19760,269270000
5,ADS,HOSE,06/07/2016,,4509,4682,4405,4405,23650,304570000
6,ADS,HOSE,07/07/2016,,4162,4509,4127,4509,4650,55850000
7,ADS,HOSE,08/07/2016,,4405,4578,4231,4335,1100,13710000
8,ADS,HOSE,11/07/2016,,4093,4544,4093,4197,1640,20710000
9,ADS,HOSE,12/07/2016,,4370,4474,4370,4474,16540,213040000
10,ADS,HOSE,13/07/2016,,4648,4752,4648,4752,13590,184130000
11,ADS,HOSE,14/07/2016,,4786,4786,4752,4786,10960,151100000
12,ADS,HOSE,15/07/2016,,4786,4856,4786,4856,5350,74040000
13,ADS,HOSE,18/07/2016,,4856,4890,4821,4856,9880,138070000
14,ADS,HOSE,19/07/2016,,4856,4890,4856,4890,19900,279850000
15,ADS,HOSE,20/07/2016,,4856,4890,4613,4856,9500,133000000
16,ADS,HOSE,21/07/2016,,4856,4856,4578,4578,4910,67490000
17,ADS,HOSE,22/07/2016,,4509,4509,4509,4509,4110,53430000
18,ADS,HOSE,25/07/2016,,4509,4786,4509,4752,6610,89140000
19,ADS,HOSE,26/07/2016,,4613,4856,4613,4752,31050,427730000
20,ADS,HOSE,27/07/2016,,4752,4821,4752,4821,3320,46000000
21,ADS,HOSE,28/07/2016,,4752,4890,4752,4890,28500,398520000
22,ADS,HOSE,29/07/2016,,4752,4856,4752,4821,18620,258660000
23,ADS,HOSE,01/08/2016,,4786,4786,4786,4786,1000,13800000
24,ADS,HOSE,02/08/2016,,4786,4856,4509,4856,11800,162550000
25,ADS,HOSE,03/08/2016,,0,0,0,4856,0,0
26,ADS,HOSE,04/08/2016,,4682,4856,4648,4752,24100,334870000
27,ADS,HOSE,05/08/2016,,4752,4890,4752,4890,11530,161200000
28,ADS,HOSE,08/08/2016,,4856,4856,4856,4856,7000,98000000
29,ADS,HOSE,09/08/2016,,4856,5029,4856,4856,20190,285120000
30,ADS,HOSE,10/08/2016,,4856,4856,4752,4856,9500,132400000
31,ADS,HOSE,11/08/2016,,4856,4856,4752,4752,520,7130000
32,ADS,HOSE,12/08/2016,,4752,4821,4752,4821,4510,61790000
33,ADS,HOSE,15/08/2016,,4821,4821,4821,4821,1020,14180000
34,ADS,HOSE,16/08/2016,,4821,4821,4752,4821,2040,28350000
35,ADS,HOSE,17/08/2016,,4821,4821,4752,4821,5980,82640000
36,ADS,HOSE,18/08/2016,,4821,4821,4821,4821,2000,27800000
37,ADS,HOSE,19/08/2016,,4786,5064,4786,5064,39360,559750000
38,ADS,HOSE,22/08/2016,,4925,4994,4925,4994,110,1560000
39,ADS,HOSE,23/08/2016,,4960,4994,4856,4994,12060,171260000
40,ADS,HOSE,24/08/2016,,4752,5029,4752,5029,28410,407240000
41,ADS,HOSE,25/08/2016,,5029,5029,4925,4960,40170,576220000
42,ADS,HOSE,26/08/2016,,4994,5098,4994,5029,72400,1048210000
43,ADS,HOSE,29/08/2016,,5098,5203,5029,5133,59390,876180000
44,ADS,HOSE,30/08/2016,,5029,5133,4925,5098,49980,729360000
45,ADS,HOSE,31/08/2016,,5029,5203,4960,5203,62120,915470000
46,ADS,HOSE,01/09/2016,,5133,5376,5133,5376,121450,1829010000
47,ADS,HOSE,05/09/2016,,5237,5619,5237,5619,110020,1735830000
48,ADS,HOSE,06/09/2016,,5757,5896,5619,5653,103380,1719690000
49,ADS,HOSE,07/09/2016,,5653,5688,5411,5480,98350,1565540000
50,ADS,HOSE,08/09/2016,,5411,5515,5376,5480,81460,1274580000
51,ADS,HOSE,09/09/2016,,5480,5653,5376,5584,78960,1254800000
52,ADS,HOSE,12/09/2016,,5549,5896,5549,5896,123220,2027320000
53,ADS,HOSE,13/09/2016,,5827,6000,5775,5931,97110,1646360000
54,ADS,HOSE,14/09/2016,,5983,6035,5775,5948,90800,1541580000
55,ADS,HOSE,15/09/2016,,5879,5879,5653,5723,95190,1573440000
56,ADS,HOSE,16/09/2016,,5671,5757,5653,5757,86950,1425740000
57,ADS,HOSE,19/09/2016,,5757,5827,5671,5827,91620,1518330000
58,ADS,HOSE,20/09/2016,,5827,5827,5723,5827,85110,1413530000
59,ADS,HOSE,21/09/2016,,5827,5896,5827,5862,86800,1463340000
60,ADS,HOSE,22/09/2016,,5862,5966,5775,5966,108320,1826610000
61,ADS,HOSE,23/09/2016,,5983,5983,5844,5931,79730,1357480000
62,ADS,HOSE,26/09/2016,,5931,5931,5792,5792,49970,845450000
63,ADS,HOSE,27/09/2016,,5792,5862,5584,5827,101520,1669130000
64,ADS,HOSE,28/09/2016,,5844,5896,5844,5896,104170,1763310000
65,ADS,HOSE,29/09/2016,,5966,5966,5827,5966,115660,1967280000
66,ADS,HOSE,30/09/2016,,5948,5966,5792,5827,88400,1498910000
67,ADS,HOSE,03/10/2016,,5862,5862,5723,5809,52340,871050000
68,ADS,HOSE,04/10/2016,,5809,5809,5757,5792,75780,1264330000
69,ADS,HOSE,05/10/2016,,5775,5896,5775,5844,96730,1629000000
70,ADS,HOSE,06/10/2016,,5809,5879,5792,5827,97520,1640740000
71,ADS,HOSE,07/10/2016,,5827,5862,5792,5862,58320,978750000
72,ADS,HOSE,10/10/2016,,5844,5879,5809,5844,94760,1596680000
73,ADS,HOSE,11/10/2016,,5862,5862,5775,5827,44580,746920000
74,ADS,HOSE,12/10/2016,,5862,5879,5688,5879,75810,1260660000
75,ADS,HOSE,13/10/2016,,5844,5879,5723,5879,70280,1169520000
76,ADS,HOSE,14/10/2016,,5844,5844,5653,5653,37340,618890000
77,ADS,HOSE,17/10/2016,,5688,5723,5619,5619,18770,307020000
78,ADS,HOSE,18/10/2016,,5601,5619,5549,5601,24310,391160000
79,ADS,HOSE,19/10/2016,,5601,5705,5549,5671,92100,1494300000
