,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,AGG,HOSE,09/01/2020,,19106,19106,19106,19106,403500,12105000000
1,AGG,HOSE,10/01/2020,,19425,19934,19361,19361,382330,11762000000
2,AGG,HOSE,13/01/2020,,19425,19456,19202,19202,263410,7987000000
3,AGG,HOSE,14/01/2020,,19042,19042,18629,18788,573820,16901000000
4,AGG,HOSE,15/01/2020,,18756,18947,18756,18883,228400,6759000000
5,AGG,HOSE,16/01/2020,,18788,19138,18692,19011,283220,8433000000
6,AGG,HOSE,17/01/2020,,18979,19042,18883,18915,229940,6844000000
7,AGG,HOSE,20/01/2020,,18979,19042,18820,18883,238670,7092000000
8,AGG,HOSE,21/01/2020,,18915,19042,18851,18979,248440,7396000000
9,AGG,HOSE,22/01/2020,,19011,19170,18915,19170,228590,6831000000
10,AGG,HOSE,30/01/2020,,19106,19488,18979,19234,183910,5554000000
11,AGG,HOSE,31/01/2020,,19202,19202,18947,18947,211690,6332000000
12,AGG,HOSE,03/02/2020,,18883,18883,18629,18788,213310,6282000000
13,AGG,HOSE,04/02/2020,,18820,19011,18788,18915,208640,6193000000
14,AGG,HOSE,05/02/2020,,18851,18883,18788,18851,199390,5894000000
15,AGG,HOSE,06/02/2020,,18851,18979,18851,18883,206740,6143000000
16,AGG,HOSE,07/02/2020,,18883,18915,18724,18756,245720,7262000000
17,AGG,HOSE,10/02/2020,,18756,18851,18692,18820,190510,5613000000
18,AGG,HOSE,11/02/2020,,18788,18820,18660,18660,197110,5794000000
19,AGG,HOSE,12/02/2020,,18692,18692,18406,18501,190780,5557000000
20,AGG,HOSE,13/02/2020,,18501,18597,18374,18437,206670,5988000000
21,AGG,HOSE,14/02/2020,,18406,18406,18310,18374,201670,5816000000
22,AGG,HOSE,17/02/2020,,18342,18533,18342,18469,207150,6004000000
23,AGG,HOSE,18/02/2020,,18469,18469,18183,18374,208630,6001000000
24,AGG,HOSE,19/02/2020,,18374,18533,18342,18406,200730,5799000000
25,AGG,HOSE,20/02/2020,,18406,18501,18278,18342,206170,5944000000
26,AGG,HOSE,21/02/2020,,18342,18469,18310,18342,203920,5887000000
27,AGG,HOSE,24/02/2020,,18310,18342,18215,18278,190740,5470000000
28,AGG,HOSE,25/02/2020,,18310,18342,18151,18310,202890,5811000000
29,AGG,HOSE,26/02/2020,,18278,18278,18119,18183,190600,5449000000
30,AGG,HOSE,27/02/2020,,18183,18246,18023,18055,196230,5588000000
31,AGG,HOSE,28/02/2020,,17992,17992,17450,17482,167630,4648000000
32,AGG,HOSE,02/03/2020,,17450,17896,17418,17641,267890,7443000000
33,AGG,HOSE,03/03/2020,,17641,17832,17578,17801,214960,5978000000
34,AGG,HOSE,04/03/2020,,17769,17864,17705,17832,228870,6384000000
35,AGG,HOSE,05/03/2020,,17832,17992,17705,17737,198280,5555000000
36,AGG,HOSE,06/03/2020,,17641,17769,17482,17705,206940,5736000000
37,AGG,HOSE,09/03/2020,,17387,17387,16877,17227,181490,4912000000
38,AGG,HOSE,10/03/2020,,17132,17291,17036,17259,201760,5442000000
39,AGG,HOSE,11/03/2020,,17196,17291,16813,16909,208810,5584000000
40,AGG,HOSE,12/03/2020,,16877,16941,16718,16877,203870,5389000000
41,AGG,HOSE,13/03/2020,,16877,16941,16431,16941,189770,5000000000
42,AGG,HOSE,16/03/2020,,16941,17100,16750,16941,201980,5362000000
43,AGG,HOSE,17/03/2020,,16877,16941,16559,16718,164870,4354000000
44,AGG,HOSE,18/03/2020,,16750,16877,16622,16686,148970,3910000000
45,AGG,HOSE,19/03/2020,,16686,16686,16399,16622,132350,3437000000
46,AGG,HOSE,20/03/2020,,16654,16877,16559,16845,202150,5329000000
47,AGG,HOSE,23/03/2020,,16813,16845,16559,16622,111930,2942000000
48,AGG,HOSE,24/03/2020,,16622,16877,16527,16877,186990,4882000000
49,AGG,HOSE,25/03/2020,,16909,17323,16845,17323,188900,5036000000
50,AGG,HOSE,26/03/2020,,17291,17355,17196,17323,200980,5450000000
51,AGG,HOSE,27/03/2020,,17259,17259,16495,17100,136000,3639000000
52,AGG,HOSE,30/03/2020,,17068,17068,16750,16782,142090,3754000000
53,AGG,HOSE,31/03/2020,,16782,16845,16750,16750,280000,7389000000
