,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ANV,HOSE,04/01/2010,,3663,3745,3622,3745,300100,5432000000
1,ANV,HOSE,05/01/2010,,3931,3931,3807,3931,416320,7927000000
2,ANV,HOSE,06/01/2010,,3848,4054,3848,3910,425280,8039000000
3,ANV,HOSE,07/01/2010,,4013,4095,4013,4095,380410,7550000000
4,ANV,HOSE,08/01/2010,,4280,4280,4033,4033,921090,19014000000
5,ANV,HOSE,11/01/2010,,4095,4116,3889,3951,688650,13399000000
6,ANV,HOSE,12/01/2010,,3889,3992,3766,3766,485980,9125000000
7,ANV,HOSE,13/01/2010,,3704,3951,3622,3828,561120,10255000000
8,ANV,HOSE,14/01/2010,,3889,3972,3828,3889,241610,4582000000
9,ANV,HOSE,15/01/2010,,3828,3889,3745,3869,225520,4215000000
10,ANV,HOSE,18/01/2010,,3725,3745,3684,3684,490660,8844000000
11,ANV,HOSE,19/01/2010,,3684,3807,3601,3663,207750,3697000000
12,ANV,HOSE,20/01/2010,,3498,3663,3498,3498,307370,5269000000
13,ANV,HOSE,21/01/2010,,3354,3395,3334,3334,756020,12270000000
14,ANV,HOSE,22/01/2010,,3251,3395,3251,3293,376690,5970000000
15,ANV,HOSE,25/01/2010,,3293,3375,3169,3293,292180,4653000000
16,ANV,HOSE,26/01/2010,,3395,3457,3395,3457,189180,3174000000
17,ANV,HOSE,27/01/2010,,3293,3293,3293,3293,63450,1015000000
18,ANV,HOSE,28/01/2010,,3128,3128,3128,3128,317380,4824000000
19,ANV,HOSE,29/01/2010,,2984,3272,2984,3251,1343300,20132000000
20,ANV,HOSE,01/02/2010,,3169,3354,3169,3293,224280,3585000000
21,ANV,HOSE,02/02/2010,,3293,3293,3169,3251,184860,2912000000
22,ANV,HOSE,03/02/2010,,3169,3272,3169,3190,209440,3250000000
23,ANV,HOSE,04/02/2010,,3066,3251,3066,3190,424090,6477000000
24,ANV,HOSE,05/02/2010,,3149,3169,3066,3087,400560,6025000000
25,ANV,HOSE,08/02/2010,,2984,3087,2963,3046,265080,3874000000
26,ANV,HOSE,09/02/2010,,2984,3046,2984,2984,295110,4304000000
27,ANV,HOSE,10/02/2010,,3087,3087,3004,3087,177810,2631000000
28,ANV,HOSE,11/02/2010,,3087,3128,3087,3128,99430,1501000000
29,ANV,HOSE,12/02/2010,,3169,3231,3128,3169,148740,2294000000
30,ANV,HOSE,22/02/2010,,3149,3231,3046,3149,212270,3238000000
31,ANV,HOSE,23/02/2010,,3087,3087,3046,3066,232990,3464000000
32,ANV,HOSE,24/02/2010,,3025,3066,3025,3025,95760,1413000000
33,ANV,HOSE,25/02/2010,,3025,3087,3025,3046,195530,2906000000
34,ANV,HOSE,26/02/2010,,3046,3190,3025,3169,253740,3851000000
35,ANV,HOSE,01/03/2010,,3169,3313,3169,3313,914010,14660000000
36,ANV,HOSE,02/03/2010,,3457,3478,3293,3437,404680,6749000000
37,ANV,HOSE,03/03/2010,,3457,3457,3293,3354,135420,2210000000
38,ANV,HOSE,04/03/2010,,3395,3416,3293,3375,294960,4825000000
39,ANV,HOSE,05/03/2010,,3375,3395,3334,3375,422690,6919000000
40,ANV,HOSE,08/03/2010,,3502,3524,3481,3524,518850,8602000000
