,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,APC,HOSE,05/02/2010,,22728,32712,22728,31657,23380,832000000
1,APC,HOSE,08/02/2010,,31657,31657,30115,30115,12250,455000000
2,APC,HOSE,09/02/2010,,29222,31576,28735,31495,11020,391000000
3,APC,HOSE,10/02/2010,,29952,29952,29952,29952,5010,185000000
4,APC,HOSE,11/02/2010,,28491,28491,28491,28491,150,5000000
5,APC,HOSE,12/02/2010,,27111,29871,27111,28491,5230,176000000
6,APC,HOSE,22/02/2010,,27111,29871,27111,27111,1570,53000000
7,APC,HOSE,23/02/2010,,25813,25813,25813,25813,1220,39000000
8,APC,HOSE,24/02/2010,,24595,24595,24595,24595,21360,647000000
9,APC,HOSE,25/02/2010,,23621,24189,23378,23378,202500,5853000000
10,APC,HOSE,26/02/2010,,23946,23946,23865,23946,1760,52000000
11,APC,HOSE,01/03/2010,,23946,25082,22972,22972,59710,1691000000
12,APC,HOSE,02/03/2010,,23946,23946,22972,22972,52470,1488000000
13,APC,HOSE,03/03/2010,,21916,22809,21916,22728,18150,503000000
14,APC,HOSE,04/03/2010,,21592,22485,21592,21592,22620,604000000
15,APC,HOSE,05/03/2010,,21916,21916,21105,21105,42000,1103000000
16,APC,HOSE,08/03/2010,,21916,22160,21916,22160,211300,5765000000
17,APC,HOSE,09/03/2010,,23215,23215,22972,23215,397820,11374000000
18,APC,HOSE,10/03/2010,,24352,24352,24270,24352,697080,20912000000
19,APC,HOSE,11/03/2010,,25488,25569,25163,25569,387990,12207000000
20,APC,HOSE,12/03/2010,,26787,26787,26381,26787,350320,11559000000
21,APC,HOSE,15/03/2010,,25488,28004,25488,25488,306240,10091000000
22,APC,HOSE,16/03/2010,,24839,25813,24270,24270,382190,11691000000
23,APC,HOSE,17/03/2010,,24270,25407,24352,24757,323290,10043000000
24,APC,HOSE,18/03/2010,,25407,25407,24433,25163,148280,4570000000
25,APC,HOSE,19/03/2010,,24352,25163,24352,24352,138380,4188000000
26,APC,HOSE,22/03/2010,,24352,24757,24352,24352,213050,6410000000
27,APC,HOSE,23/03/2010,,23540,24514,23540,23540,122630,3627000000
28,APC,HOSE,24/03/2010,,23540,24027,23540,23946,183480,5384000000
29,APC,HOSE,25/03/2010,,23702,23946,23134,23215,159490,4607000000
30,APC,HOSE,26/03/2010,,23215,23540,22891,22972,120770,3441000000
31,APC,HOSE,29/03/2010,,23134,23946,23134,23946,182370,5305000000
32,APC,HOSE,30/03/2010,,23946,23946,23134,23134,63550,1830000000
33,APC,HOSE,31/03/2010,,23053,23296,22322,22647,103430,2894000000
34,APC,HOSE,01/04/2010,,22403,23702,22322,23702,152990,4370000000
35,APC,HOSE,02/04/2010,,24352,24839,23702,24839,318750,9642000000
36,APC,HOSE,05/04/2010,,25650,26056,24920,26056,385450,12246000000
37,APC,HOSE,06/04/2010,,26137,26543,25001,25001,186270,5919000000
38,APC,HOSE,07/04/2010,,25163,25569,25001,25082,214100,6647000000
39,APC,HOSE,08/04/2010,,25082,25813,25001,25001,309050,9602000000
40,APC,HOSE,09/04/2010,,26219,26219,26219,26219,220450,7121000000
41,APC,HOSE,12/04/2010,,27517,27517,25975,26137,418170,13807000000
42,APC,HOSE,13/04/2010,,25975,25975,25082,25163,164180,5152000000
43,APC,HOSE,14/04/2010,,24757,25244,24514,24757,250570,7693000000
44,APC,HOSE,15/04/2010,,25082,25407,24352,25407,440690,13523000000
45,APC,HOSE,16/04/2010,,21267,21267,21267,21267,78640,2060000000
46,APC,HOSE,19/04/2010,,20699,21105,20699,20699,128120,3311000000
47,APC,HOSE,20/04/2010,,20861,20861,19725,20293,125340,3150000000
48,APC,HOSE,21/04/2010,,20131,20455,19968,20049,145790,3621000000
49,APC,HOSE,22/04/2010,,20618,20618,20049,20212,113160,2841000000
50,APC,HOSE,26/04/2010,,20212,20293,19887,19887,77450,1914000000
51,APC,HOSE,27/04/2010,,19887,19968,19644,19725,81580,1989000000
52,APC,HOSE,28/04/2010,,19806,20131,19725,19887,102890,2522000000
53,APC,HOSE,29/04/2010,,19644,20537,19644,20537,129070,3191000000
54,APC,HOSE,04/05/2010,,19968,20293,19968,20131,128980,3203000000
55,APC,HOSE,05/05/2010,,19968,20131,19806,20049,112780,2779000000
56,APC,HOSE,06/05/2010,,20293,21024,20049,21024,250710,6356000000
57,APC,HOSE,07/05/2010,,21024,21429,20131,21024,234860,6075000000
58,APC,HOSE,10/05/2010,,20374,20374,20049,20131,102200,2540000000
59,APC,HOSE,11/05/2010,,20780,20780,20131,20212,101440,2545000000
60,APC,HOSE,12/05/2010,,19968,20049,19238,19238,119780,2856000000
61,APC,HOSE,13/05/2010,,18913,19481,18588,18588,92500,2151000000
62,APC,HOSE,14/05/2010,,18832,18994,18588,18751,61800,1426000000
63,APC,HOSE,17/05/2010,,18507,19319,17939,17939,56970,1276000000
64,APC,HOSE,18/05/2010,,17939,18345,17777,17777,109960,2418000000
