,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BCG,HOSE,16/07/2015,,8611,9393,8454,9341,2201970,38408510000
1,BCG,HOSE,17/07/2015,,9341,9968,9185,9915,1585500,29543230000
2,BCG,HOSE,20/07/2015,,9915,10594,9863,10437,1404650,27592680000
3,BCG,HOSE,21/07/2015,,10385,10385,9707,9707,163790,3048300000
4,BCG,HOSE,22/07/2015,,9028,9028,9028,9028,1860,32180000
5,BCG,HOSE,23/07/2015,,8402,8402,8402,8402,42950,691500000
6,BCG,HOSE,24/07/2015,,7828,7828,7828,7828,13570,203550000
7,BCG,HOSE,27/07/2015,,7306,8350,7306,8350,2391150,36986680000
8,BCG,HOSE,28/07/2015,,8402,8924,8350,8924,1558070,26215110000
9,BCG,HOSE,29/07/2015,,8924,9341,8663,9289,1514120,26253000000
10,BCG,HOSE,30/07/2015,,9289,9289,8663,8663,408000,6772840000
11,BCG,HOSE,31/07/2015,,8089,8559,8089,8245,1143300,18322960000
12,BCG,HOSE,03/08/2015,,8245,8245,8037,8141,533980,8320570000
13,BCG,HOSE,04/08/2015,,8141,8350,7984,8350,705690,11105540000
14,BCG,HOSE,05/08/2015,,8350,8559,8245,8350,586940,9479440000
15,BCG,HOSE,06/08/2015,,8298,8402,8245,8350,557250,8916000000
16,BCG,HOSE,07/08/2015,,8350,8402,8141,8298,1098740,17431010000
17,BCG,HOSE,10/08/2015,,8298,8454,8193,8245,687310,10941060000
18,BCG,HOSE,11/08/2015,,8245,8506,8141,8350,912320,14563290000
19,BCG,HOSE,12/08/2015,,8350,8454,8298,8350,518400,8316800000
20,BCG,HOSE,13/08/2015,,8298,8402,8193,8350,568170,9043410000
21,BCG,HOSE,14/08/2015,,8350,8454,8245,8298,461220,7361260000
22,BCG,HOSE,17/08/2015,,8298,8402,8193,8245,448820,7106210000
23,BCG,HOSE,18/08/2015,,8245,8350,8193,8298,506950,8045380000
24,BCG,HOSE,19/08/2015,,8245,8245,8089,8245,496190,7765990000
25,BCG,HOSE,20/08/2015,,8245,8298,8141,8245,444010,6974080000
26,BCG,HOSE,21/08/2015,,8245,8245,7984,8141,667530,10346400000
