,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BCM,UPCOM,21/02/2018,,27858,27858,23529,23529,81200,2063000000
1,BCM,UPCOM,22/02/2018,,24470,24470,23529,23529,28900,729000000
2,BCM,UPCOM,23/02/2018,,23717,23717,21082,21646,37800,865320000
3,BCM,UPCOM,26/02/2018,,20705,22870,18823,21552,21100,455040000
4,BCM,UPCOM,27/02/2018,,23340,23340,18823,22587,34700,756560000
5,BCM,UPCOM,28/02/2018,,19199,20705,19199,20705,2300,50420000
6,BCM,UPCOM,01/03/2018,,20705,20893,19764,20893,21100,462230000
7,BCM,UPCOM,02/03/2018,,20611,20611,19293,20329,24900,530410000
8,BCM,UPCOM,05/03/2018,,19952,20235,19764,20046,35500,755520000
9,BCM,UPCOM,06/03/2018,,21176,21176,19293,20423,4200,90990000
10,BCM,UPCOM,07/03/2018,,19293,19293,18823,19011,3000,60900000
11,BCM,UPCOM,08/03/2018,,19764,19764,19764,19764,2100,44100000
12,BCM,UPCOM,09/03/2018,,19764,19764,16941,19670,36700,735450000
13,BCM,UPCOM,12/03/2018,,18823,19670,18352,19293,7000,139550000
14,BCM,UPCOM,13/03/2018,,18823,18823,18070,18635,15100,295860000
15,BCM,UPCOM,14/03/2018,,17976,18540,17693,17693,11700,223430000
16,BCM,UPCOM,15/03/2018,,17223,18352,16941,18164,29700,561410000
17,BCM,UPCOM,16/03/2018,,19670,20235,18352,18823,33500,671450000
18,BCM,UPCOM,19/03/2018,,19011,19952,19011,19952,14000,293300000
19,BCM,UPCOM,20/03/2018,,18823,19670,17976,18823,101100,2027930000
20,BCM,UPCOM,21/03/2018,,19293,19293,17976,18635,63600,1253770000
21,BCM,UPCOM,22/03/2018,,18823,21082,18635,21082,135400,2849840000
22,BCM,UPCOM,23/03/2018,,20987,22399,20705,22117,97700,2180840000
23,BCM,UPCOM,26/03/2018,,22870,22964,21364,22587,198500,4676390000
24,BCM,UPCOM,27/03/2018,,22587,25223,19576,22587,362200,8621610000
25,BCM,UPCOM,28/03/2018,,22211,24658,21176,22493,433200,10329310000
26,BCM,UPCOM,29/03/2018,,22399,23811,22117,22399,272700,6532970000
27,BCM,UPCOM,30/03/2018,,22682,23529,22682,23434,46000,1129030000
28,BCM,UPCOM,02/04/2018,,23529,24187,23529,24187,47800,1210940000
29,BCM,UPCOM,03/04/2018,,24376,25411,23999,24752,49300,1296790000
30,BCM,UPCOM,04/04/2018,,24752,24752,24093,24470,60400,1570160000
31,BCM,UPCOM,05/04/2018,,24470,24752,24093,24658,206800,5357650000
32,BCM,UPCOM,06/04/2018,,24470,24658,23999,24281,70500,1826290000
33,BCM,UPCOM,09/04/2018,,23905,25223,23811,24940,71600,1879330000
34,BCM,UPCOM,10/04/2018,,23811,24658,23811,24470,63800,1660250000
35,BCM,UPCOM,11/04/2018,,24470,24470,23529,24281,77400,1987660000
36,BCM,UPCOM,12/04/2018,,24187,24281,23529,24187,100200,2569220000
37,BCM,UPCOM,13/04/2018,,24281,24470,23717,24281,36600,938740000
38,BCM,UPCOM,16/04/2018,,24093,24187,24093,24187,55000,1411030000
39,BCM,UPCOM,17/04/2018,,24187,24187,23529,24187,58000,1487300000
40,BCM,UPCOM,18/04/2018,,24093,24187,24093,24187,10500,269300000
41,BCM,UPCOM,19/04/2018,,23529,24093,23340,24093,30000,760290000
42,BCM,UPCOM,20/04/2018,,23999,24187,23999,24187,20200,517380000
43,BCM,UPCOM,23/04/2018,,23999,24093,23529,23529,31600,801470000
44,BCM,UPCOM,24/04/2018,,23999,23999,23529,23529,21100,532550000
45,BCM,UPCOM,26/04/2018,,23529,23529,23434,23434,28200,704090000
46,BCM,UPCOM,27/04/2018,,23529,23529,23529,23529,33200,830000000
47,BCM,UPCOM,02/05/2018,,23529,24093,23529,24093,13900,355060000
48,BCM,UPCOM,03/05/2018,,24187,24187,23905,23999,1300,33070000
49,BCM,UPCOM,04/05/2018,,24187,24187,24187,24187,4700,120790000
50,BCM,UPCOM,07/05/2018,,22587,22587,20799,21646,11900,276910000
51,BCM,UPCOM,08/05/2018,,23434,23529,19764,23434,101600,2177540000
52,BCM,UPCOM,09/05/2018,,22964,22964,20893,20893,300,6880000
53,BCM,UPCOM,10/05/2018,,21082,23434,21082,21646,1400,32670000
54,BCM,UPCOM,11/05/2018,,22493,22493,22493,22493,100,2390000
55,BCM,UPCOM,14/05/2018,,22493,22493,22493,22493,0,0
56,BCM,UPCOM,15/05/2018,,22117,22117,22117,22117,100,2350000
57,BCM,UPCOM,16/05/2018,,22493,22493,20705,22399,10500,246880000
58,BCM,UPCOM,17/05/2018,,23529,23529,23529,23529,100,2500000
59,BCM,UPCOM,18/05/2018,,20987,20987,20893,20893,1100,24430000
60,BCM,UPCOM,21/05/2018,,23999,23999,20705,20705,7100,158910000
61,BCM,UPCOM,22/05/2018,,22117,22117,20705,20705,600,13390000
62,BCM,UPCOM,23/05/2018,,23999,23999,23999,23999,100,2550000
63,BCM,UPCOM,24/05/2018,,23999,23999,23999,23999,0,0
64,BCM,UPCOM,25/05/2018,,23999,23999,23999,23999,0,0
65,BCM,UPCOM,28/05/2018,,20517,22117,20517,22117,4300,99760000
66,BCM,UPCOM,29/05/2018,,20705,22587,20705,22587,8900,209500000
67,BCM,UPCOM,30/05/2018,,22117,22117,22117,22117,0,0
68,BCM,UPCOM,31/05/2018,,22117,22117,22117,22117,0,0
69,BCM,UPCOM,01/06/2018,,22117,22117,20705,21176,800,18150000
70,BCM,UPCOM,04/06/2018,,22305,22305,20423,20423,3100,68300000
71,BCM,UPCOM,05/06/2018,,21929,21929,21929,21929,100,2330000
