,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BIC,HOSE,06/09/2011,,4689,4689,4689,4689,80800,743360000
1,BIC,HOSE,07/09/2011,,4485,4485,4485,4485,47270,415976000
2,BIC,HOSE,08/09/2011,,4587,4689,4485,4689,413500,3795741000
3,BIC,HOSE,09/09/2011,,4689,4689,4536,4587,62590,561233000
4,BIC,HOSE,12/09/2011,,4638,4638,4383,4383,89140,774153000
5,BIC,HOSE,13/09/2011,,4434,4485,4281,4434,109590,940626000
6,BIC,HOSE,14/09/2011,,4383,4383,4230,4230,140150,1174305000
7,BIC,HOSE,15/09/2011,,4332,4332,4027,4179,57160,461442000
8,BIC,HOSE,16/09/2011,,4179,4179,4027,4027,74480,589434000
9,BIC,HOSE,19/09/2011,,3976,4128,3976,4078,21550,171750000
10,BIC,HOSE,20/09/2011,,3976,4078,3976,3976,26460,207192000
11,BIC,HOSE,21/09/2011,,3976,3976,3823,3823,51050,386816000
12,BIC,HOSE,22/09/2011,,3874,3976,3823,3976,26700,204338000
13,BIC,HOSE,23/09/2011,,3925,3976,3925,3976,8100,62380000
14,BIC,HOSE,26/09/2011,,4027,4027,3823,3823,21060,159545000
15,BIC,HOSE,27/09/2011,,3823,3874,3823,3874,46590,350382000
16,BIC,HOSE,28/09/2011,,3925,4027,3874,3874,21670,166722000
17,BIC,HOSE,29/09/2011,,3874,3874,3721,3772,39000,290910000
18,BIC,HOSE,30/09/2011,,3925,3925,3721,3874,5540,42102000
19,BIC,HOSE,03/10/2011,,3721,3772,3721,3772,15850,116440000
20,BIC,HOSE,04/10/2011,,3772,3772,3619,3619,7510,54387000
21,BIC,HOSE,05/10/2011,,3568,3721,3568,3721,12650,91112000
22,BIC,HOSE,06/10/2011,,3772,3772,3721,3772,7550,55495000
23,BIC,HOSE,07/10/2011,,3823,3823,3670,3721,43730,317467000
24,BIC,HOSE,10/10/2011,,3619,3670,3619,3670,28560,203672000
25,BIC,HOSE,11/10/2011,,3670,3670,3619,3670,10000,71770000
26,BIC,HOSE,12/10/2011,,3619,3619,3517,3517,30620,213373000
27,BIC,HOSE,13/10/2011,,3415,3568,3415,3568,5230,36607000
28,BIC,HOSE,14/10/2011,,3568,3670,3568,3568,14180,99488000
29,BIC,HOSE,17/10/2011,,3619,3670,3619,3619,24100,172611000
30,BIC,HOSE,18/10/2011,,3619,3619,3517,3517,9620,67578000
31,BIC,HOSE,19/10/2011,,3466,3517,3466,3466,6440,43806000
32,BIC,HOSE,20/10/2011,,3517,3568,3415,3415,13980,96466000
33,BIC,HOSE,21/10/2011,,3415,3568,3415,3568,15910,110624000
34,BIC,HOSE,24/10/2011,,3517,3619,3466,3466,15760,109690000
35,BIC,HOSE,25/10/2011,,3364,3466,3364,3364,25240,167658000
36,BIC,HOSE,26/10/2011,,3313,3313,3211,3211,100650,636585000
37,BIC,HOSE,27/10/2011,,3211,3313,3211,3211,2300,14520000
38,BIC,HOSE,28/10/2011,,3262,3313,3109,3262,21500,135444000
39,BIC,HOSE,31/10/2011,,3313,3313,3160,3160,16180,103180000
40,BIC,HOSE,01/11/2011,,3262,3262,3007,3007,99100,587307000
41,BIC,HOSE,02/11/2011,,3058,3058,3007,3058,11880,70522000
42,BIC,HOSE,03/11/2011,,3058,3058,3007,3058,32640,194190000
43,BIC,HOSE,04/11/2011,,3109,3109,3007,3058,160940,966712000
44,BIC,HOSE,07/11/2011,,3058,3058,3007,3007,39240,235439000
45,BIC,HOSE,08/11/2011,,3058,3058,2956,3007,13900,81929000
46,BIC,HOSE,09/11/2011,,3058,3058,3007,3058,47990,287854000
47,BIC,HOSE,10/11/2011,,3058,3058,3007,3058,34520,207006000
48,BIC,HOSE,11/11/2011,,3058,3109,3058,3058,83010,498164000
49,BIC,HOSE,14/11/2011,,3109,3160,3109,3160,152620,935109000
50,BIC,HOSE,15/11/2011,,3313,3313,3262,3313,207370,1344241000
51,BIC,HOSE,16/11/2011,,3415,3466,3415,3466,231820,1576064000
52,BIC,HOSE,17/11/2011,,3517,3568,3466,3568,52960,364032000
53,BIC,HOSE,18/11/2011,,3619,3619,3466,3568,80140,550976000
54,BIC,HOSE,21/11/2011,,3466,3568,3415,3415,52710,356027000
55,BIC,HOSE,22/11/2011,,3313,3415,3262,3364,119220,767882000
56,BIC,HOSE,23/11/2011,,3364,3415,3211,3415,16140,104708000
57,BIC,HOSE,24/11/2011,,3415,3415,3313,3364,30170,197219000
58,BIC,HOSE,25/11/2011,,0,3313,3211,3211,5660,35660000
59,BIC,HOSE,28/11/2011,,3211,3262,3211,3262,49120,313480000
60,BIC,HOSE,29/11/2011,,3262,3313,3262,3313,42500,274040000
61,BIC,HOSE,30/11/2011,,3262,3313,3262,3313,29610,190805000
62,BIC,HOSE,01/12/2011,,3364,3364,3262,3313,86140,556630000
63,BIC,HOSE,02/12/2011,,3313,3364,3262,3313,89200,580300000
64,BIC,HOSE,05/12/2011,,3364,3466,3364,3466,50970,339659000
65,BIC,HOSE,06/12/2011,,3466,3466,3364,3466,98110,663759000
66,BIC,HOSE,07/12/2011,,3466,3568,3466,3568,79940,549366000
67,BIC,HOSE,08/12/2011,,3619,3619,3568,3619,20180,141870000
68,BIC,HOSE,09/12/2011,,3568,3568,3466,3568,9180,64160000
69,BIC,HOSE,12/12/2011,,3517,3568,3517,3568,13000,89860000
70,BIC,HOSE,13/12/2011,,3466,3517,3466,3517,23500,161000000
71,BIC,HOSE,14/12/2011,,3517,3517,3364,3415,10630,71471000
72,BIC,HOSE,15/12/2011,,3313,3364,3262,3364,13080,85023000
73,BIC,HOSE,16/12/2011,,3415,3415,3415,3415,6130,41071000
74,BIC,HOSE,19/12/2011,,3415,3415,3415,3415,10110,67737000
75,BIC,HOSE,20/12/2011,,3313,3415,3313,3313,23110,150517000
76,BIC,HOSE,21/12/2011,,3415,3415,3313,3313,5210,33885000
77,BIC,HOSE,22/12/2011,,3415,3415,3262,3262,400,2620000
78,BIC,HOSE,23/12/2011,,3211,3262,3211,3262,32370,204268000
79,BIC,HOSE,26/12/2011,,3211,3262,3211,3262,13900,88270000
80,BIC,HOSE,27/12/2011,,3160,3262,3109,3262,5010,30724000
81,BIC,HOSE,28/12/2011,,3262,3262,3211,3211,1630,10319000
